molecule,smiles
00068903F802F8BE_963D94AD2A0EC7FB_6039_UN,
0017A66CBFC7BB3B_5F71DB4F603FFC3C_6031_UN,O(C(=O)C1(CCCO1)C2CCCCO2)CCOC3(CN)CCOC3
0021858F7409F35D_4526E78FF4F19278_6038_UN,
00255C890113A983_A415248C1C464873_6031_UN,COC(C)(C)CCCCC(=O)OCCOCCOCCOCCCl
0025712A6BB3695A_794FD69B20B6A79F_6038_UN,CC2=NC=C1C(=CC=CC1=C2)NC(=O)C4=C3C=CC=C[N]3N=N4
00295647E90C2DC5_DFAD018B5D74A018_6038_UN,CCOC(OCC)C(OC(=O)COCC1CCOC1)CN=[N]#N
003EB0DBC0004E15_CC426CCED040F235_6038_UN,C[C@@H](NC(=O)C1=NC=C(C=C1)C#N)C#N
008EA59540D38C07_9E40FBFF0F37757C_6038_UN,COC(=O)C2=C1CCCN1C(=O)C=C2OC(=O)C34C5C6C3C7C4C5C67F
008F0011F087FA12_D523F1E0F3F431B3_6038_UN,O([C@@H]1C[C@H]2C[C@@H]1CC23OCCO3)C(=O)C4(C#CCCCCC4)F
009BE003C65F6A30_98E78C5B782FE786_6038_DP,COC1=CC2=C(C=C1)CCC[C@H]2OC([C@@H]3C[C@@H]4CNC[C@H](C3)C4)=O
009ECCE9C8CF5365_2FFBFF132261BDE9_6034_UN,CC(C)CN1C(=C(N)C(=O)N(C1=O)CC23CN(CC2)CCC3)N
00A4740B2195E9B5_F7837E318248E91E_6039_UN,CN(CC(C)(C)OCCCCCCCCCCCCCCCC)C(=O)C
00A8ECB3E57EA812_0876439A50023116_7022_UN,C1(=C(C=CC=C1)CC2=CC=CC=C2)OCCOCC3=CC=CC=C3
00B13D03D89EA420_C3A8153EB4463D25_6031_UN,O(C(=O)CN1CCCOC1=O)CC3CCC2(CCCCCCC2)O3
00D752C3E28640D9_7EBE9AB05983D1CB_6031_UN,O(C(=O)C1CCC(CC1)C2=CC=CC=C2)CCN(CCCC)CCCC
00D977978614C062_82E4D9F08CD219A3_6038_UN,CC1(C)CCC(F)C1OC(COC2=C(C=C([S](N)(=O)=O)C=C2)F)=O
00F83C878032F0DA_594C1FEB80A511E5_7022_UN,C2(=C1OC3=C(C1=CC=C2)C=CC=C3)N5C[C@H]4COC[C@H]4O5
0101C39830C10DA6_2F8963C0A9DDF6EE_6038_UN,CC(C)C1COCCC1OC(=O)C2(CCOCC2)C3CCCCO3
01125FB61B03B9AF_00655B14775F7CC3_6038_DP,COC(=O)[C@@H](NC(CN1C=C(C(N)=O)C(NC1=O)=O)=O)[C@@H](C)O
011EA31BD88D51A5_B8F521DA87548191_6031_UN,O(C(=O)CCC1CCC(O1)C2OCCO2)CC34CC(N)(C3)C5(O4)CCC5
0139DB9BE54C3077_E76780A0923B39E6_6038_UN,O(CC23CC1CC(CC(C1)O2)C3)C(C5CCC4=C(N=C(C)[NH]4)C5)=O
0147C58623182DD0_D13BA87C6CEB9CA6_6038_UN,CC2=C(NC(=O)C1CSCCS1)C=N[N]2C3=CC=C(C=C3)F
014AE821E2578354_95A9C016747C40A9_6026_UN,COC1=C(C=C(C=C1)[S](=O)(=O)N2CC(CCCCCC)CCC2)Cl
015F9BAE19D49F44_D0265CD13A716358_6038_DP,CC1C(C(CCC1)C)NC(C2(C(O)=O)C(C)(C)C2(C)C)=O
015FBE355A77733D_E3A93F01F83FCC7F_6031_UN,CC(C)(CCN)CCC(=O)OCCOCCOCCOCCN
0164B7B4965198CC_1C4E0390AECEE06D_6039_UN,O(C[C@H](NC(=O)C(F)(F)F)C(=O)O)CC2COC1(CCOCC1)O2
0168EE716E9ADEED_83865B22A2DB174A_6034_UN,O=C2CC1(CC1)CC(=O)N2CC34CC(N)(C3)C5(O4)CCOCC5
01786048D2CAB1B1_DF0766C6450DCE11_6038_DP,OC(=O)[C@H](NC(=O)CN1C(=O)N(CC=C)C(=O)C1=O)CC(=O)N
017A4F970183BA85_0B16EDB59D803A87_6034_UN,FC2=C1C=CN(C1=CC=C2Cl)CC3=NC4=C(C=C3)C=CC=C4
01835D82DB14F17A_5CE6B02677FD2FDC_7019_UN,OC(=O)C2=C1N=C(C=C([N]1N=C2)O)C=CC3=N[N](C(C)(C)C)N=N3
01861E8E8A060F88_F4F2682A75BA47F1_6041_UN,C2(=C1C=C[NH]C1=CC=C2)NCC3=NC4=C([N]3C)C=CN=C4
0199FB15BDDF7D1F_94B3DCAC297E9301_2201_UN,
01A4FF1F6AE28AF3_45D417965EFE3DAE_6029_UN,O=C(CN(C1=CC=CC=C1)[S](C2=CC=C([S](Cl)(=O)=O)O2)(=O)=O)C3=CC=CC=C3
01B73BB0CC35E953_ED0062D233E9BC5D_6031_UN,CC(C(C)C(=O)OCCN1C(C(N)CCC1)=O)C2CCCCC2
01CD1383638A02E3_F871A9A4A21E9803_6031_UN,CN3C=C(C(=O)OCC12CC(C(OCC)=O)(C1)CO2)C(=O)NC3=O
01E117B7804B5D74_A56AFA0A736A5F52_6041_UN,C1(=NN=C[N]1C2=CC=CC=C2)NC3=CC(=CN=C3)C4=CC=CC=C4
01E98BAA7B88DC05_FB08DFEDA05ABD07_6038_UN,N(CC[PH](=O)O)C(=O)C3=CN(C1C2CCN(C1)CC2)C(=O)NC3=O
01F5AFBC830057CF_18C5CE35221575C7_6038_UN,O(CC(=O)N1CCCCCC1)C(=O)CN2CCCCC(=O)C2=O
01FB387599EFC46C_3613CAC531EEE0D5_6038_UN,CC(OC(CCC2=C([N]1N=CC(=C1N=C2C)C(=O)N)C)=O)CC#C
020551264F9F6834_B73BA5F3377199D6_6038_UN,N(CC1CCC2=C1C(=CC(=C2)F)F)C(=O)C3=CC=C(C=C3)N6C(=O)C5=C4C(=CC=C(C4=CC=C5)[N](=O)=O)C6=O
020993E9D14C1190_7067CA1FC8624FF2_6038_UN,O(CC2CC1CCCCC1O2)C(=O)C3(CCCO3)C4=CC=CC=C4
020C09678184BB35_162AA7CAD3BBFDBA_2201_UN,C12=NC5=C4C(=C1COCC23CCCCC3)CCC4=CC6=C5CCC6
02107E1A0A910476_3BF6A9D3B97E2CB2_6031_UN,NC(C1CCOC1)C(=O)OCC2CCCC2OC3CCCCO3
0210D9FCA16FAE56_34BEE94182F23AB5_6041_DP,CN([C@H]1C[C@@H]2CC[C@H](C1)N2)C3=NC=C(N=C3)NCC4(N(C)C)CC4
02115011018D0094_15E7C0FB783007CC_7015_UN,ClC1=CC=C(C=C1)C2CCCCCN2[S](=O)(=O)C3=CC=C(C=C3)Cl
021738D018E5795D_49469346ECF522D4_7019_UN,C(C1=NOC(=N1)C3COC2=C(C=CC=C2)O3)=CC4C5CCOCC45
0223AA37240C9EC2_3061AA4A342A7F48_6031_UN,CC(CC(=O)OCCCN1CCCCCCC1)C2CCCCC2
022D2ED872B6E929_27B62E2C466BEB62_6038_DP,N1CC4(C1)CC(NC(=O)C2CCC(O2)C3CCCO3)C5=NC=C[N]45
02656BC2BC94457D_E53F441C6F37EB17_7009_UN,N([S](=O)(=O)C1=C(C=C(C(=C1)Br)C#N)F)C(=O)C3=C2C=CC=CC2=NC4=C3CCC4=CC5=CC(=C(C=C5)Cl)Cl
026E2368B5013F34_B3C6109F92CB07F3_6039_UN,CC3(C)OC4(COCC2CN1CC(CCC1=O)O2)CC3(C4)C(=O)O
027143AC11C62A8E_42283146A9201C60_6039_UN,O(CCCCN1CCOCC1)CC2COC(O2)C3=CC=CC=C3
02827AC23CA647C8_80661919AC2E8674_6039_UN,N[S](=O)(=O)NCCCOCC(NC1=C(C(OCC)=O)C(=C(S1)CC)C)=O
0293944B3C2F2405_6B60465DC9592EBE_6038_UN,O(C1CCCC2(C1)OCCO2)C(=O)C3=CC4=C(C=C3)OCCC4=O
02A20C89A92CDD12_70964E1439DF83E4_6031_DP,
02A5AF2F0538A80B_B8F5F0A294367CC1_6031_UN,O(C(=O)C2=N[N]1C=CC=NC1=N2)CC4=C([N]3C=CC=CC3=N4)Br
02D5FA4CE2ADBCE1_276B5F167E0E460C_6039_UN,CC1=C(SC(=N1)C2=CC=CC=C2)COCC#C
02DB59AD9161B19D_BC48A343925AFC56_6038_UN,CCN(CC)CC(C)NC(=O)CC1CCN(CC1)C(=O)OCC=C
02E106D5A828EB4A_0DA3E99AC9DD90AE_6038_UN,CCN3CCOC(CCOC(=O)[C@@H]1CC[C@@H](O1)C(=O)N2CCOCC2)C3
02E299C2583633D9_8D9776F259C5D7BE_2201_UN,
02EE0B2252302354_4690CA9656244BCB_6039_UN,CCOC(=O)CCCCCCCOCCO[P](OCC)(=O)OCC
02EE9BB419E181BB_C3AFB0F051AD6515_6041_UN,CC1CCC2=C(C1)SC3=C2C(=NC(=N3)C)NC(C)C4=C(C=CC=C4F)F
032B71FE54FBC4C1_E261DADC78CD2B32_6041_UN,C2(=N[N]1C(=NN=C1C=C2)C3=CC=CC=C3)NC45CCC(CC4)C5
0330C9DFE9EDB20A_24DE5769E5F0E50A_6038_DP,N4CCC3CC(OC(=O)C1CCCCC1C2CCCO2)CCC3C4
033E63671602F07A_6A80D4A8A8AAD3D6_6031_UN,CC(C)CC(N1CCCCC1=O)C(=O)OCC2(CN)CCOC2
0340D5B765B4D65A_A28D6133B80FF0C8_6031_UN,COCCOCCOCCOCC(C)(C)C(=O)OCCOCCC
034A1E4547618F36_8490351090B145DA_7019_DP,
034A1E4547618F36_8490351090B145DA_7019_DP,OC(=O)C1(CC=C[C@H](N)[C@@H](O)[C@@H](O)[C@H](O)CO)CCOC1
03532C9F231F2F61_8484DC5669F9D5DF_6031_UN,CC(=C)CCC(=O)OCC1=N[N](C)N=N1
0358C6A02C2530C3_03DE0A0A7EB1B7BC_6041_DP,C1(=NC2=C(C=C1)C=CC3=C2N=CC=C3)NC4CCC5CCNC4C5
03904EEA235A42F6_E9380F57B882AA06_6039_UN,O(CCOCCOCC(=O)O)CCOCCO[Si](C(C)(C)C)(C)C
039B4314E1D444BF_6A57B9CAC4194874_6031_UN,CN2C(=O)N(CC(=O)OCC1(N)CCCCCCC1)C(=O)C2=O
03B22C64F465F6D3_0EBF64ED0658FB4E_6041_UN,C1(=NC3=C(C(=N1)C2=CC=CC=C2)C=CC=C3)NC45CCC(CC4)C5
03B46E9CF0B1C51A_CA95F7729E206E9D_6038_UN,CCOC(=O)C1(CCOCC1)C(C)NC(C(CCCCCCCC)C)=O
03B6A15551F6A85C_449098308150C78F_6038_DP,N3CCC2(CCC(NC(=O)C1=C(C=C(C=C1)[N](=O)=O)F)CC2)CC3
03B7F600D6E51999_49CAF6AF77CAF470_6039_UN,CCOC(=O)C2(COCC(=O)N1CCCCCCC1)CCOCC2
03C9B3B16A42F58A_A0ED0A8DB6E3C702_6039_DP,O(CC1=CC=C(C=C1)SC2=CC=CC=C2)CC3=CC=CC(=C3)N
03CD42361FB5B0F2_24CB0690ECE14AC5_6031_UN,
03F88241D0A0C193_C76D4B903735BB6C_6038_UN,CCCCCCC(C)NC(=O)C1(CCOCC1)[S](=O)(=O)C2=CC=CC=C2
04036089884AFC5D_3646D348015B7087_6035_UN,COC(=O)[C@@H]1C[C@@H]2CC[C@H](C1)[C@@H]2OC4=CC(=C3N=CC=CC3=N4)N
0419D3DE89F587EA_D682B67D38D589F6_6039_UN,CC(=O)N2CCCC(OCCN1CCCCCC1)(CC(=O)O)C2
04214F3EBF5C5E7C_8403FF7E805C2515_6038_UN,CCOC(=O)C(CC)(CC)CNC(=O)C1CCCC12CCOCC2
042423BA956EB48B_10C3EA653CEDF6E0_6039_DP,
0435AEC33B2185A5_01642371A47C7E77_6038_UN,
0457835F1A992E34_5F85CC2BE5671A01_6039_UN,O([C@@H](CC(=O)O)C(=O)O)CC(=O)NCCCN1CCCCCC1=O
0475DC0854208B1B_51ECC09EF434AEFA_6038_UN,CCOC(=O)C=C(OC(=O)CCN1CCSC1=O)C(=O)OCC
047ED57BCD7DBAEE_A8B07E36C805D211_6031_UN,O(C(=O)C2CCC1(CCOC1)O2)CC34CC(N)(C3)C5(O4)CCC5
048342EB54BB2ABA_92EF3C88DA84D1FF_6039_UN,CC(=O)N1C[C@@H](OCC(N(CCC(C)C)CCC(C)C)=O)C[C@@H]1C(=O)O
048BB41EC35228C4_CC79C6816ADFA24A_6038_UN,O(CC23CC1CC(CC(C1)O2)C3)C(=O)C45CCC(CC4)(N=[N]#N)C5
048F7EC146877D99_F99D6200E8890A10_6031_UN,C[N+](C)(CC(=O)OCCOCCOCCOCCCC)CC(=O)[O-]
04AE0988D1749875_70522EB6B7341332_6031_UN,CN(C)C(=O)CCC(=O)OCC2CCC1(CCCCCCC1)O2
04AF8940CBD49C0A_CFE1A2B28566F96C_6031_UN,O(C(=O)C1=CC=C(C=C1)C2=CC=C(C=C2)Br)CC3=NC=CC(=C3)Cl
04B1675DBF7C7451_D9E8586EAA4CF3B4_6031_UN,O(C(=O)C1(CCC1)C2(CCC2)C=C)CCN(CCCC)CCCC
04B6A2FDDCC2A387_A11B760DD170C7D6_6035_UN,O(CC1=CC(=CC=C1)I)C2=CC(=CC=C2)OCC3=CC=CC=C3
04C62EAF1BC3948E_7A08C5CD82698361_6038_UN,N(CCC1=NN=C([NH]1)C2OCCC2)C(=O)CCC3CC4CCC3C4
04CB8913996A06C5_BEB869C60990068B_6035_UN,NC1(CCCCC1)C(OC2=C(B(O)O)C=CC=C2)C3=CC=CC=C3
04CECD8802C00EEB_EAE04DA1C8972EA9_6038_UN,COC(=O)[C@@H]3CC[C@H](COC(=O)C12CCN(CC1)[S](C2)(=O)=O)O3
04D86DFAA7F97DFB_A8C7AD45A1575B08_6034_UN,NCC2=C1C=CN(C1=CC=C2)CCCN3CCCC4=C3C=CC=C4
04FAE612B8B06C3F_203C9B06750D5650_6031_UN,O(C(=O)C1CCCC12OCCO2)CC34CC(N)(C3)C5(O4)CCC5
04FCBBF1671D7143_4CA63562D83D5CDB_6038_UN,C[C@H](NC(CCN1CCN(C(C)C)CC1)=O)[C@H]2COC(C)(C)O2
050436B4B9C640D4_DF2975E5884420FB_6039_UN,CC(C)OC(=O)N2CCCC(OCC(=O)N1CCCCCCC1)C2
0516527E3DDB8F84_B211343BCEF003B9_6031_UN,O(C(=O)CC2CCC1(CCOCC1)CO2)CC3(F)CCCOC3
05206C3A05850778_833816E08F47A63F_6031_UN,
0525FE7CAD1C2EF2_2785999AA93F3D13_6038_UN,CN3CC(OC(=O)C(C1=CC=CC=C1)[N]2C=CC=C2)CCCC3=O
0574C4317DE27741_7E9F200DD63C0AA2_6039_UN,CCC1(COCCCCCCOCCOCCC)CCCN1C
0574E9D11C7BDC5B_6AD50D04C097E2EB_6031_UN,COC1=CC=C(C=C1)[C@H]2[C@@H](CN(C2)C(C)(C)C)C(=O)OCCCCCC(C(OCC)=O)(C)C(=O)OCC
059186B6D2BE09C9_FAC9A6868D7042B0_6038_UN,N(C(C1COCC1)C(=O)N)C(=O)C2(CCCO2)C3CCCCO3
059261B61791B605_374F674BBE2375C8_6031_DP,N1C2CCC1C(C2)C(=O)OCCCOCCOCCOCCOC
0592AAD56D284430_39610AA6F181EC15_6038_UN,CCC[C@H](NC(=O)CC2CCC1(CCOCC1)CO2)CC(=O)OC
05A2F0A2DB6BCA36_C24CF6F3A3B53361_6041_UN,C2(=C1C=COC1=CC=N2)NC3=CC4=C(C=C3)C5=C(O4)C=CC=C5
05A2F6F732BACDA2_657812C7793FBCD9_6038_UN,CCOC2(COC(C1CCN(C(N(CC)CC)=O)CC1)=O)CCC2
05ABFB2C7C31A24C_B6569951BC2564A0_6038_UN,COC(=O)CC(OC(=O)C2(CC1CCCC1)CCCCC2)CF
05B1E14155842CF8_DE843FEF48AC73C5_2201_UN,
05B25F3D68E14B8B_D523AA128012DA03_6039_UN,
05C0CAD0A1DAFF1D_9C564C8D456AF8D5_6022_UN,
05D060604291E89D_35538FBE7F8942C0_6038_UN,CC(C)OC(=O)N2CCC(OC(=O)C1(CC=C)CCOCC1)CC2
05D98A3F93644CB4_9213F692ABF7033E_7005_UN,[NH]2C1=CC=CC(=C1N=C2C3CC4OC3C(C4O)O)C#N
05F4BEAFAB844E97_28668BE4C0FF956D_6039_DP,NC1=CC=C(C=C1)OCC2=C(C=CC=C2)OCC3=CC=CC=C3
05FADBD81AA85FDB_E8C94E5E4BDD23E8_6038_UN,CCOC(=O)C(OC(=O)CCN1CCCCCC1)C2=CN=CC=C2
0600EEF0880DCDDF_8D4530598DFC89F2_6038_UN,CC(OC(=O)[C@H]1C[C@@H]2CC[C@H](C1)O2)CC3=NC4=C(C=C3)C=CC=C4
06081F98D855491D_55F744A0A73BB0A7_6031_UN,CC(C(C)C(=O)OC[C]2(CN)C[C]1(C[CH2]C1)C2)C3CCCCC3
060C992C958D06F4_7BAD551E60F368A5_6038_UN,CC(C)C[C@H](NC(=O)CC2CCC1(CCOCC1)CO2)C(=O)OC(C)C
060F8B9217603DDA_F4D579BB4B54A10B_6038_UN,CCOC(=O)CCOC(=O)C1(CCCC1)CN2CCCCCC2
06183FE2D1EA46FC_C8FB4C4F3BAF7A24_6031_UN,
061C4B07380470CC_323DDF5EFC867099_6041_UN,C1(=CC2=C(C=C1)SC=C2)NC3=CC4=C(C=C3)C=CC(=C4)B(O)O
0643054F115B7B8C_EF09E09C62511516_6038_UN,O(C1CCC2COCC1C2=O)C(=O)C4CC3=C(C=CC=C3)CO4
06539077F15882C6_FB1793B31594A18D_6031_DP,N[C@H](CC[S](=O)(=O)C)C(=O)OCC=C(CCC=C(CCC=C(C)C)C)C
