molecule,smiles
00255C890113A983_A415248C1C464873_6031_UN,COC(C)(C)CCCCC(=O)OCCOCCOCCOCCCl
009BE003C65F6A30_98E78C5B782FE786_6038_DP,COC1=CC2=C(C=C1)CCC[C@H]2OC([C@@H]3C[C@@H]4CNC[C@H](C3)C4)=O
0139DB9BE54C3077_E76780A0923B39E6_6038_UN,O(CC23CC1CC(CC(C1)O2)C3)C(C5CCC4=C(N=C(C)[NH]4)C5)=O
014AE821E2578354_95A9C016747C40A9_6026_UN,COC1=C(C=C(C=C1)[S](=O)(=O)N2CC(CCCCCC)CCC2)Cl
0164B7B4965198CC_1C4E0390AECEE06D_6039_UN,O(C[C@H](NC(=O)C(F)(F)F)C(=O)O)CC2COC1(CCOCC1)O2
01835D82DB14F17A_5CE6B02677FD2FDC_7019_UN,OC(=O)C2=C1N=C(C=C([N]1N=C2)O)C=CC3=N[N](C(C)(C)C)N=N3
01E98BAA7B88DC05_FB08DFEDA05ABD07_6038_UN,N(CC[PH](=O)O)C(=O)C3=CN(C1C2CCN(C1)CC2)C(=O)NC3=O
01FB387599EFC46C_3613CAC531EEE0D5_6038_UN,CC(OC(CCC2=C([N]1N=CC(=C1N=C2C)C(=O)N)C)=O)CC#C
020C09678184BB35_162AA7CAD3BBFDBA_2201_UN,C12=NC5=C4C(=C1COCC23CCCCC3)CCC4=CC6=C5CCC6
0210D9FCA16FAE56_34BEE94182F23AB5_6041_DP,CN([C@H]1C[C@@H]2CC[C@H](C1)N2)C3=NC=C(N=C3)NCC4(N(C)C)CC4
02115011018D0094_15E7C0FB783007CC_7015_UN,ClC1=CC=C(C=C1)C2CCCCCN2[S](=O)(=O)C3=CC=C(C=C3)Cl
021738D018E5795D_49469346ECF522D4_7019_UN,C(C1=NOC(=N1)C3COC2=C(C=CC=C2)O3)=CC4C5CCOCC45
022D2ED872B6E929_27B62E2C466BEB62_6038_DP,N1CC4(C1)CC(NC(=O)C2CCC(O2)C3CCCO3)C5=NC=C[N]45
026E2368B5013F34_B3C6109F92CB07F3_6039_UN,CC3(C)OC4(COCC2CN1CC(CCC1=O)O2)CC3(C4)C(=O)O
0293944B3C2F2405_6B60465DC9592EBE_6038_UN,O(C1CCCC2(C1)OCCO2)C(=O)C3=CC4=C(C=C3)OCCC4=O
02DB59AD9161B19D_BC48A343925AFC56_6038_UN,CCN(CC)CC(C)NC(=O)CC1CCN(CC1)C(=O)OCC=C
02E106D5A828EB4A_0DA3E99AC9DD90AE_6038_UN,CCN3CCOC(CCOC(=O)[C@@H]1CC[C@@H](O1)C(=O)N2CCOCC2)C3
02EE0B2252302354_4690CA9656244BCB_6039_UN,CCOC(=O)CCCCCCCOCCO[P](OCC)(=O)OCC
0330C9DFE9EDB20A_24DE5769E5F0E50A_6038_DP,N4CCC3CC(OC(=O)C1CCCCC1C2CCCO2)CCC3C4
0340D5B765B4D65A_A28D6133B80FF0C8_6031_UN,COCCOCCOCCOCC(C)(C)C(=O)OCCOCCC
04036089884AFC5D_3646D348015B7087_6035_UN,COC(=O)[C@@H]1C[C@@H]2CC[C@H](C1)[C@@H]2OC4=CC(=C3N=CC=CC3=N4)N
04214F3EBF5C5E7C_8403FF7E805C2515_6038_UN,CCOC(=O)C(CC)(CC)CNC(=O)C1CCCC12CCOCC2
0457835F1A992E34_5F85CC2BE5671A01_6039_UN,O([C@@H](CC(=O)O)C(=O)O)CC(=O)NCCCN1CCCCCC1=O
048BB41EC35228C4_CC79C6816ADFA24A_6038_UN,O(CC23CC1CC(CC(C1)O2)C3)C(=O)C45CCC(CC4)(N=[N]#N)C5
048F7EC146877D99_F99D6200E8890A10_6031_UN,C[N+](C)(CC(=O)OCCOCCOCCOCCCC)CC(=O)[O-]
04B1675DBF7C7451_D9E8586EAA4CF3B4_6031_UN,O(C(=O)C1(CCC1)C2(CCC2)C=C)CCN(CCCC)CCCC
04C62EAF1BC3948E_7A08C5CD82698361_6038_UN,N(CCC1=NN=C([NH]1)C2OCCC2)C(=O)CCC3CC4CCC3C4
059261B61791B605_374F674BBE2375C8_6031_DP,N1C2CCC1C(C2)C(=O)OCCCOCCOCCOCCOC
0592AAD56D284430_39610AA6F181EC15_6038_UN,CCC[C@H](NC(=O)CC2CCC1(CCOCC1)CO2)CC(=O)OC
05A2F6F732BACDA2_657812C7793FBCD9_6038_UN,CCOC2(COC(C1CCN(C(N(CC)CC)=O)CC1)=O)CCC2
05D060604291E89D_35538FBE7F8942C0_6038_UN,CC(C)OC(=O)N2CCC(OC(=O)C1(CC=C)CCOCC1)CC2
0694A27EBA491B90_8D01F68E010BC4DE_6039_UN,O(C1=CC3=C(C=C1)OC2(CCCC2)O3)CCCCCCCCCC
06A0EBD451FFAC29_D41329CAE958B3E9_7019_UN,CC(C)CCN(CCC(C)C)C(=O)C=CC1=C(C)ON=C1C2CC2
06A2A83CE3AEA9B1_658452146684CD6F_6031_UN,CCCCCCOCC(=O)OCCOCCOCCOCCCC
06A2A83CE3AEA9B1_658452146684CD6F_6038_UN,CCCCOCCOCCOCCOC(COCCCCCC)=O
06E55021AD9606DD_E2DC61D1E4100502_6039_UN,O(CC1=CC(=CC=C1)C2=CC=C(C=C2)F)CC4CC3OCCC3O4
073974E7B67B8D57_04E16E9404A7ED35_6041_DP,CN([C@H]1C[C@@H]2CC[C@H](C1)N2)C3=NC(=NC=C3)NC(CN(C)C)(C)C
07D280C9EEFC9B93_641F8DC676D26CDF_6038_UN,CCN(CC)C(C)CNC(=O)CC1CCN(CC1)C(=O)OCC=C
0835FFADEE0008A8_E6E369AAF5EC1E3F_6039_UN,O(C1=CC=C(C=C1)CC2=CN=CC=C2)CCCCC3=CC=CC=C3
087E0D17F374B035_B92C6E418BEB09EF_6031_UN,O(C(=O)CCCOC1CCOCC1)CC(CN)CC2CCOCC2
08F57D86D055910D_27A309F7808A3B07_6031_UN,O(C(=O)C1=NC=C(C=C1)OCC(F)(F)F)CCSSCC(OC)=O
090B18C422DBAC7E_309C01CC33EFF640_6031_UN,O(C(=O)CN2C(=O)NC1(CCOCC1)C2=O)CC(OCC)OCC
09584B5320BCEAD5_1958809720E18FD7_7009_UN,C[N]1C=C(C=C1C(=O)C(=O)N)[S](=O)(=O)NC([C@H](CCSC)NC(=O)C)=O
095A768105593490_C2765DD1B13855D7_6038_UN,CC(C)[N]1C=CC(=N1)C(C)NC(=O)CC3CCC2(CCCC2)CC3
096AF68D86ABF993_1074FFEFDB0292D7_6039_UN,CCC3=C(COCC(NC(C)C1CC2CCC1C2)=O)N=N[N]3CC
09A18110616EDFA8_75ABA8CCCB60438C_6038_UN,CC(C)[N]1C=CC(=N1)C(C)NC(=O)C2CCCCC2C3CCCO3
09BC10D630AFED22_A885801BC18A0E32_6041_UN,CC1=N[NH]C(=C1[N](=O)=O)N[C@@H]([C@H](CC)C)C(=O)OC(C)C
09E2530E4D1407A5_B20C8E38BC901C1C_6031_UN,NC(CC1OCCCC1)C(=O)OCC2(CN)COCC3COCCN23
09EB83FF9C359033_27C990CB98927F11_6031_UN,CC(C)OC(C)(C)C(=O)OC[C@@H]1CCCO[C@H]1C2=C[N](CC)N=C2
0A02FCEFBCD78441_F6B2DE1A38E2BD83_6029_UN,CCCCC(N[S](C2=C1OCCC[N]1N=C2)(=O)=O)COC
0A5CA82BE0AE38A1_E546CDCC52AF1533_6039_UN,O(CC1=NN=C2CCOCC[N]12)CCCOCCC3=CC=CC=C3
0A6C42B1929E5DF4_F96562D66BC906D7_7019_DP,C(C(=O)N(C1CCCCC1)C2CCCCC2)=CC3=CNCCCC3
0ADF68E12974F1B8_802CEE3C89A91326_6028_UN,C(C1CN(C1)[S](C2=NN=C(S2)C3=CC=CC=C3)(=O)=O)C4=CSC=C4
0AE2EE3363FFC338_5A94246B778EF95F_6041_UN,OB(O)C1=C(N=CC=C1)NC2=CC3=C(C=C2)N=C(S3)[N]4C=CN=C4
0AE45A7E05227C96_838A65E2FBA914C2_6039_UN,COCCOCCOCCOCCCOCC(CCCCCC)=O
0AEF1F16628090E8_888A9FAFE14A35AE_2201_DP,N1CC2CC1CC3=C(C4=C(N=C23)C5=C(O4)C=CC=C5)C6=CC=CO6
0B4A95C44343C0A5_A62262667E6C87AF_6029_UN,CS[C@@H]1C[C@H](C1)N[S](C2=CSC=C2)(=O)=O
0BD96A3215DDEB24_BC48FDBBCB039F73_6038_DP,NC1=NC=C(S1)C(OC(CN(CC)C(=O)C=C)=O)C2CCOCC2
0C34024FD8732AA3_EBE6F372347274B7_6039_UN,O(CC1CCCCN1CC2=CC=CC=C2)CCCC3=CC=CC=C3
0C3B927C6994A46B_10440838D47C9C52_6038_UN,CC(C)C(CNC(C(C)C1=C(ON=C1C)C)=O)N(CC=C)CC=C
0C47F913CE67FB7A_6A939FF780594D52_6031_DP,NCC14CC(C1)(C(=O)OC[C@H]3C[C@@H]2NC[C@@H]2C3)C5(O4)CCOCC5
0C53BC020E107DAE_33369EFB0200526D_6041_UN,C2(=N[N]1C(=NN=C1C=C2)C3=NC=CC=C3)NC45CN(CC4)CCC5
0C77AA76349AF69B_B33984FCBE6C236E_6031_DP,N2CCC1CC(CCC1C2)C(=O)OCC(CN)CC3CCOCC3
0C8F4C132EC41986_9191D46522FC07E6_6031_UN,CC1=C(C=C(C=C1)Br)C(=O)OCC3CCC2(CCCCCCC2)O3
0CBFA4C8E91AC1BC_42CBD57D4CF41FB3_2201_UN,C24=NC1=C(C=CC=N1)C=C2C3(CCOCC3)OC5=C4C=CC=C5
0CC47ABF8D8C9A28_24EFE8F5F1FE3E39_6031_UN,O(C(=O)C2CCC1(CCOCC1)O2)CC(CN)CC3CCOCC3
0D153C436C7B3AEA_B69B925F7831A10A_7005_UN,N7=C(C4C1C2CC5C3CC(C1C23)C45)[NH]C8=CC6=C(OCCO6)C=C78
0D3D416CAA1087CD_CB255250AAEC006E_6039_UN,O(C(C1=CC=CC=C1)C2=NC=CC=C2)CC4CN3CC(CCC3=O)O4
0D51C645DB86E616_1D9FE481F77CBE80_6038_UN,N(CCC2CCC1(CCOCC1)CO2)C(C(C)C3CCOCC3)=O
0D5AAB01F7A4A988_93473F66FDE74F69_6039_UN,O(C12CCCC(CC(=O)C1)C2)CC3COC(O3)C4=CC=CC=C4
0D6891FFAE9006D1_F45450C3699D3143_6038_UN,CC(C)OCCC(C)OC(C(C)N(C)C1=NC=C[N]2C=NN=C12)=O
0D97AC0F08AC3C5F_DD16B2086B6DAAD3_6031_UN,CC3C(C)C(=O)N(CC(=O)OCC12CC(CN)(OC1)CCC2)C3=O
0DAC2E02FF8C2198_33D09FDE7B1F58F7_6038_UN,COC(=O)N1CC2CCC1C(CNC(C(CCC)CC(C)C)=O)C2
0DE6A3F94E5D95A5_ABF9A5946116C783_6038_UN,CCN(CC)CCC(C)NC(=O)C1(CCOCC1)C2CCOCC2
0E053BB3B8957552_B17AF02AE1E457ED_6038_UN,CCOC(=O)C(CC)(CC)COC(=O)C2CCC1(CCCC1)CC2
0E9FA4A27ECC3665_5CD91CF2B91EFA65_6038_UN,CCCCCC(NC(=O)CC2SC1(CCCC1)OC2=O)C(=O)OC
0EA6907A982C0A7D_F3A6238E15B62E2D_7005_UN,N3=C(C2=CNC1=NC(=N[N]1C2=O)C)[NH]C4=C5C(=NC=C34)C=CC=C5
0ED494B2E1BF38D1_F95DDB9545C9ECB3_6039_UN,O([C@@H]2CC1(CCCC1)OC3=C2C=C(C=C3)F)CC4=CC=CC(=N4)F
0F4567C954C07F39_B64B83B84EB95E6E_6026_UN,ClC1=C(C=CC(=C1)I)[S](=O)(=O)N2CCCCC2C3=CC=C(C)C=C3
0F76B5F9EBECAD34_F730439FF1F67D94_6031_UN,CCC(CC)(CC(=O)OC)C(=O)OCC1=NN=C2CCOCC[N]12
0FA6E7DFD632A80A_DCA5902A476E2371_6036_UN,C1(CCCCCCC1(F)F)N3CCOC2=C(C=C(Br)C=C2)[S]3(=O)=O
0FAB72FF6EFF7161_F117A401982B02DA_6035_UN,O(C[C@H]1[C@@H]2CC[C@H](C1)N2)C3=C(C=CC=C3)CNCC4=NC=CC=C4
100947BAB9C47174_1D613AD0EABF6054_6038_UN,CCCCOCCOCCOCCOC(CCOCCOCC)=O
10618C7C678493B7_32BD3BB53E176FB4_6038_UN,NC(=O)N3CC(OC(C1=C[N](C(C)C)N=C1C2CCOCC2)=O)C3
10A97E4E9F1288BB_79975126A3C61FD0_6041_UN,O=[N](=O)C2=C1N=CN=C(C1=CC=C2)NC(C)CCCC(C)C(=O)O
10AADC44F7E32C63_103F7E01CEBDDBCC_2201_UN,C12=NC5=C4C(=C1C3(OC=C2)CCNCC3)CCC4=CC6=C5CCC6
10AADC44F7E32C63_C8C7A8917CCBDE27_2201_DP,N1CCC3(CC1)C2=C5C4=C(N=C2C=CO3)C6=C(C=C4CC5)CCC6
1117FB3A90B64D37_416827C90081799B_2875_UN,COC1(CCC1)C(CO)[N]2N=NC(=C2)CN(CC(O)=O)CC(=O)O
1165A6D22FE10C04_9564410C2A1B7046_6039_UN,CCC(CC)(CC)COCC3CCC1(CCC2(CC1)OCCO2)O3
11D659B730C8051F_4EB61A71941D7DF0_6038_UN,COC(=O)[CH]4CC[C]3(C[CH](OC(=O)[C@@H]1C[C@H]2CC[C@@H]1C=C2)C3)CC4
12170B56A45D1239_85237282651E43C8_6038_UN,COC(=O)C[C@@H](NC(=O)C1CCC2(CC1)COCCO2)CC(C)C
121E9D282B7E0762_F11D792B97BB2817_6038_UN,CCOC(=O)C3(COC(=O)C1CCC(CC1)OCCC2CC2)CC3
1224F7FE0B687F04_F56A4BFFCC57857F_6038_DP,N2CCC[C@@]3(COC(CCN(C)C1CCCCC1)=O)CCCC[C@H]23
1242FE027C1E63A3_CD5A39DF1F2C6250_6039_UN,CC3(CCCCCOCC2CC1(CCOCC1)C(=O)O2)OCCO3
1273D773CA3A22D6_D964269DB42F650E_7013_DP,[NH]2C1=CC5=C(C=C1N=C2C3CCC(CC3)C4OCCO4)OCCO5
127F9ABA4B1C26DC_3D98F50720E0FDE4_6043_UN,CN(C)C(=O)C1=C(C(=CC=C1)N(CC2=CC=C(C(O)=O)C=C2)[S](=O)(=O)C3=C(C=CC(=C3)C(F)(F)F)Cl)F
131317BA7BC3D2F0_96A121543398E0BF_7019_UN,CCC(C)N(C(C)CC)C(=O)C=CC1CCN(C(CC)CC)CC1
