molecule,smiles
019324D11337D2E2_AB67AFD110EFDD5A_2238_UN,N3C1C(NC2=C(C1)C(=C(C=N2)Br)C35C4=C(C=C(B(O)O)C=C4)NC5=O)=O
01CDC107E36D7C6B_0976084F6850AFB4_6038_UN,CC2=NN=C3CCC(CNC(C1=CC(=C(B(O)O)C=C1)[N](=O)=O)=O)C[N]23
0305884051D755C4_090D2FFB7B41D23C_6038_DP,N4CC(NC(=O)C1=N[N](C2=C1CCC2)C3=CC(=CC(=C3)F)F)C(C)(C)C4
03C7E0BBBA70ABA8_EB8E8CB5531E7089_6038_UN,N(CCN(CC1CC1)C2CC2)C(CC3=C(N=C(C(CC)C)N=C3C)C)=O
06AD541E0997C813_2AB73A242C76774F_6038_DP,N1C3CCC1C(OC(C2=C(NC(C)=O)SC(=C2C)C)=O)C(=O)C3
0A626F03B7A675F1_7978ABBC97BADD25_6041_DP,CN([C@H]1C[C@@H]2CC[C@H](C1)N2)C3=NC(=CN=C3)NC4CC(C)[N]5N=CN=C45
102D2619EA713CD3_A24498B916CBE6DA_6035_DP,N3CCC2CC(OC1=CC=C(C(CCCCCCC)=O)C=C1)CCC2C3
1286E34191BFF878_3300D808D6C92500_7009_DP,N1CC(C1)[S](=O)(=O)NC(C2=C(C=NC(=N2)C(C)C)[N]3N=C(C)C=C3C)=O
133C5CF6403A2104_1E9945ADA9F27F6C_2267_UN,CC1=NC5=C(C=C1)C=C(C#CC2=CC3=C(C=C2)C4=C(C3)C=CC=C4)C=C5
138E0230E488541B_5D602CD69A219ECE_6031_UN,O(C(=O)CCC1CCC(O1)C2OCCO2)CC(CN)CC3CCOCC3
1413A8855F8D16A4_35E3E10499FECFB4_7019_UN,CCCCCCCCCCCCCCCCCC=CC1C2CCCCC12
178D3B6012533BA8_6721BF1246A14200_6031_UN,OB(O)CCCCCC(=O)OCC(CC)NC1CCC(CC1)C(C)(C)C
1E75946DC8B9D11F_8FC1B151E9506A04_6035_UN,O(C1C2CCC1C3CNCC23)C5=CC=C(C4=NC(=CS4)C(C)(C)C)C=C5
20D53EB7218D27E8_26929D2ACF4BFC1A_2201_UN,BrC1=CC2=C(C=C1)[NH]C5=C2CCC6=C3C=CN(C)C4=C3C(=NC=N4)N=C56
229EDE6BA15C374C_DFA6E0A36F024959_6029_UN,COC2(CC[S](=N[S](C1=C(B(O)O)C(=CC(=C1)F)F)(=O)=O)(=O)CC2)OC
25BC924492B6EB90_091B45D9FED3EF80_6038_UN,COCCOCCOCCOCCCOC(CO[Si](C(C)(C)C)(C)C)=O
289004F49ECF80ED_F9C2B5449153F7F7_6041_UN,FC1=CC2=C(C(=C1)F)C(=C(C#N)C=N2)NC3=C(C=CC(=C3)N(C)C)C#N
2A0DA8C3A699F257_80C64F4181D17BDC_6038_UN,CC(OC(=O)[C@@H]1C[C@H]1C2CC2)C3=C(C)OC(=C3C#N)[N]4C(=CC=C4C)C
2A80191723E2DF2E_EC702C712D98C46D_6041_UN,C[N]1C(=CN=C1[S](=O)(=O)F)NCC2(CC(OC)(C2)OC)C(=O)OC(C)C
2D25F9C7980E939B_F746CB6438F09F57_6038_UN,C[N]1C=CN=C1C(NC(=O)C3=C2C(=NOC2=NC(=C3)C4=CC=C(C=C4)F)C5CC5)C6=CC(=C(C=C6)F)F
2FA4076246E6B372_764B226765012A76_6038_UN,COC1(CC(CNC(CN(C(OCC)=O)C)=O)(C1)C(=O)OC(C)C)OC
308B6F77D6FDEB97_AB085DE99F184D24_2201_UN,C12=NC6=C5C(=C1COC4=C2C=C3OCOC3=C4)CCC5=CC7=C6CCC7
31A220FBC7791A8D_1606D68F219B9A6A_6029_UN,COC1(CN(C1)[S](C2=C(B(O)O)C(=CC(=C2)F)F)(=O)=O)C(F)(F)C(=O)O
31EDA9B364283D51_AB7AA553609A29CA_2201_UN,C12=NC5=C4C(=C1CCCC3=C2C=CC(=C3)C#N)CCC4=CC6=C5CCC6
36B84EE4C46635A2_85D60956896BC358_2201_UN,ClC2=C1[NH]C5=C(C1=CC=C2)CCC6=C3C=CN(C)C4=C3C(=NC=N4)N=C56
38CEF9F384988509_7DEC8302A0F3BEAD_6039_UN,O(CC1CC2CCCC12)CCCCCCCCCCCCCCCCCC
39CE6CC27E6A8C34_6292E8755635B2CD_6041_UN,FC1=CC2=C(C(=C1)F)C(=C(C#N)C=N2)NC3C4=C(CC3)C=C(C(=C4)F)F
3ABBE34735D789F3_35C8DA26E01A0FF1_6038_UN,CC3=N[N](CCOC(=O)C2CN(C1CC[S](=O)(=O)C1)C(=O)C2)C(=C3C)N
3CE7EBF56F819BCB_E9C1DDB667B9AE10_6038_UN,O(C1C[S](=O)(=O)CC1[S](=O)(=O)Cl)C(COC2CC(CCC2C(C)C)C)=O
3D40F0A8D1EA7850_3ED0998D3EBDD686_6031_DP,N1C(CCC2CCCCC12)C(=O)OCCCCCCCCCCCNC
3DFC22E7A0F6D3F3_1428E003494650CE_6038_UN,COCCOCCOCCOCCCNC(COCCOCCOC)=O
3E189C91C1DE9081_26590DD38A82F79E_6031_UN,O(C(=O)C(=CC1=C[N](CCC#N)N=C1C2=CC=C(C=C2)F)C#N)CC3CN(C3)C4=C(C=C(C=C4)C(F)(F)F)Br
4173230DC8357D14_0B1F0B1AFE3AC716_6029_UN,CN(CCOCCOCCOC)[S](C1=C(B(O)O)C(=CC(=C1)F)F)(=O)=O
433D13682B42CC57_179D96844D8A9B8E_6031_UN,CC1=N[N](C)C(=C1C(CC(=O)OCCNC2CCC(C)C2)C(F)(F)F)C
438DE9FD752C6986_7A62CB8E43B53C69_6038_UN,CCN(CC)CCCC(C)NC(=O)CC1CCN(CC1)C(=O)OCC=C
46A0543A4F692DD8_6B69031E3AB33416_6038_UN,N(C1C2=C(CC1)C=C(C(=C2F)F)F)C(C3(C(OC)=O)CC3[S](=O)(=O)C)=O
4954BF5E18BE0396_B48E435CBFDBA822_1031_UN,CC4CCC1=C(SC(=C1C#N)[N]2C3=C(C(=C2C)C(OCC)=O)CCC3)C4
4AC017F2A8AB694D_2584462A0F9794ED_6041_DP,CN([C@H]1C[C@@H]2CC[C@H](C1)N2)C3=NC(=NC=N3)NC5CC4=CC=N[N]4CC5
4BE4BF244595D153_01C54BF5FD9D3E51_6038_UN,CC(NC(C1=C(C(=CC(=C1)[S](N)(=O)=O)Cl)Cl)=O)CN2CC(C)CC(C)C2
4C679AEFC1A18718_45EF0834D4619E37_6039_UN,COC(=O)CC2CC(OCC(=O)NC(=O)NC1CC[S](=O)(=O)C1)C2(C)C
4D3AEA794BAC10DF_99F7297243E3E9CB_6038_UN,CC(C)C1CCC(C)CC1CNC(CCN(C)CC2=C(ON=C2C)C)=O
4E7743D237D887E0_91B133B13FDB2F14_6005_UN,ClC2=C1C(=CC=CC1=NC=C2C#N)C3=CC4=C(C=C3)CC5=C4C=CC=C5
5267E69580CA0E0E_884EF67C01B05FBA_7019_UN,CC(C)CN(C(C)C)C(=O)C=CC1=C([N](N=C1C)C2CC[S](=O)(=O)C2)C
573A4C85C9610FCF_2A2BCE77E73FB071_6038_UN,COCCOCCOCCCOC(COCC(N(CC)CCOC)=O)=O
57FA8DF38165577E_FC996D2B6EE0502D_2201_DP,N2CCC3CC1=C(C4=C(N=C1C2C3)C5=C(O4)C=CC=C5)C6=CC=CC=C6
592BC1206937376E_615D013C9616A5E4_6035_UN,CCCN(CCC)CCCOC2=C1CC(CCC1=N[NH]2)C3=CC=CC=C3
592EFF83C0357609_E1795AFEFD9021BD_6041_UN,COCOC1=C(C=C(C=C1F)F)NC2(C(OCC)=O)CC(C2)C(C)(C)C
5C4A86146DCE50BB_3979AC3B5254932D_6039_UN,O(CC1=NC(=CS1)C2CC2)CCCCCCCCCCCCCCCC
5C6F82DDA83BAC3B_A4E4BD6D99357B80_6029_UN,COC(=O)[C@H]1C[C@H](CN(C1)[S](C2=CC(=C(B(O)O)S2)I)(=O)=O)C(C)(C)C
