Rank,Molecule ID,SMILES,Score,Extraction Timestamp
1,,"SMILES
C12=NC6=C5C(=C1CC4=C3C2=CC=CC3=CC=C4)CCC5=CC7=C6CCC7",,2025-04-09T17:46:46.673709
2,,"SMILES
C12=NC6=C5C(=C1CC4=C3C2=CC=CC3=CC=C4)CCC5=CC7=C6CCC7",,2025-04-09T17:47:34.650047
3,,"SMILES
C12=NC6=C5C(=C1CC4=C3C2=CC=CC3=CC=C4)CCC5=CC7=C6CCC7",,2025-04-09T17:48:24.068043
4,,"SMILES
C12=NC6=C5C(=C1CC4=C3C2=CC=CC3=CC=C4)CCC5=CC7=C6CCC7",,2025-04-09T17:49:15.230598
5,,"SMILES
C12=NC6=C5C(=C1CC4=C3C2=CC=CC3=CC=C4)CCC5=CC7=C6CCC7",,2025-04-09T17:50:03.128584
6,,"SMILES
C12=NC6=C5C(=C1CC4=C3C2=CC=CC3=CC=C4)CCC5=CC7=C6CCC7",,2025-04-09T17:51:25.968135
7,,"SMILES
C12=NC6=C5C(=C1CC4=C3C2=CC=CC3=CC=C4)CCC5=CC7=C6CCC7",,2025-04-09T17:53:04.908740
8,,"SMILES
C12=NC6=C5C(=C1CC4=C3C2=CC=CC3=CC=C4)CCC5=CC7=C6CCC7",,2025-04-09T17:54:53.362341
9,,"SMILES
C12=NC6=C5C(=C1CC4=C3C2=CC=CC3=CC=C4)CCC5=CC7=C6CCC7",,2025-04-09T17:56:27.550156
10,,"SMILES
C12=NC6=C5C(=C1CC4=C3C2=CC=CC3=CC=C4)CCC5=CC7=C6CCC7",,2025-04-09T17:57:56.091884
11,,"SMILES
C12=NC6=C5C(=C1CC4=C3C2=CC=CC3=CC=C4)CCC5=CC7=C6CCC7",,2025-04-09T17:59:24.887185
12,,"SMILES
C12=NC6=C5C(=C1CC4=C3C2=CC=CC3=CC=C4)CCC5=CC7=C6CCC7",,2025-04-09T18:00:58.246385
13,,"SMILES
C12=NC6=C5C(=C1CC4=C3C2=CC=CC3=CC=C4)CCC5=CC7=C6CCC7",,2025-04-09T18:02:29.644796
14,,"SMILES
C12=NC6=C5C(=C1CC4=C3C2=CC=CC3=CC=C4)CCC5=CC7=C6CCC7",,2025-04-09T18:04:06.755502
15,,"SMILES
C12=NC6=C5C(=C1CC4=C3C2=CC=CC3=CC=C4)CCC5=CC7=C6CCC7",,2025-04-09T18:05:47.868613
16,,"SMILES
C12=NC6=C5C(=C1CC4=C3C2=CC=CC3=CC=C4)CCC5=CC7=C6CCC7",,2025-04-09T18:07:35.846664
17,,"SMILES
C12=NC6=C5C(=C1CC4=C3C2=CC=CC3=CC=C4)CCC5=CC7=C6CCC7",,2025-04-09T18:09:17.568756
