molecule,smiles,raw_score,weighted_score,protein,is_target
2D99538E35E25C29_A2D4A69C24510D45_6034_UN,O=C2C[C]1(CC[CH2]CC1)CC(=O)[N]2CCOC3(CN)CCCCC3,4.748658180236816,-4.748658180236816,A0A1J0N3I0,False
79D0656C336C1F6C_C98180AC8B11F1C5_6034_UN,O=C1CC3(CC(=O)N1CCOC2(CN)CCCC2)CCCCCC3,4.761258602142334,-4.761258602142334,A0A1J0N3I0,False
BB62F24A62E74DE5_9036525C86DE4CF2_6031_UN,O(C(=O)CN1CCCCCCC1=O)CCCN2CCCCCCC2,4.774268627166748,-4.774268627166748,A0A1J0N3I0,False
5E1A40608AB02F53_16F0231D8B0F5225_6031_DP,NC1(CCC2(CC1)OCCO2)C(=O)OCCOC3(CN)CCOC3,4.7879638671875,-4.7879638671875,A0A1J0N3I0,False
B12F0D07B7E1C7ED_C2A173E4C67E72F2_6038_UN,COC(=O)C2CCN(CCOC(=O)CCN1CCCCCC1)CC2,4.795148849487305,-4.795148849487305,A0A1J0N3I0,False
97238C2EA2694A78_BE6FC30F35635A57_6031_UN,O(C(=O)CN1CCCCC(=O)C1=O)CCCN2CCCCCCC2,4.812524795532227,-4.812524795532227,A0A1J0N3I0,False
981BE1CF627F46D6_B1D5AD011727C2CB_6035_UN,O(CCOC1=CC=CC=C1)C2=CC=C(C=C2)OCC3=CC=CC=C3,4.824009895324707,-4.824009895324707,A0A1J0N3I0,False
981BE1CF627F46D6_EFE384F7E793EED1_7022_UN,C1(=CC=C(C=C1)OCC2=CC=CC=C2)OCCOC3=CC=CC=C3,4.824010848999023,-4.824010848999023,A0A1J0N3I0,False
4CD89155C7775E5B_29A5A97D37AAABD0_6031_UN,O(C(=O)CN1CCCCCC1=O)CC2(N)CCC3(CC2)OCCO3,4.8301682472229,-4.8301682472229,A0A1J0N3I0,False
754AB6D4EAB42867_25EF5FC02A3CA2F4_6031_UN,O(C(=O)CN1CCCCC(=O)C1=O)CCOC2(CN)CCCCC2,4.84737491607666,-4.84737491607666,A0A1J0N3I0,False
DD24D720D6AC8359_46D30DD794CD45E9_6031_UN,CCOC1(CCCCCC1)C(=O)OCCCN2CCCCCCC2,4.851973533630371,-4.851973533630371,A0A1J0N3I0,False
FA7C3D7183370F49_454E3DCEBD59D871_6038_UN,COC(=O)CSSCCOC(=O)CN1C(=O)N(CC=C)C(=O)C1=O,4.852400302886963,-4.852400302886963,A0A1J0N3I0,False
