molecule,smiles,raw_score,weighted_score,protein,is_target
D9A85D806D1E85AD_AE6E406AAE69D5C9_6038_UN,CC1=CC(=CC=C1)C(OC(=O)C23CCCN(CCC2)C3)C4=CC=CC=C4,5.212333679199219,-5.212333679199219,A0A291L1P7,False
A700F9A3757B798F_FA973189D809814E_6038_UN,CC1=CC=C(C=C1)C(OC(=O)C23CCCN(CCC2)C3)C4=CC=CC=C4,5.215301513671875,-5.215301513671875,A0A291L1P7,False
749C32A009EBB8CA_52E91856698B6042_6041_UN,C1(=NC3=C(C(=N1)C2=CC=CC=C2)C=CC=C3)NC45CCCN(CCC4)C5,5.272461891174316,-5.272461891174316,A0A291L1P7,False
A4DCEE613F4632D1_1FF708EB08E68CE3_6041_UN,C1(=NC3=C(C(=C1)C2=CC=CC=C2)C=CC=C3)NC45CCCN(CCC4)C5,5.281615734100342,-5.281615734100342,A0A291L1P7,False
4FE16B801F06D97F_5FEA45A0A4302D47_6038_UN,CC1=CC=C(C=C1)C(OC(=O)CC2CN3CCN2CC3)C4=CC=CC=C4,5.332413196563721,-5.332413196563721,A0A291L1P7,False
B157C2AE0C76D488_46A7A37A378DED8C_6038_UN,CC1=C(C=CN=C1)C(OC(=O)C23CCCN(CCC2)C3)C4=CC=CC=C4,5.353518009185791,-5.353518009185791,A0A291L1P7,False
21C447C985771621_8BF5119151BD076D_6035_UN,O(CC12CCCN(CCC1)C2)C4=C3[N](C=CN=C3)C(=N4)C5=CC=CC=C5,5.384706497192383,-5.384706497192383,A0A291L1P7,False
308B6F77D6FDEB97_AB085DE99F184D24_2201_UN,C12=NC6=C5C(=C1COC4=C2C=C3OCOC3=C4)CCC5=CC7=C6CCC7,5.395170211791992,-5.395170211791992,A0A291L1P7,False
7115209D6343A91F_7C5F59272A5352B2_2201_UN,C12=NC6=C5C(=C1CC4=C2C=C3OCCOC3=C4)CCC5=CC7=C6CCC7,5.405977249145508,-5.405977249145508,A0A291L1P7,False
43B0688CB85E82E0_23DDD8B0AE0CAA13_7005_UN,N3=C(C1N2CCN(C1)CC2)[NH]C4=CC(=CC=C34)C6=NC5=C(C=CC=C5)S6,5.432389736175537,-5.432389736175537,A0A291L1P7,False
2C51EE29407E51B4_FB29394596805274_6038_UN,CC(OC(=O)C12CCCN(CCC1)C2)C3=C(C=CC=C3)C4=CC=CC=C4,5.4550580978393555,-5.4550580978393555,A0A291L1P7,False
B7AE226756183A8A_7484ABAAFE42AD93_6035_UN,O(C23CC1CC(CC(C1)C2)C3)C5=C4[N](C=CN=C4)C(=N5)C6=CC=CC=C6,5.473756790161133,-5.473756790161133,A0A291L1P7,False
4397BA2C970FD974_A35FB3C956D8D9FD_6038_UN,CN(C)C(=O)OCCNC(=O)C3=CN(C1C2CCN(C1)CC2)C(=O)NC3=O,5.483565807342529,-5.483565807342529,A0A291L1P7,False
40C995D481DAEA28_F6EB6679F2A73AA3_6031_UN,COCCOCCOCCCC(=O)OCCOCCOCCOCCCl,5.491386413574219,-5.491386413574219,A0A291L1P7,False
F14128CEDA670009_375DAB3690304399_2201_UN,C12=NC6=C5C(=C1CC4=C3C2=CC=CC3=CC=C4)CCC5=CC7=C6CCC7,5.493738651275635,-5.493738651275635,A0A291L1P7,False
36E8675442E2447D_FC843CA6F7459309_6035_UN,O(CCOCC1=CC=CC=C1)C3=C2[N](C=CN=C2)C(=N3)C4=CC=CC=C4,5.504415512084961,-5.504415512084961,A0A291L1P7,False
97CE25B0B30BEDFA_ABB26BD55C0DF932_2201_DP,N1CCC4(CC1)C2=C6C5=C(N=C2C3=C(C=CC=C3)O4)N=CN=C5NC=C6,5.511317253112793,-5.511317253112793,A0A291L1P7,False
97CE25B0B30BEDFA_ABB26BD55C0DF932_2201_DP ,N1CCC4(CC1)C2=C6C5=C(N=C2C3=C(C=CC=C3)O4)N=CN=C5NC=C6,5.511317253112793,-5.511317253112793,A0A291L1P7,False
146B81335F52E591_10F617DDEC861D1A_7005_UN,N3=C(C1N2CCN(C1)CCC2)[NH]C4=CC(=CC=C34)C6=NC5=C(C=CC=C5)S6,5.5193376541137695,-5.5193376541137695,A0A291L1P7,False
E688D73200839B8A_23A3348979615A46_6038_UN,CC(=O)OCCC1=CC(=CC=C1)NC(=O)CN2C(=O)N(CC=C)C(=O)C2=O,5.5246686935424805,-5.5246686935424805,A0A291L1P7,False
A2AD553DBECA0207_B571D3A65835680B_6031_UN,COCCOCCOCCCC(=O)OCCOCCOCCOCCN,5.52930212020874,-5.52930212020874,A0A291L1P7,False
5F21B1019299899E_FB2DADB2BC503F09_6039_UN,O(C1=CC=C(C=C1)C2=CC=C(C=C2)C(F)(F)F)CCC3=CC=CC(=C3)F,5.55756950378418,-5.55756950378418,A0A291L1P7,False
7A8A05792DE5A829_0AB900DD5B00BFC6_6039_UN,O(CC12CCC(CC1)CC2)CCOC(C3=CC=CC=C3)C4=CC=CC=C4,5.5656280517578125,-5.5656280517578125,A0A291L1P7,False
99248F6D7D396149_B036433BBFC293C0_6035_UN,CC45CCC(COC2=C1[N](C=CN=C1)C(=N2)C3=CC=CC=C3)(CC4)OC5,5.567104816436768,-5.567104816436768,A0A291L1P7,False
ACA58533170B4FC2_0285A1BA2DC18D27_6039_UN,COC(=O)C[C@H](C)OCC(=O)N1CCC(CC1)C(=O)N2CCCCCC2,5.573004722595215,-5.573004722595215,A0A291L1P7,False
04148D2C789EBFB4_321054150983670C_6038_UN,CC3(COC(=O)CC2(CC(=O)N1CCOCC1)CCCC2)CCCCO3,5.592087268829346,-5.592087268829346,A0A291L1P7,False
A937610DD8B697ED_DC4F319696ADEB49_6031_UN,O(C(=O)C1=CC2=C(N=C1)C=CC=N2)CC4=NC3=C(N=C(N)N=C3N)N=C4,5.597934722900391,-5.597934722900391,A0A291L1P7,False
5951A1B33B049B5E_E7E570C89A096BDD_6038_UN,N(CCC1=N[N](N=C1)C2=CC=CC=C2)C(=O)CN3C(=O)N(CC=C)C(=O)C3=O,5.599574565887451,-5.599574565887451,A0A291L1P7,False
0A41F356C4AB2FE3_C0CA538064CBC929_2201_DP,N1CC4(C1)C2=C6C5=C(N=C2C3=C(C=CC=C3)O4)C7=C(C=C5CC6)CCC7,5.608210563659668,-5.608210563659668,A0A291L1P7,False
BF7D8E0A935B0CE8_1EF42738B2956279_6031_UN,O(C(=O)C1CCC(O1)C2CCCO2)CC3(CN)COCC4COCCN34,5.620883941650391,-5.620883941650391,A0A291L1P7,False
0870876143F88BA7_0BF8C938AC6CE21A_6031_UN,O(C(=O)CCCOC1=CC=C(C=C1)Br)CCC3=C[N]2N=CC(=C2N=C3)Br,5.648440361022949,-5.648440361022949,A0A291L1P7,False
41D8D18659D9725A_82539D4B254FA0DD_6038_DP,CC12CCC(CNC(CCC(OCCOC(CCC(O)=O)=O)=O)=O)(CC1)OC2,5.653350353240967,-5.653350353240967,A0A291L1P7,False
685E3A1CA29CE93E_745B0754A72C696B_2201_UN,C2(=NC1=C(C=NC=N1)C=C2C3=CC=CC=C3)C56CC4CC(CC(C4)C5)C6,5.656551361083984,-5.656551361083984,A0A291L1P7,False
DF36657955C1A528_C01C0C51E719EEA4_6038_DP,N3CCC[C@@]4(COC(=O)CC2(CC(=O)N1CCOCC1)CCCC2)CCCC[C@H]34,5.66025447845459,-5.66025447845459,A0A291L1P7,False
03CC721FEF6E34B6_F5D38EED9B694C3B_7013_DP,N2=C(C1=CC=C(N)C=C1)[N](C3=C2C=CC=C3)C56CC4CC(CC(C4)C5)C6,5.689752101898193,-5.689752101898193,A0A291L1P7,False
151AD301EF947331_1D621F75CADDE2DA_6038_UN,O(CCOC1=C(C=CC=C1)F)C(=O)C2C(C3CC2C=C3)C4=CC=CC=C4,5.695940017700195,-5.695940017700195,A0A291L1P7,False
77715862284A7E69_79746A3F8C11C3DF_2201_UN,C12=NC6=C5C(=C1CCC3=C2SC4=C3C=CC=C4)CCC5=CC7=C6CCC7,5.710693359375,-5.710693359375,A0A291L1P7,False
8F8DCE9608988F3D_C78BF30F30D4FDA2_6038_UN,CC(OC(=O)CC2(CC(=O)N1CCOCC1)CCCC2)CC3CCCO3,5.715505599975586,-5.715505599975586,A0A291L1P7,False
79414406837EF876_826822D2B7D8BCF6_6041_DP,N1CC2CCC1CN2C3=NC(=NC=C3)NC4=C(ON=C4)C5=CC=CC=C5,5.715719223022461,-5.715719223022461,A0A291L1P7,False
2660EA0F399BB1C0_3565862D59E2650D_6035_UN,O(CC12CN(CC1)CCC2)C4=C3C=CC=CC3=NC(=N4)C5=CC=NC=C5,5.7197065353393555,-5.7197065353393555,A0A291L1P7,False
773B77C7201E233F_AA569A0E8EECFA71_6031_UN,CC(=O)N1CCN(CC1)C(=O)CCC(=O)OCCN2CC(OC(C)C2)C,5.720247268676758,-5.720247268676758,A0A291L1P7,False
F4E1BF496DB509B5_BE4702EECE6D72D2_6039_UN,CC1=CC(=CC=C1)C(OCC2=CN=C[N]2CC3=CC=CC=C3)C(F)(F)F,5.727400779724121,-5.727400779724121,A0A291L1P7,False
6843FF33E3913229_932B534E04DF23B6_6039_UN,CC(OCC(=O)N1CCC(CC1)C(=O)N2CCCCC2)(CC=C)CC=C,5.735369682312012,-5.735369682312012,A0A291L1P7,False
CE61FE19AB985140_0B5BA1CB4AAA8903_6031_UN,CCOC1=C(C=C(C(=C1)N)C(=O)OC2=CN(C)C(=CC2=O)CN)OCC,5.735649108886719,-5.735649108886719,A0A291L1P7,False
E890EED344ED0BD6_67BFCA538D9C0A27_6038_UN,COC1=COC(=CC1=O)COC(C2=CC(=C(C(=C2)OC(=O)C)OC(=O)C)OC(C)=O)=O,5.751763343811035,-5.751763343811035,A0A291L1P7,False
090F1C63A5E82794_7096C78A2F3230E4_6041_UN,C1(=CC(=CC=C1)C2=CC=CC=C2)NCCC3=CC(=CC=C3)[S](F)(F)(F)(F)F,5.758886337280273,-5.758886337280273,A0A291L1P7,False
91D5956E62649BC8_F458B1B2C7F36FF2_6041_DP,N1CC2CCC1CN2C3=NC(=CN=C3)NC4=C(N=CC=C4)[N]5C=NC=C5,5.759217262268066,-5.759217262268066,A0A291L1P7,False
CB2E05679584617A_D55BE3837777EE79_2201_UN,C12=NC6=C5C(=C1CCC3=C2[NH]C4=C3C=CC=C4)CCC5=CC7=C6CCC7,5.759884834289551,-5.759884834289551,A0A291L1P7,False
B86A76DA4AC0B1AE_9C3FCBE4E702570A_7013_UN,N4=C(C23CC1CC(CC(C1)C2)C3)[N](C5=C4C=CC=C5)C6=CC=C(C=C6)F,5.760160446166992,-5.760160446166992,A0A291L1P7,False
