molecule,smiles,raw_score,weighted_score,protein,is_target
B721D097F415DAF7_A4B4D0788952C562_7019_UN,CC1CCC2=C(C1)SC3=C2C(NC(=N3)C=CC4=CC(=CS4)B(O)O)=O,8.213727951049805,8.213727951049805,A0A2K5JFC0,True
7CDE62DBC23C64DF_83DEAC4F254A529C_7019_UN,CC1=N[N](CC[S](=O)(=O)C)C(=C1C=C[C@@H]2C[C@@H](CC[C@H]2C(C)C)C)C,8.207144737243652,8.207144737243652,A0A2K5JFC0,True
9248C9966745DEEF_D51E180B2FCAE5CB_7019_UN,CC1CCC2=C(C1)SC3=C2C(NC(=N3)C=CC4=C(OC)C=CC(=C4)B(O)O)=O,8.15799331665039,8.15799331665039,A0A2K5JFC0,True
A5168896CA8A8BC5_FC31EC247C633C63_6003_UN,CC6(C[C@H]5C4=CC[C@H]1[C@@](CC[C@H]2C([C@H](CC[C@]12C)OC3=CC=C(C(CC(F)(F)F)=O)C=C3)(C)C)([C@@]4(CC[C@]5(CC6)C(=O)O)C)C)C,8.128007888793945,8.128007888793945,A0A2K5JFC0,True
E871D041C9D21D6E_3F38ABBCA56EE55F_7019_UN,CC1CCC2=C(C1)SC3=C2C(NC(=N3)C=CC4=CC=CC(=C4)B(O)O)=O,8.106950759887695,8.106950759887695,A0A2K5JFC0,True
AE3A83867A4B2CC1_39A9FF393F059066_7019_UN,C[Si](C)(C)C#CC1=CC(=CC(=C1)C=CC2=NOC3CCCC23)[S](=O)(=O)F,8.106640815734863,8.106640815734863,A0A2K5JFC0,True
AC14376BC3C91795_CB5D14DCB2AFE5FA_6041_UN,CC1=N[N](CC[S](=O)(=O)C)C(=C1NC2CC(CCC2C(C)C)C)C,8.089544296264648,8.089544296264648,A0A2K5JFC0,True
EBF285FFB55BD928_10D4697D8B233BBD_6026_UN,FC1=C(C=CC(=C1)C2CC2)[S](=O)(=O)N(C4CCC3=C(C=N[N]3C(C)C)C4)C5CCC6=C(C5)C=N[N]6C(C)C,8.089444160461426,8.089444160461426,A0A2K5JFC0,True
977857474A1A58D4_14813118E1713FE1_6038_UN,O(C1C[S](=O)(=O)CC1[S](=O)(=O)Cl)C(C=C(C=CC=C(C)C=CC2=C(C)CCCC2(C)C)C)=O,8.080486297607422,8.080486297607422,A0A2K5JFC0,True
CD76281C44012492_32284F2F144FFD5B_6026_UN,CC1=N[N](CC(F)(F)F)C(=C1[S](=O)(=O)N(C3CCC2=C(C=N[N]2C(C)C)C3)C4CCC5=C(C4)C=N[N]5C(C)C)C,8.073975563049316,8.073975563049316,A0A2K5JFC0,True
