molecule,smiles,raw_score,weighted_score,protein,is_target
FF6C303ABDB65D23_A003F26544112B04_6038_UN,CN(C)C1=NC(=CC=N1)N2C[C@@H](F)C[C@H]2CNC(=O)C4=C3C=CC=CC3=NC5=C4CCC5=CC6=CC(=C(C=C6)Cl)Cl,6.948412895202637,6.948412895202637,A0A2K6D6F3,True
5E5B92CF0EA9935A_9231BE324B476822_6026_UN,ClC1=NC2=C(C(=N1)Cl)SC(=C2)[S](=O)(=O)N(C4CCC3=C(C=N[N]3C(C)C)C4)C5CCC6=C(C5)C=N[N]6C(C)C,6.9448747634887695,6.9448747634887695,A0A2K6D6F3,True
A5AD7CA19BD1CA0C_BB9A775F9095FD2A_6026_UN,FC1=C(C=C(C(=C1)C2=N[NH]C=C2[S](=O)(=O)N(C4CCC3=C(C=N[N]3C(C)C)C4)C5CCC6=C(C5)C=N[N]6C(C)C)Cl)Cl,6.930973052978516,6.930973052978516,A0A2K6D6F3,True
ED89AEFC8EF6A3EF_374DE476E423E4DB_7019_UN,OC1=CC(=NC2=C(C#N)C=N[N]12)C=CC3=C(C)[N](C(=C3)C)C4=NC(=CC=N4)C(F)(F)F,6.926400184631348,6.926400184631348,A0A2K6D6F3,True
7A8546871E467AD2_15CABCA715EA726C_6041_UN,C2(=C(C=C1C3CCC(C1=N2)C3)C#N)NC5CCC4=NC(=C[N]4C5)C6=C(C=C(C=C6)F)F,6.92608118057251,6.92608118057251,A0A2K6D6F3,True
2244E8F8D868803C_BEC726FDBAAA6D3C_6026_UN,[S](=O)(=O)(C2=C[N]1N=CC(=C1N=C2)C#N)N(C4CCC3=C(C=N[N]3C(C)C)C4)C5CCC6=C(C5)C=N[N]6C(C)C,6.92145299911499,6.92145299911499,A0A2K6D6F3,True
EBF285FFB55BD928_10D4697D8B233BBD_6026_UN,FC1=C(C=CC(=C1)C2CC2)[S](=O)(=O)N(C4CCC3=C(C=N[N]3C(C)C)C4)C5CCC6=C(C5)C=N[N]6C(C)C,6.912019729614258,6.912019729614258,A0A2K6D6F3,True
72AA8583E3D0B2D4_2D028842AA153527_6026_UN,[S](=O)(=O)(C1=C(C#N)SC2=C1C=CC=C2)N(C4CCC3=C(C=N[N]3C(C)C)C4)C5CCC6=C(C5)C=N[N]6C(C)C,6.911940574645996,6.911940574645996,A0A2K6D6F3,True
2612F5AD4ACE263F_87AE08CFF7B94299_6026_UN,[S](=O)(=O)(C1=CC=C(S1)C2=CC=C(Br)S2)N(C4CCC3=C(C=N[N]3C(C)C)C4)C5CCC6=C(C5)C=N[N]6C(C)C,6.91080904006958,6.91080904006958,A0A2K6D6F3,True
618E83028C7B2EBE_63811B23245531D8_6026_UN,CC1=C[N](N=C1)C2=C(C=C(C=C2)[S](=O)(=O)N(C4CCC3=C(C=N[N]3C(C)C)C4)C5CCC6=C(C5)C=N[N]6C(C)C)F,6.909643173217773,6.909643173217773,A0A2K6D6F3,True
2DEEB2E8F14363C3_C42F97F73C1B2F02_6041_UN,CC1=C(SC(=N1)[S](=O)(=O)OC2=C(C(=C(C(=C2F)F)F)F)F)NC4CCC3=NC(=C[N]3C4)C5=C(C=CC(=C5)F)F,6.909540176391602,6.909540176391602,A0A2K6D6F3,True
D7C1223614FC670D_8FE57382C070530B_6041_UN,CC1=C(SC(=N1)[S](=O)(=O)OC2=C(C(=C(C(=C2F)F)F)F)F)NC4CCC3=NC(=C[N]3C4)C5=C(C=C(C=C5)F)F,6.9078569412231445,6.9078569412231445,A0A2K6D6F3,True
5AAF04C03AD1EAF5_BF22637E5393C613_6026_UN,[S](=O)(=O)(C1=CSC(=N1)C2=CC(=CC=C2)Br)N(C4CCC3=C(C=N[N]3C(C)C)C4)C5CCC6=C(C5)C=N[N]6C(C)C,6.904341220855713,6.904341220855713,A0A2K6D6F3,True
7A2D77F04ED1BBD0_596987D77A26E78F_6026_UN,[S](=O)(=O)(C1=CSC(=N1)C2=CC=C(C=C2)Br)N(C4CCC3=C(C=N[N]3C(C)C)C4)C5CCC6=C(C5)C=N[N]6C(C)C,6.903569221496582,6.903569221496582,A0A2K6D6F3,True
B2E64E230A3AF480_720D523FF08A68DB_6041_UN,C2(=C1C(=CSC1=NC(=N2)C3CC3)C4=CC=CC=C4)NC5=C(C(=C(C(=C5F)F)C#N)C#N)F,6.902870178222656,6.902870178222656,A0A2K6D6F3,True
FB5DC2DA73921D21_8DEED853E01CB113_7019_UN,CC1CCC2=C(C1)SC3=C2C(N=C(N3)C=CC4=C(C)[N](C(=C4)C)C5=NC(=CC=N5)C(F)(F)F)=N,6.893322467803955,6.893322467803955,A0A2K6D6F3,True
1D28C3C84DA54FBC_75DCE1825E3A0610_6038_UN,N(C1=C(C(=C(C(=C1F)F)C#N)C#N)F)C(C3=C2C=CC=CC2=NC4=C3CC(C)CC4=CC5=CC=C(C=C5)N(C)C)=O,6.889357566833496,6.889357566833496,A0A2K6D6F3,True
D857EE9846733990_003ABECD10DB12DF_6026_UN,[S](=O)(=O)(C1=C2C(=C(C=C1)Br)C=CN=C2)N(C4CCC3=C(C=N[N]3C(C)C)C4)C5CCC6=C(C5)C=N[N]6C(C)C,6.8862409591674805,6.8862409591674805,A0A2K6D6F3,True
320897C563A70461_0E452ED73CD45EDC_6026_UN,[S](=O)(=O)(C2=CC1=C(C(=CN=C1)Br)S2)N(C4CCC3=C(C=N[N]3C(C)C)C4)C5CCC6=C(C5)C=N[N]6C(C)C,6.883240699768066,6.883240699768066,A0A2K6D6F3,True
2178BF365E326325_E027BA49F9096D57_6026_UN,FC1=C(C(=CC(=C1)C(F)(F)F)Br)[S](=O)(=O)N(C3CCC2=C(C=N[N]2C(C)C)C3)C4CCC5=C(C4)C=N[N]5C(C)C,6.88291597366333,6.88291597366333,A0A2K6D6F3,True
494DDEBED8CB56E1_F43982E4EEB08AF2_6026_UN,CC1=C(C=C(C(=C1)[S](=O)(=O)N(C3CCC2=C(C=N[N]2C(C)C)C3)C4CCC5=C(C4)C=N[N]5C(C)C)F)Br,6.878773212432861,6.878773212432861,A0A2K6D6F3,True
