molecule,smiles,raw_score,weighted_score,protein,is_target
EB48585E4893C7AF_3CCFD7FD29C5D577_2201_UN,C23=NC1=C(C=C(C=C1)Br)C(=C2[C@@H]4C[C@H]3CC45OCCO5)C6=CC=CC=C6,4.066595554351807,-3.049946665763855,A0A2Y9I6W8,False
76584CA8150212C4_244ECB308E8F3175_2201_UN,C23=NC1=C(C=C(C=C1)F)C(=C2[C@@H]4C[C@H]3CC45OCCO5)C6=CC=CC=C6,4.066596984863281,-3.049947738647461,A0A2Y9I6W8,False
749C32A009EBB8CA_52E91856698B6042_6041_UN,C1(=NC3=C(C(=N1)C2=CC=CC=C2)C=CC=C3)NC45CCCN(CCC4)C5,4.085869789123535,-3.0644023418426514,A0A2Y9I6W8,False
C13FC452D89D10E2_9C48A0DE140A326C_7013_UN,N3=C(C1=CC=C(C=C1)N2CCCC2)[N](C4=C3C=CC=C4)C5=CC=NC=C5,4.112682819366455,-3.0845121145248413,A0A2Y9I6W8,False
A5C88F09E72FB1D7_61A895F85B6D7985_6041_UN,FC1=C(C=C(C=C1)NC3CN(CC2=CC=CC=C2)C4(C3)CCCCC4)F,4.17916202545166,-3.134371519088745,A0A2Y9I6W8,False
6B96A6A0F0DBFE48_E35E2DFCBDE436AC_6026_UN,ClC2=C1OCCCOC1=CC(=C2)[S](=O)(=O)N3CCCCCCCCCC3,4.192834854125977,-3.1446261405944824,A0A2Y9I6W8,False
B1281C17700A66A0_0AB2C188CE3BBC98_7022_UN,C1(=CC(=CC=C1)C2=CC=C(C=C2)Cl)OC3CCCCCCCCCCC3,4.194608688354492,-3.145956516265869,A0A2Y9I6W8,False
CF5FB28AA56B458C_2F9947EEB1CEB2BC_6006_UN,C2(=NC1=C(C=CC=C1)[N]3C=NC=C23)C5=C4OC6=C(C4=CC=C5)C=CC=C6,4.216279029846191,-3.1622092723846436,A0A2Y9I6W8,False
4E12F906CA11E92B_FCF932043DB519EB_6026_UN,ClC2=C1OCCCOC1=CC(=C2)[S](=O)(=O)N3CCN(C)CCN(CC3)C,4.233344078063965,-3.1750080585479736,A0A2Y9I6W8,False
A4DCEE613F4632D1_1FF708EB08E68CE3_6041_UN,C1(=NC3=C(C(=C1)C2=CC=CC=C2)C=CC=C3)NC45CCCN(CCC4)C5,4.239767551422119,-3.1798256635665894,A0A2Y9I6W8,False
78265F48258EBE1A_02C2095EB348FA0C_6039_UN,O(C1CCCCCCC1(F)F)CC4CCC2(CCC3(CC2)OCCO3)O4,4.255948066711426,-3.1919610500335693,A0A2Y9I6W8,False
BFDFD52DDAC7769E_7EDEE70552AFBBB0_6034_UN,BrC1=CN(C(C=C1)=O)CC3=NC2=C(C=CC=C2)[N]3CC4=C(C=CC=C4)F,4.291319847106934,-3.2184898853302,A0A2Y9I6W8,False
BA64FC812493B537_6E0BB3D755C4B97F_7022_UN,C1(=C(C=CC(=C1)F)F)NC3CN(CC2=CC=CC=C2)C4(C3)CCCCC4,4.302333831787109,-3.226750373840332,A0A2Y9I6W8,False
C3006ABD8BA859FB_C31D1309806252E5_2875_UN,ClC1=C(C=CC(=C1)C[N]2N=NC(=C2)C4CCN(CC3=CC=CC=C3)C4)I,4.317338466644287,-3.2380038499832153,A0A2Y9I6W8,False
E7CAE8F2B724FF6E_02B8112A00AB8D70_6039_UN,O(C1(CCC2(CC1)OCCO2)C3=CC=C(C=C3)F)CC4=CC=CC(=C4)F,4.318737983703613,-3.23905348777771,A0A2Y9I6W8,False
FBD6979BC66BEF10_64C28E645310118D_7022_UN,C1(=CC(=CC=C1)C2=CC=C(C=C2)Cl)SC3=CC=C(C=C3)C4CCCCC4,4.330013275146484,-3.2475099563598633,A0A2Y9I6W8,False
F7DBDF2C96A6284E_96CCD14CDA97A14C_7022_UN,C1(=C(C=CC=C1)Cl)OC4CCOC3(CCN(CC2=CC=CC=C2)CC3)C4,4.346656799316406,-3.2599925994873047,A0A2Y9I6W8,False
622547EB8060BEB2_2294CD80CC5AFB5A_6026_UN,ClC2=C(C=C1OCCCOC1=C2)[S](=O)(=O)N3CCCCCCCCCC3,4.3633856773376465,-3.272539258003235,A0A2Y9I6W8,False
12191AD007AF6AA6_AAF7E5817345CCC3_6041_UN,C1(=CC=C(C=C1)N2N=NNC2=S)NC3=C[N](N=C3)C4=C(C=CC=C4F)F,4.382106781005859,-3.2865800857543945,A0A2Y9I6W8,False
A0565D6219BC03EE_750C3FE4CE93EC47_6034_UN,BrC1=CC(=CC=C1)C3=NC2=C(C=CC=C2)N3CCC4=C(C=CC(=C4)F)Br,4.3893537521362305,-3.292015314102173,A0A2Y9I6W8,False
84E517EF9531EACF_1047458F60765900_6034_UN,BrC1=CC(=CC=C1)C3=NC2=C(C=CC=C2)N3CCC4=C(C=CC(=C4)Br)Br,4.3893537521362305,-3.292015314102173,A0A2Y9I6W8,False
