molecule,smiles,raw_score,weighted_score,protein,is_target
7BFE572A332D9FC6_5AE78E6E42704066_6041_UN,C2(=NC1=C(C=CC=C1)[N]3C=CC=C23)NC56CN4CN(CN(C4)C5)C6,3.4394936561584473,-5.159240484237671,A0A340XV98,False
C6B5B787266C3F9A_6CBB19AFA08E4A73_6035_UN,O(C1CCCCCCCCCCC1)C3=C(C=C2OCCOC2=C3)Br,3.441964626312256,-5.162946939468384,A0A340XV98,False
1693AA47A30D28FE_BB2367E9B18FB069_6041_UN,C2(=NC1=C(C=CC=C1)[N]3C=NC=C23)NC56CN4CN(CN(C4)C5)C6,3.520171642303467,-5.2802574634552,A0A340XV98,False
6E50512F838EDFB1_0103B6AD7CBAD078_7005_UN,[NH]2C1=CC=C(C=C1N=C2C3N4CCN(C3)CCC4)C5=CC=NC=C5,3.5403590202331543,-5.3105385303497314,A0A340XV98,False
AC631898561D58B1_19B58F78E33CAFC6_6034_UN,BrC1=CC(=CC=C1)CN2C=CC(=O)N(C2=O)CC3=NC=CC(=C3)Cl,3.543004035949707,-5.3145060539245605,A0A340XV98,False
A789F3AAAB3E4111_3F39E0BB2CCA63FB_6034_UN,BrC1=CC2=C(C=C1)N(C3=C2CCCCCC3)C4OC(=O)C(=C4Cl)Cl,3.5517208576202393,-5.327581286430359,A0A340XV98,False
72D5F15662BEA599_191501020F568397_6038_UN,O(C(C1=CC=CC=C1)C2=C(C=CC=C2)F)C(=O)[C@@H]3[C@H]4CCCO[C@@H]34,3.559540033340454,-5.339310050010681,A0A340XV98,False
EFCD40CD9DE5A35F_AE5CB7994BD6F958_7022_UN,C1(=CC(=CC=C1)C2=CC=C(C=C2)Cl)NC45CN3CN(CN(C3)C4)C5,3.5742249488830566,-5.361337423324585,A0A340XV98,False
17C893E6641A9338_ABCC79E407257904_6038_UN,O(C1CCC2COCC1C2=O)C(=O)C45CC3CC(CC(F)(C3)C4)C5,3.581407308578491,-5.372110962867737,A0A340XV98,False
E7FA3779F70B8138_0103B6AD7CBAD078_7005_UN,N3=C(C1N2CCN(C1)CCC2)[NH]C4=CC(=CC=C34)C5=CC=NC=C5,3.5874993801116943,-5.3812490701675415,A0A340XV98,False
9403781F4ABB9E8B_930D4843A18934AF_6031_UN,O(C(=O)CC(C1=CC=CC=C1)[N]2C=CC=C2)CC3=NC=CC(=C3)Cl,3.5934255123138428,-5.390138268470764,A0A340XV98,False
308B76D3F61836B9_997EDDDC412BFE2F_6038_UN,COC(=O)[C@@H](OC(=O)[CH]1C[C]2(C1)CC[CH2]CC2)C3=CC=C(C=C3)F,3.595759153366089,-5.393638730049133,A0A340XV98,False
0B7E5CD802130EE5_1EF49DFABAAA708D_6038_UN,O(CC2C[C@@H]1CCCC[C@H]1O2)C(=O)C3CC(C3)C4=CC(=CC=C4)F,3.6049466133117676,-5.407419919967651,A0A340XV98,False
64DEDC6347E0661B_BD516193D17B38E9_6038_UN,O(CC2C[C@@H]1CCCC[C@H]1O2)C(=O)C3CC(C3)C4=CC=C(C=C4)F,3.6066219806671143,-5.409932971000671,A0A340XV98,False
940A58129E5052EF_9D011FB9B359D4A7_6039_UN,O(C(C1=CC=CC=C1)C2=C(C=CC=C2)F)C[C@@H]4C[C@H]3COC[C@H]3O4,3.609527349472046,-5.414291024208069,A0A340XV98,False
483888BB1B5C4E61_6B8305CE44E0BC90_6039_UN,O([C@H]2CC1(CCCC1)OC3=C2C=C(C=C3)F)CC4=CC=CC(=C4)F,3.615844488143921,-5.423766732215881,A0A340XV98,False
483888BB1B5C4E61_6BEA118FC8A40826_6039_UN,O([C@H]2CC1(CCCC1)OC3=C2C=C(C=C3)F)CC4=CC=CC(=C4)F,3.615844488143921,-5.423766732215881,A0A340XV98,False
2EC0F6D74938ECCC_0FD8A4EA32572C56_6039_UN,O([C@@H]2CC1(CCCC1)OC3=C2C=C(C=C3)F)CC4=CC=CC(=C4)F,3.6244943141937256,-5.436741471290588,A0A340XV98,False
2EC0F6D74938ECCC_0FB1B0ABBE1398E0_6039_UN,O([C@@H]2CC1(CCCC1)OC3=C2C=C(C=C3)F)CC4=CC=CC(=C4)F,3.6244943141937256,-5.436741471290588,A0A340XV98,False
64FA75E4CF032366_8C5D90ACF2B8C45A_6038_UN,O(C(C1=CC=NC=C1)C2=CC=C(C=C2)F)C(=O)[C@@H]3[C@H]4CCCO[C@@H]34,3.6333131790161133,-5.44996976852417,A0A340XV98,False
70A456CCCBC50862_4FB7E1CBD3B105D6_6038_UN,O(CCF)C(=O)[C@@H]2C[C@@H]1CCCC[C@@H]1N2C(=O)C3=CC=C(C=C3)F,3.6438984870910645,-5.465847730636597,A0A340XV98,False
0ECDEA7D72F3FBB3_781526E4ABC7E720_6035_UN,O(CC2C[C@@H]1CCCC[C@H]1O2)C3=CC(=NC=C3)C4=CC(=CC=C4)F,3.6443588733673096,-5.466538310050964,A0A340XV98,False
2059379246050431_687BD414921EF75C_6038_UN,O(C(C1=CC=CC=C1)C2=C(C=CC=C2)F)C(=O)C4CC3CC3CO4,3.653815746307373,-5.48072361946106,A0A340XV98,False
67BCB320BBAB4E93_0521EBF497DDE141_6039_UN,O(C(C1=CC(=CC=C1)F)C2=NC=CC=C2)CC3OCC4CCOC34,3.6549928188323975,-5.482489228248596,A0A340XV98,False
262CC5EAD66EF52A_C54CAAA01088E3E9_7022_UN,C1(=CC=C(C=C1)OCC2=CC=C(C=C2)Cl)OCC3=NC=CC(=C3)Cl,3.666142702102661,-5.499214053153992,A0A340XV98,False
81A8FD465AA1AFAB_3614675B327C05B2_6039_UN,O([C@@H]2CC1(CCCC1)OC3=C2C=C(C=C3)F)CC4=CN=CC(=C4)F,3.6663691997528076,-5.499553799629211,A0A340XV98,False
24ED95A401F5757A_BD9672358955F368_6034_UN,O=C1CCC(C(=O)N1CC2OC2C3=CC=CC=C3)C4=NC=CC=C4,3.6682775020599365,-5.502416253089905,A0A340XV98,False
76FF6CFCBBB2BB4D_246AA8AFD2F48B29_6038_UN,COC(=O)C(OC(=O)[C@@H]2CCN1CCC[C@@H]1C2)C3=CC=C(C=C3)F,3.669602155685425,-5.504403233528137,A0A340XV98,False
59C39A471CD5099F_C09B98B22063F8E8_6041_UN,C2(=NC1=C(C=CC=C1)[N]3N=NN=C23)NC56CN4CN(CN(C4)C5)C6,3.6702005863189697,-5.505300879478455,A0A340XV98,False
3981F408771DDF40_87D29F4A6ADB453B_7022_UN,C1(=CC=C(C=C1)Br)OC2C4CCCC2CN(CC3=CC=CC=C3)C4,3.685129165649414,-5.527693748474121,A0A340XV98,False
3A480F637932FE4C_5B8E90B4C2A3243A_6038_UN,COC(=O)[C@H](OC(=O)[C@@H]2OC[C@@H]1CCCN1C2)C3=CC=C(C=C3)F,3.686568260192871,-5.529852390289307,A0A340XV98,False
4F6C4D9A4F833E9E_F9CE54F4C1F954BD_6038_UN,COC(=O)[C@@H](OC(=O)[C@@H]2CCN1CCC[C@@H]1C2)C3=CC=C(C=C3)F,3.6885032653808594,-5.532754898071289,A0A340XV98,False
CC1F160DEBF403AE_D2037D62AE076E93_6035_UN,O(C1C3CCCC1CN(CC2=CC=CC=C2)C3)C4=C(C=CC=C4)F,3.6915221214294434,-5.537283182144165,A0A340XV98,False
3D79CA7431ECF024_0341337CAD58A325_6039_UN,O(C(C1=CC=CC=C1)C2=C(C=CC=C2)F)CC4CC3OCCC3O4,3.692017078399658,-5.538025617599487,A0A340XV98,False
525D92B2788F8F89_BEBB4AA41E308A64_6031_UN,O(C(=O)C1=C(C=CC(=C1)C2=CC=CC=C2)Cl)CC3=NC=CC(=C3)Br,3.692430257797241,-5.538645386695862,A0A340XV98,False
68D9C9765AE1FBD2_2011957400119379_6039_UN,O(C(C1=CC=CC=C1)C2=C(C=CC=C2)F)CC4CC3CCCC3O4,3.6925926208496094,-5.538888931274414,A0A340XV98,False
A69227B2A7942C14_4617F525BC3CD7B1_6038_UN,CN3CC(OC(=O)C1CCOC(O1)C2=CC=CC=C2)CCCC3=O,3.6968188285827637,-5.5452282428741455,A0A340XV98,False
F1667A41D38A8277_6DC7A484E5755EB7_7022_UN,C1(=C(C=CC(=C1)OCC2=CC=CC=C2)F)OCC3=NC=CC(=C3)Br,3.6970579624176025,-5.545586943626404,A0A340XV98,False
A584C22D10045B6A_60C34654A102DC08_6038_UN,O([C@@H]1C[C@H]2C[C@@H]1CC23OCCO3)C(=O)[C@@H]4C[C@H]4C5=C(C=CC=C5)F,3.7024080753326416,-5.553612112998962,A0A340XV98,False
