molecule,smiles,raw_score,weighted_score,protein,is_target
97CE25B0B30BEDFA_ABB26BD55C0DF932_2201_DP,N1CCC4(CC1)C2=C6C5=C(N=C2C3=C(C=CC=C3)O4)N=CN=C5NC=C6,4.782437801361084,-4.782437801361084,A0A5F4VTF8,False
97CE25B0B30BEDFA_ABB26BD55C0DF932_2201_DP ,N1CCC4(CC1)C2=C6C5=C(N=C2C3=C(C=CC=C3)O4)N=CN=C5NC=C6,4.782437801361084,-4.782437801361084,A0A5F4VTF8,False
308B6F77D6FDEB97_AB085DE99F184D24_2201_UN,C12=NC6=C5C(=C1COC4=C2C=C3OCOC3=C4)CCC5=CC7=C6CCC7,4.912260055541992,-4.912260055541992,A0A5F4VTF8,False
7115209D6343A91F_7C5F59272A5352B2_2201_UN,C12=NC6=C5C(=C1CC4=C2C=C3OCCOC3=C4)CCC5=CC7=C6CCC7,4.963283061981201,-4.963283061981201,A0A5F4VTF8,False
24B16E488D45CEB1_7A8C005838448CE1_2201_UN,C12=NC5=C4C(=C1CCCC2C3NCCCCC3)CCC4=CC6=C5CCC6,5.015246391296387,-5.015246391296387,A0A5F4VTF8,False
0A41F356C4AB2FE3_C0CA538064CBC929_2201_DP,N1CC4(C1)C2=C6C5=C(N=C2C3=C(C=CC=C3)O4)C7=C(C=C5CC6)CCC7,5.13594388961792,-5.13594388961792,A0A5F4VTF8,False
A2AD553DBECA0207_B571D3A65835680B_6031_UN,COCCOCCOCCCC(=O)OCCOCCOCCOCCN,5.155921936035156,-5.155921936035156,A0A5F4VTF8,False
C15D772182DEEF9F_FA39BB0C88E9E667_7019_UN,C(C1(CCOCC1)C#N)=C[C@@H]([C@H]([C@@H]([C@@H](CO)O)O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)O)O,5.224020004272461,-5.224020004272461,A0A5F4VTF8,False
40C995D481DAEA28_F6EB6679F2A73AA3_6031_UN,COCCOCCOCCCC(=O)OCCOCCOCCOCCCl,5.245230674743652,-5.245230674743652,A0A5F4VTF8,False
390323C9AD02C8FC_77CDB72E22D4FD7A_7019_UN,CCOC(=O)CC1=CSC(=N1)NC(=O)C=C[C@H](N)[C@@H](O)[C@H](O)[C@H](O)CO,5.261414527893066,-5.261414527893066,A0A5F4VTF8,False
F14128CEDA670009_375DAB3690304399_2201_UN,C12=NC6=C5C(=C1CC4=C3C2=CC=CC3=CC=C4)CCC5=CC7=C6CCC7,5.330809593200684,-5.330809593200684,A0A5F4VTF8,False
03D7D529A7555CD0_82011AF2381CBA6B_7019_UN,COC1=NC=C(C(=C1)OC)C=C[C@@H]([C@H]([C@@H]([C@@H](CO)O)O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)O)O,5.331704139709473,-5.331704139709473,A0A5F4VTF8,False
