molecule,smiles,raw_score,weighted_score,protein,is_target
F14128CEDA670009_375DAB3690304399_2201_UN,C12=NC6=C5C(=C1CC4=C3C2=CC=CC3=CC=C4)CCC5=CC7=C6CCC7,5.54175329208374,-5.54175329208374,A0A5N3VNN3,False
1E72E6B22BEDBEA3_1777A65A2E7F0956_6031_DP,OC(=O)CCC(=O)OCCOC(=O)CCC(=O)OCCOCCN,6.321676254272461,-6.321676254272461,A0A5N3VNN3,False
23165CCBE46FA66D_7BF2188A2734A867_2201_UN,C13=NC6=C5C(=C1C2(CCCCC2)OC4=C3C=CC=N4)C=CNC5=NC=N6,6.401897430419922,-6.401897430419922,A0A5N3VNN3,False
77835BB15FD47438_B503AF94FBB0C64D_6038_UN,CCC1=C(C(C=CO1)=O)OC(=O)CN2C(=O)N(CC=C)C(=O)C2=O,7.128770351409912,-7.128770351409912,A0A5N3VNN3,False
63A9CC9CF1D8CA8A_650D4AA8BCA33F28_6038_UN,CCC(OC(=O)CC2(CC(=O)N1CCOCC1)CCCC2)C(=N)N,7.377984523773193,-7.377984523773193,A0A5N3VNN3,False
C129B3EF1556863A_AAFFE354F75F38D0_6038_UN,CC(C)(CNC(=O)CC2(CC(=O)N1CCOCC1)CCCC2)C(=O)N,7.419352054595947,-7.419352054595947,A0A5N3VNN3,False
41D8D18659D9725A_82539D4B254FA0DD_6038_DP,CC12CCC(CNC(CCC(OCCOC(CCC(O)=O)=O)=O)=O)(CC1)OC2,7.429253578186035,-7.429253578186035,A0A5N3VNN3,False
A66E3BCE86D165A5_999629DC0A33C6E0_6039_UN,COC(C)C(OCC(=O)NCCCN1CCCCCC1=O)C(=O)O,7.463982582092285,-7.463982582092285,A0A5N3VNN3,False
DF36657955C1A528_C01C0C51E719EEA4_6038_DP,N3CCC[C@@]4(COC(=O)CC2(CC(=O)N1CCOCC1)CCCC2)CCCC[C@H]34,7.4815850257873535,-7.4815850257873535,A0A5N3VNN3,False
00009D9A7BE555CB_A5BE9FDBB5A3A9A8_6031_UN,CC(=O)OC15CC(C1)(C(=O)OCC23CC(N)(C2)C4(O3)CCOCC4)C5,7.58685302734375,-7.58685302734375,A0A5N3VNN3,False
E688D73200839B8A_23A3348979615A46_6038_UN,CC(=O)OCCC1=CC(=CC=C1)NC(=O)CN2C(=O)N(CC=C)C(=O)C2=O,7.597692012786865,-7.597692012786865,A0A5N3VNN3,False
E4F0E2EC4E6A3493_160300F78CE98830_6038_UN,CC1=NC=C(N=C1)CCNC(=O)CN2C(=O)N(CC=C)C(=O)C2=O,7.654892921447754,-7.654892921447754,A0A5N3VNN3,False
1561B3C28C650C34_66903BE2B22EC185_6041_UN,C1(=CC=C[N]2C=NC=C12)NCCC3=CC=C(C=C3)C4=CC=CC=C4,7.702930450439453,-7.702930450439453,A0A5N3VNN3,False
EC6ADDF5028BC7D4_BD4A2F698E8DBAC4_6038_DP,C[C@H]3[C@@H](OC(=O)CC2(CC(=O)N1CCOCC1)CCCC2)CCN3,7.729665756225586,-7.729665756225586,A0A5N3VNN3,False
E6B294B61224044B_8248EAA694CF60D9_6038_UN,CC(C)(C)[Si](C)(C)OCCOCCOCCOC(COCCOCC)=O,7.731996536254883,-7.731996536254883,A0A5N3VNN3,False
46CA7544D65D5A94_1052C4959B28A348_6035_UN,CC(C)C(=O)OCCOC1=C(SC(=C1)C(OCC)=O)C(=O)OCC,7.738180637359619,-7.738180637359619,A0A5N3VNN3,False
90BBBFA0CC8C657A_C1C70CC5203BC76F_6038_DP,COC(=O)C1=NOC(=C1)COC(CCC(OCCOC(CCC(O)=O)=O)=O)=O,7.766958713531494,-7.766958713531494,A0A5N3VNN3,False
778A2CE71DA391FD_CA280B9DCBBFE646_6038_UN,CCC[N]1C=C(N=C1)C[C@H](NC(C2=CC(=C(C(=C2)OC(=O)C)OC(=O)C)OC(C)=O)=O)C(=O)OC,7.817810535430908,-7.817810535430908,A0A5N3VNN3,False
310E71B69AED10AE_1716FE47A76B710E_2201_UN,CN1CCC4(CC1)C2=CC5=C(N=C2C3=C(C=CC=C3)O4)C(=NC=C5)Br,7.8264079093933105,-7.8264079093933105,A0A5N3VNN3,False
46B5CC8E6AF3C85A_D8B7FEAABDD3A8E0_6041_UN,CCOC(=O)C(=O)CC(=O)C1=C(C=CC=C1)N[C@@H](CC(OC)=O)C(=O)OC,7.845114231109619,-7.845114231109619,A0A5N3VNN3,False
42DDD7ECF4552FBB_DED3D6B71EBF16FF_6038_UN,CCN2CC(C)(CNC(C1=CC(=C(C(=C1)OC(=O)C)OC(=O)C)OC(C)=O)=O)C2=O,7.862307548522949,-7.862307548522949,A0A5N3VNN3,False
5F56D0BDE7AEDFB0_D37B733E073A33CD_6038_UN,COC(=O)C2=C1CCCN1C(=O)C=C2OC(=O)CC4(CC(=O)N3CCOCC3)CCCC4,7.8681230545043945,-7.8681230545043945,A0A5N3VNN3,False
5B45596E68DEF5FC_30455A9873A93FAD_6038_UN,N([C@H]1C[C@H](CCC1)C2CC2)C(=O)CN3C(=O)N(CC=C)C(=O)C3=O,7.872243881225586,-7.872243881225586,A0A5N3VNN3,False
EF2F78BA9856C0FF_65184B66656658EA_6038_UN,COC(=O)[C@@H]2C[C@@H](OC(=O)C1CSCCS1)CN2C(=O)OCC3=CC=CC=C3,7.880265712738037,-7.880265712738037,A0A5N3VNN3,False
CE61FE19AB985140_0B5BA1CB4AAA8903_6031_UN,CCOC1=C(C=C(C(=C1)N)C(=O)OC2=CN(C)C(=CC2=O)CN)OCC,7.924874782562256,-7.924874782562256,A0A5N3VNN3,False
DE5710F7829AA8C6_1B389D78195C1BFD_6038_UN,CC(C)(C)C#CCOC(CCCCCCCCCCCCCCCCC)=O,7.935227394104004,-7.935227394104004,A0A5N3VNN3,False
729780BAED560A6D_9FFBDC18C07E2807_6038_UN,N(CCC2CCC1(CCOCC1)CO2)C(=O)CN3C(=O)C=CC3=O,7.9520487785339355,-7.9520487785339355,A0A5N3VNN3,False
390323C9AD02C8FC_77CDB72E22D4FD7A_7019_UN,CCOC(=O)CC1=CSC(=N1)NC(=O)C=C[C@H](N)[C@@H](O)[C@H](O)[C@H](O)CO,7.9588751792907715,-7.9588751792907715,A0A5N3VNN3,False
32D26E604BACE5E0_214CA7A3FA9747B5_6031_UN,CC(OC1=CC=C(C=C1)CCC(=O)C)C(=O)OCC(COC(C)=O)N,7.959008693695068,-7.959008693695068,A0A5N3VNN3,False
125BC4742BB2561A_A042C0863F4E9B4D_6038_DP,OC(=O)[C@H]1C[C@H](CCC1)NC(C2=CC(=C(C(=C2)OC(=O)C)OC(=O)C)OC(C)=O)=O,7.963410377502441,-7.963410377502441,A0A5N3VNN3,False
26CEDEFEE0462DA0_0F5F17D9F49CDBBF_6038_UN,O(CCC1=C[NH]N=N1)C(=O)CC3(CC(=O)N2CCOCC2)CCCC3,7.966682434082031,-7.966682434082031,A0A5N3VNN3,False
1A17CEBDA679060B_E01FCA83974DD934_6038_DP,CC(C)(C)N1CC(OC(CCC(OCCOC(CCC(O)=O)=O)=O)=O)C1,7.9701337814331055,-7.9701337814331055,A0A5N3VNN3,False
CBEFDF99CCBDA6D0_1F62350DF8F6F0B4_6038_UN,CCOC(=O)COC1=CC=C(C=C1)OC(=O)C4CC2(CC23CCC3)C4,7.972380638122559,-7.972380638122559,A0A5N3VNN3,False
2CE029FB4AEEB618_24C1C5685D73052C_6041_UN,COC1=C(C=C(C(=C1)C)NC(CC(OCC)=O)(C)C(C)C)C(=O)O,7.986392974853516,-7.986392974853516,A0A5N3VNN3,False
279BBB261E193453_A98858CCFCBED476_6038_UN,CCC[N]1C(=C(C(=O)OCC)C2=C1C=CC(=C2)OC(C3=CC(=C(C(=C3)OC(=O)C)OC(=O)C)OC(C)=O)=O)C,8.00581169128418,-8.00581169128418,A0A5N3VNN3,False
2B4263D87E37FC3A_01B35B5C3B89AB5D_6038_DP,CO[C@H]1CCCC[C@@H]1NC(CCC(OCCOC(CCC(O)=O)=O)=O)=O,8.025115966796875,-8.025115966796875,A0A5N3VNN3,False
84DC105E1BFDF6DC_A03FC776C17A75BC_6038_UN,COC(=O)C1=C(OC(CCCCC(N)=O)=O)C=C[N]1CC2=CC=CC=C2,8.042736053466797,-8.042736053466797,A0A5N3VNN3,False
42C4AD5D313C8979_CADB965F26C8109F_2201_UN,ClC3=CC(=C2C1=NC5=C4C(=C1CC2=C3)CCC4=CC6=C5CCC6)Cl,8.056678771972656,-8.056678771972656,A0A5N3VNN3,False
38CC0B714CAFB4F4_36A2785A5DE84AAA_6038_UN,CC(C)(C)[Si](C)(C)OCCOCCOCCOC(CO[Si](C(C)(C)C)(C)C)=O,8.059106826782227,-8.059106826782227,A0A5N3VNN3,False
80D4C24B76A0CADE_C34028ECE3AE4B90_6031_UN,CNC(CC(=O)OCCOCCOCCOCCN=[N]#N)C(F)(F)F,8.07659912109375,-8.07659912109375,A0A5N3VNN3,False
2313579A3E6E065C_14F40A4A529AE535_6039_UN,COC(=O)C(OCC(NCCCN1CC(OC(C)C1)C)=O)CCSC,8.082639694213867,-8.082639694213867,A0A5N3VNN3,False
4817567A6A773619_C4782C501AC83906_6038_DP,N(CCC2CCC1(CCOCC1)CO2)C(CCC(OCCOC(CCC(O)=O)=O)=O)=O,8.083118438720703,-8.083118438720703,A0A5N3VNN3,False
79213229D9814CC2_2929F1B4E0043463_6038_UN,N(C1=CC(=CC=C1)OCC2CCCO2)C(C(CC(C)C)C(=O)N)=O,8.097562789916992,-8.097562789916992,A0A5N3VNN3,False
D709506BC9402D91_8CD6C7E7E2C9F2C4_6041_UN,CCOC(=O)CC1=CC(=C(C=C1)N[C@H](C(OCC)=O)C(C)(C)C)OC,8.097661018371582,-8.097661018371582,A0A5N3VNN3,False
E836F38CD44328A9_4DC95A98578CD7C3_6039_UN,O(C1=CC=C(C=C1)C2=CC=CC=C2)CCOC3=CC=C(C=C3)C#N,8.156898498535156,-8.156898498535156,A0A5N3VNN3,False
