molecule,smiles,raw_score,weighted_score,protein,is_target
AE01926D2050A62C_6A78672B38CCA386_2201_UN,C13=NC5=C4C(=C1C2(CCCCC2)OC=C3)CCC4=CC6=C5CCC6,5.552962303161621,-5.552962303161621,A0A5N4DN67,False
99127CA1B261B44F_7C366B2094831793_6031_DP,OC(=O)CCC(=O)OCCOC(=O)CCC(=O)OCCCC(N)=S,5.577178001403809,-5.577178001403809,A0A5N4DN67,False
1E72E6B22BEDBEA3_1777A65A2E7F0956_6031_DP,OC(=O)CCC(=O)OCCOC(=O)CCC(=O)OCCOCCN,5.62615966796875,-5.62615966796875,A0A5N4DN67,False
1E72E6B22BEDBEA3_1777A65A2E7F0956_6031_DP,OC(=O)CCC(=O)OCCOC(=O)CCC(=O)OCCOCCN,5.62615966796875,-5.62615966796875,A0A5N4DN67,False
FA7C3D7183370F49_454E3DCEBD59D871_6038_UN,COC(=O)CSSCCOC(=O)CN1C(=O)N(CC=C)C(=O)C1=O,5.633528709411621,-5.633528709411621,A0A5N4DN67,False
94E586FE13A57AFE_C7C6A3D7613E0773_2201_UN,C13=NC5=C4C(=C1C2(CCOCC2)OC=C3)CCC4=CC6=C5CCC6,5.747379779815674,-5.747379779815674,A0A5N4DN67,False
2ADBCF538F05F1B2_8C450651A31B779A_6039_UN,CCCCOCCOCCOCCOCCOCCOCCOC,5.753916263580322,-5.753916263580322,A0A5N4DN67,False
B9DA079D80FB7FFC_7B0878D50D4B0B19_6031_UN,COCCOCCOCC(=O)OCCOCCOCCOCCN,5.755888938903809,-5.755888938903809,A0A5N4DN67,False
10AADC44F7E32C63_C8C7A8917CCBDE27_2201_DP,N1CCC3(CC1)C2=C5C4=C(N=C2C=CO3)C6=C(C=C4CC5)CCC6,5.797640800476074,-5.797640800476074,A0A5N4DN67,False
5F94EDBA81E78415_F26B57561231C9C0_2201_UN,C13=NC6=C5C(=C1CCC24OCCC2CC34)CCC5=CC7=C6CCC7,5.812273025512695,-5.812273025512695,A0A5N4DN67,False
701857EE2D6DFA20_A74099F9D8D418A8_2201_UN,C13=NC5=C4C(=C1CC2(CCOCC2)C=C3)CCC4=CC6=C5CCC6,5.839936256408691,-5.839936256408691,A0A5N4DN67,False
338D1C78A693E456_31F1C5CE1BFFCE98_6031_DP,OC(=O)CCC(=O)OCCOC(=O)CCC(=O)OCCC(CN)N,5.853603839874268,-5.853603839874268,A0A5N4DN67,False
0D97AC0F08AC3C5F_DD16B2086B6DAAD3_6031_UN,CC3C(C)C(=O)N(CC(=O)OCC12CC(CN)(OC1)CCC2)C3=O,5.897093296051025,-5.897093296051025,A0A5N4DN67,False
0457835F1A992E34_5F85CC2BE5671A01_6039_UN,O([C@@H](CC(=O)O)C(=O)O)CC(=O)NCCCN1CCCCCC1=O,5.920758247375488,-5.920758247375488,A0A5N4DN67,False
371D941D8FC63512_18C9DDE169086C10_6038_UN,N(CC12CC(OC1)CCO2)C(=O)CN3C(=O)N(CC=C)C(=O)C3=O,5.961904048919678,-5.961904048919678,A0A5N4DN67,False
9EBF8E54131FB00C_FBC9C487AEA1CEA1_2201_DP,N6CCCC1(CCCC2=C4C3=C(N=C12)C5=C(C=C3CC4)CCC5)C6,5.963052749633789,-5.963052749633789,A0A5N4DN67,False
ECFB2084EECAB979_6FBBC40C46E67F7E_6038_DP,OC(=O)CN2CCCCC(OC(=O)CSC(=S)N1CCCC1)C2=O,5.963812828063965,-5.963812828063965,A0A5N4DN67,False
F87FED50A2AF6882_8F5857B23E9C6BAB_6031_UN,NC(=N)NC(=N)NCCC(=O)OCCNC(=O)N1CCCCCC1,6.0025200843811035,-6.0025200843811035,A0A5N4DN67,False
BD76B83B82BD8F38_F74908245815D7EB_6031_DP,OC(=O)CCC(=O)OCCOC(=O)CCC(=O)OCCN(CC)N,6.01271390914917,-6.01271390914917,A0A5N4DN67,False
048F7EC146877D99_F99D6200E8890A10_6031_UN,C[N+](C)(CC(=O)OCCOCCOCCOCCCC)CC(=O)[O-],6.0390625,-6.0390625,A0A5N4DN67,False
DA382CB80BFF763A_9BEE83F12445BC8D_6039_UN,CCCCOCCOCCOCCC[Si](OCC)(OCC)OCC,6.054443836212158,-6.054443836212158,A0A5N4DN67,False
1431E117A16CC8CB_5DE03351249F5FDB_6031_DP,OC(=O)C1(CC2CCC1C2)C(=O)OCC34CC(CN)(OC3)CCC4,6.060900688171387,-6.060900688171387,A0A5N4DN67,False
582B613DB3A44657_75A02CA5A21163CD_6039_UN,O(C(CC(=O)O)C(=O)O)CC(=O)NCCCN1CCCCCC1=O,6.061310768127441,-6.061310768127441,A0A5N4DN67,False
