molecule,smiles,raw_score,weighted_score,protein,is_target
17C893E6641A9338_ABCC79E407257904_6038_UN,O(C1CCC2COCC1C2=O)C(=O)C45CC3CC(CC(F)(C3)C4)C5,3.3825082778930664,-5.0737624168396,A0A5Q0RJ94,False
67BCB320BBAB4E93_0521EBF497DDE141_6039_UN,O(C(C1=CC(=CC=C1)F)C2=NC=CC=C2)CC3OCC4CCOC34,3.3836333751678467,-5.07545006275177,A0A5Q0RJ94,False
940A58129E5052EF_9D011FB9B359D4A7_6039_UN,O(C(C1=CC=CC=C1)C2=C(C=CC=C2)F)C[C@@H]4C[C@H]3COC[C@H]3O4,3.3995180130004883,-5.099277019500732,A0A5Q0RJ94,False
C6B5B787266C3F9A_6CBB19AFA08E4A73_6035_UN,O(C1CCCCCCCCCCC1)C3=C(C=C2OCCOC2=C3)Br,3.4468278884887695,-5.170241832733154,A0A5Q0RJ94,False
68D9C9765AE1FBD2_2011957400119379_6039_UN,O(C(C1=CC=CC=C1)C2=C(C=CC=C2)F)CC4CC3CCCC3O4,3.4497008323669434,-5.174551248550415,A0A5Q0RJ94,False
3D79CA7431ECF024_0341337CAD58A325_6039_UN,O(C(C1=CC=CC=C1)C2=C(C=CC=C2)F)CC4CC3OCCC3O4,3.4563024044036865,-5.18445360660553,A0A5Q0RJ94,False
7FF35429782D958D_EEE1A62467C26EE5_6039_UN,O(C(C1=CC=CC=C1)C2=C(C=CC=C2)F)CC3OCC4CCOC34,3.4857282638549805,-5.228592395782471,A0A5Q0RJ94,False
44436958F6B6EEBC_CE91C109F9E7572C_6039_UN,O(C(C1=CC=CO1)C2=CC=CC=C2)CC4CC3(CCCC3)C(=O)O4,3.4946720600128174,-5.242008090019226,A0A5Q0RJ94,False
A789F3AAAB3E4111_3F39E0BB2CCA63FB_6034_UN,BrC1=CC2=C(C=C1)N(C3=C2CCCCCC3)C4OC(=O)C(=C4Cl)Cl,3.4953582286834717,-5.2430373430252075,A0A5Q0RJ94,False
72D5F15662BEA599_191501020F568397_6038_UN,O(C(C1=CC=CC=C1)C2=C(C=CC=C2)F)C(=O)[C@@H]3[C@H]4CCCO[C@@H]34,3.504265546798706,-5.256398320198059,A0A5Q0RJ94,False
24ED95A401F5757A_BD9672358955F368_6034_UN,O=C1CCC(C(=O)N1CC2OC2C3=CC=CC=C3)C4=NC=CC=C4,3.504398822784424,-5.256598234176636,A0A5Q0RJ94,False
9632C6622707FF53_A280E840D0D3CBBD_6039_UN,O(C(C1=CC=CC=C1)C2=CC(=CC=C2)F)CC4CC3COCC3O4,3.510248899459839,-5.265373349189758,A0A5Q0RJ94,False
FE958B8EF599911F_DA63205C5C4EEA4B_6039_UN,O(C(C1=CC=CC=C1)C2=CC(=CC=C2)F)CC3OCC4CCOC34,3.522336721420288,-5.283505082130432,A0A5Q0RJ94,False
E882E6C249457388_CEA4C4125DD24490_6038_UN,CC(OC(=O)C(N1CCCC1)C2=CC=CC=C2)C3=C(C=CC=C3)F,3.5228216648101807,-5.284232497215271,A0A5Q0RJ94,False
