molecule,smiles,raw_score,weighted_score,protein,is_target
EF47A451D2407BE2_1468D31A1A18384A_6029_UN,COC1CC(CCC1)OC2CN(CC2)[S](C3=C(C)SC(=C3)B(O)O)(=O)=O,8.843856811523438,8.843856811523438,A0A671EKE5,True
D6AB72BB2602A46C_8F9B86A0AA3EBF80_6026_UN,CC1CCCC2=NC(=C[N]12)[S](=O)(=O)NC(CCCCCCCCCC)C,8.84373664855957,8.84373664855957,A0A671EKE5,True
9248C9966745DEEF_D51E180B2FCAE5CB_7019_UN,CC1CCC2=C(C1)SC3=C2C(NC(=N3)C=CC4=C(OC)C=CC(=C4)B(O)O)=O,8.840798377990723,8.840798377990723,A0A671EKE5,True
F8F135A9AA78F32F_DE6C605E27FC6C86_6026_UN,CC2(C)COC1=C(C=N[N]1C2)[S](=O)(=O)N(C4CCC3=C(C=N[N]3C(C)C)C4)C5CCC6=C(C5)C=N[N]6C(C)C,8.806699752807617,8.806699752807617,A0A671EKE5,True
43CAAC6412477581_C4883995D21B5275_6026_UN,CC1=C(C(=CC(=C1)C(C)(C)C)C)[S](=O)(=O)N(C3CCC2=C(C=N[N]2C(C)C)C3)C4CCC5=C(C4)C=N[N]5C(C)C,8.805817604064941,8.805817604064941,A0A671EKE5,True
856076E03047C4C1_CAD57CDA81CD8810_6026_UN,C[N]1C=C(C(=N1)C2CC2)[S](=O)(=O)N(C4CCC3=C(C=N[N]3C(C)C)C4)C5CCC6=C(C5)C=N[N]6C(C)C,8.802757263183594,8.802757263183594,A0A671EKE5,True
2AD4082201755832_4E514723BAABEC49_6026_UN,CC1=C(C(=C(C(=C1)C)C)[S](=O)(=O)N(C3CCC2=C(C=N[N]2C(C)C)C3)C4CCC5=C(C4)C=N[N]5C(C)C)C,8.802467346191406,8.802467346191406,A0A671EKE5,True
C49AA6B899CE3C07_FCA701AB6043CAA2_6026_UN,CC1=CC(=C(C(=C1)C)[S](=O)(=O)N(C3CCC2=C(C=N[N]2C(C)C)C3)C4CCC5=C(C4)C=N[N]5C(C)C)C,8.801777839660645,8.801777839660645,A0A671EKE5,True
CE39EB337961591E_2F36DF5E28A01CC0_6026_UN,CC1=N[N](C)C(=C1[S](=O)(=O)N(C3CCC2=C(C=N[N]2C(C)C)C3)C4CCC5=C(C4)C=N[N]5C(C)C)C,8.800677299499512,8.800677299499512,A0A671EKE5,True
4575A26DEA772E30_04612E774C1E5F45_6026_UN,CC1=CC(=C(C)S1)[S](=O)(=O)N(C3CCC2=C(C=N[N]2C(C)C)C3)C4CCC5=C(C4)C=N[N]5C(C)C,8.799210548400879,8.799210548400879,A0A671EKE5,True
C7E5F44E1DED8EFA_C01E8527C83C43FF_6026_UN,CC(C)(C)C1=NN=C([NH]1)[S](=O)(=O)N(C3CCC2=C(C=N[N]2C(C)C)C3)C4CCC5=C(C4)C=N[N]5C(C)C,8.797820091247559,8.797820091247559,A0A671EKE5,True
A4FA5532203CB876_55749B23F5599189_6026_UN,CCC1=CC=C(S1)[S](=O)(=O)N(C3CCC2=C(C=N[N]2C(C)C)C3)C4CCC5=C(C4)C=N[N]5C(C)C,8.79665756225586,8.79665756225586,A0A671EKE5,True
977857474A1A58D4_14813118E1713FE1_6038_UN,O(C1C[S](=O)(=O)CC1[S](=O)(=O)Cl)C(C=C(C=CC=C(C)C=CC2=C(C)CCCC2(C)C)C)=O,8.796202659606934,8.796202659606934,A0A671EKE5,True
