molecule,smiles,raw_score,weighted_score,protein,is_target
308B6F77D6FDEB97_AB085DE99F184D24_2201_UN,C12=NC6=C5C(=C1COC4=C2C=C3OCOC3=C4)CCC5=CC7=C6CCC7,4.777933120727539,-3.5834498405456543,A0A6I9ICT0,False
7115209D6343A91F_7C5F59272A5352B2_2201_UN,C12=NC6=C5C(=C1CC4=C2C=C3OCCOC3=C4)CCC5=CC7=C6CCC7,4.804869651794434,-3.603652238845825,A0A6I9ICT0,False
67F59C0DE71607FE_AD6C8E4DC3511913_2201_UN,C13=NC6=C5C(=C1C2(OCCO2)C4=C3C=CC=C4)CCC5=CC7=C6CCC7,4.949986457824707,-3.7124898433685303,A0A6I9ICT0,False
A2AD553DBECA0207_B571D3A65835680B_6031_UN,COCCOCCOCCCC(=O)OCCOCCOCCOCCN,4.958506107330322,-3.7188795804977417,A0A6I9ICT0,False
8F8DCE9608988F3D_C78BF30F30D4FDA2_6038_UN,CC(OC(=O)CC2(CC(=O)N1CCOCC1)CCCC2)CC3CCCO3,5.013645172119141,-3.7602338790893555,A0A6I9ICT0,False
ACA58533170B4FC2_0285A1BA2DC18D27_6039_UN,COC(=O)C[C@H](C)OCC(=O)N1CCC(CC1)C(=O)N2CCCCCC2,5.03955602645874,-3.779667019844055,A0A6I9ICT0,False
390323C9AD02C8FC_77CDB72E22D4FD7A_7019_UN,CCOC(=O)CC1=CSC(=N1)NC(=O)C=C[C@H](N)[C@@H](O)[C@H](O)[C@H](O)CO,5.0516743659973145,-3.788755774497986,A0A6I9ICT0,False
97CE25B0B30BEDFA_ABB26BD55C0DF932_2201_DP,N1CCC4(CC1)C2=C6C5=C(N=C2C3=C(C=CC=C3)O4)N=CN=C5NC=C6,5.05874490737915,-3.794058680534363,A0A6I9ICT0,False
97CE25B0B30BEDFA_ABB26BD55C0DF932_2201_DP ,N1CCC4(CC1)C2=C6C5=C(N=C2C3=C(C=CC=C3)O4)N=CN=C5NC=C6,5.05874490737915,-3.794058680534363,A0A6I9ICT0,False
E688D73200839B8A_23A3348979615A46_6038_UN,CC(=O)OCCC1=CC(=CC=C1)NC(=O)CN2C(=O)N(CC=C)C(=O)C2=O,5.059430122375488,-3.794572591781616,A0A6I9ICT0,False
03D7D529A7555CD0_82011AF2381CBA6B_7019_UN,COC1=NC=C(C(=C1)OC)C=C[C@@H]([C@H]([C@@H]([C@@H](CO)O)O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)O)O,5.074875354766846,-3.8061565160751343,A0A6I9ICT0,False
C15D772182DEEF9F_FA39BB0C88E9E667_7019_UN,C(C1(CCOCC1)C#N)=C[C@@H]([C@H]([C@@H]([C@@H](CO)O)O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)O)O,5.078721046447754,-3.8090407848358154,A0A6I9ICT0,False
04148D2C789EBFB4_321054150983670C_6038_UN,CC3(COC(=O)CC2(CC(=O)N1CCOCC1)CCCC2)CCCCO3,5.086519718170166,-3.8148897886276245,A0A6I9ICT0,False
F14128CEDA670009_375DAB3690304399_2201_UN,C12=NC6=C5C(=C1CC4=C3C2=CC=CC3=CC=C4)CCC5=CC7=C6CCC7,5.092326641082764,-3.8192449808120728,A0A6I9ICT0,False
41D8D18659D9725A_82539D4B254FA0DD_6038_DP,CC12CCC(CNC(CCC(OCCOC(CCC(O)=O)=O)=O)=O)(CC1)OC2,5.103020668029785,-3.827265501022339,A0A6I9ICT0,False
85C634A0213085E9_0DE932C4E8DB150B_6038_UN,CC(=O)OCC(COC(=O)CN1C(=O)N(CC=C)C(=O)C1=O)OC(=O)C,5.104756832122803,-3.828567624092102,A0A6I9ICT0,False
