molecule,smiles,raw_score,weighted_score,protein,is_target
43B0688CB85E82E0_23DDD8B0AE0CAA13_7005_UN,N3=C(C1N2CCN(C1)CC2)[NH]C4=CC(=CC=C34)C6=NC5=C(C=CC=C5)S6,4.11797571182251,-4.11797571182251,A0A6J0WZV8,False
146B81335F52E591_10F617DDEC861D1A_7005_UN,N3=C(C1N2CCN(C1)CCC2)[NH]C4=CC(=CC=C34)C6=NC5=C(C=CC=C5)S6,4.25730562210083,-4.25730562210083,A0A6J0WZV8,False
96F8F30014022CA1_51F2A5A20C37036E_6038_UN,O(CCOCC1=CC(=CC=C1)F)C(=O)C2CCOC(O2)C3=CC=CC=C3,4.34016752243042,-4.34016752243042,A0A6J0WZV8,False
9929118B81E2D911_A1AB085DF6BF3827_6039_UN,O([C@@H]2CC[C@@H]3CN(CC1=CC=CC=C1)C[C@H]23)CCOCC4=CC=CC=C4,4.393110752105713,-4.393110752105713,A0A6J0WZV8,False
4FCF76B9A3E49F6B_5363684F1DE8AE87_6039_UN,O(C1CCCCCCCCCCC1)CC2=NN=N[N]2CC3=CC=CC=C3,4.422463893890381,-4.422463893890381,A0A6J0WZV8,False
CC75FFE77FB6968D_C561A6EFE3A10A42_6038_UN,O(CC1CCC(CC1)C2OCCO2)C(=O)C45CC3CC(CC(F)(C3)C4)C5,4.462794303894043,-4.462794303894043,A0A6J0WZV8,False
17847F83E7F79178_121357F9F3E31371_6039_UN,O(CC(F)(F)CCCC(=O)O)CC3CCC1(CCC2(CC1)OCCO2)O3,4.474029541015625,-4.474029541015625,A0A6J0WZV8,False
1FF2B527CC237021_6BB3B6CA4D0E30C0_2875_UN,N3=N[N](C1CC2CCCC(C1)N2)C=C3C4=CC(=CC=C4)C5=CC=CC=C5,4.4928178787231445,-4.4928178787231445,A0A6J0WZV8,False
BB36A251BCD88D7D_1197C8A19D079B6F_6039_UN,CCOC(CN3CCC(OCC2=C1OCCOC1=CC=C2)CC3)OCC,4.504426002502441,-4.504426002502441,A0A6J0WZV8,False
A485C250A804C587_1F74F680FFE559A4_6039_UN,O(CCCCN1CCOCC1)CC3CN(CC2=CC=CC=C2)CCCO3,4.51096248626709,-4.51096248626709,A0A6J0WZV8,False
12191AD007AF6AA6_AAF7E5817345CCC3_6041_UN,C1(=CC=C(C=C1)N2N=NNC2=S)NC3=C[N](N=C3)C4=C(C=CC=C4F)F,4.521252155303955,-4.521252155303955,A0A6J0WZV8,False
1FF2B527CC237021_C75829882EC174A1_2875_DP,N1C2CCCC1CC(C2)[N]3N=NC(=C3)C4=CC(=CC=C4)C5=CC=CC=C5,4.538891792297363,-4.538891792297363,A0A6J0WZV8,False
E0DECC55DD2F99CE_A52976FE93903D21_6039_UN,CC1=CC=C(C=C1)C2=CC=C(C=C2)OCC3=NC(=N[NH]3)C4=NC=NC=C4,4.55592679977417,-4.55592679977417,A0A6J0WZV8,False
33B30F1369E0F4D5_23E6FB2D4DAB06A9_7022_UN,C1(=CC=C(C=C1)OCC2=CC=CC=C2)OCCC4=NC3=C(C=CC=C3)S4,4.581233978271484,-4.581233978271484,A0A6J0WZV8,False
1B67D8E0CF59DEE2_7EC05C75240FB85E_6006_UN,O=[N](=O)C1=C(C=CC(=C1)[N]2C=NN=N2)C3=CC(=CC=C3)C4=CC=NC=C4,4.5898284912109375,-4.5898284912109375,A0A6J0WZV8,False
27E3360B3DEE3B73_F2E5036B8DEA8B4C_6039_UN,O(CC1CCCCN1C2=NC=CN=C2)CC3=CC=C(C=C3)C4=CSC=C4,4.604377746582031,-4.604377746582031,A0A6J0WZV8,False
36075D549CEB8F20_B1E74F6A60D52087_6041_UN,C1(=NC=NC(=C1)C2=NC=CC=N2)NC3=C[N](N=C3)C4=C(C=CC=C4F)F,4.604743480682373,-4.604743480682373,A0A6J0WZV8,False
6FAF7930D04918CB_B6A82D754A6E76C0_6038_UN,CCN3CCOC(CCOC(=O)C1=C(C=C(C=C1)C2=CC=CC=C2)F)C3,4.611023426055908,-4.611023426055908,A0A6J0WZV8,False
601242E5924788C2_1D3FE10DDBECFA15_6039_UN,O(C1=CC=C(C=C1)N2C=CNC2=O)CC3=NN=N[N]3C4=CC=C(F)C=C4,4.613628387451172,-4.613628387451172,A0A6J0WZV8,False
F22829E6A531EC38_A492846B8758EBAD_6039_UN,O(C1=C(C=CC=C1)C2=CC=CC=C2)CC3=NC(=NO3)C4=NC=CC(=C4)C,4.619043827056885,-4.619043827056885,A0A6J0WZV8,False
BB19104C2DCF5EA9_160283453B9DA74F_6039_UN,O([C@@H]2CC[C@@H]3CN(CC1=CC=CC=C1)C[C@H]23)CC4=C(OCC)C=CC=C4,4.624257564544678,-4.624257564544678,A0A6J0WZV8,False
D5FB2FB26892EFEE_9D404081C7B6DB2A_6038_UN,CCC1=C(C(C=CO1)=O)OC(=O)C4COC2=C(C3=C(C=C2)C=CC=C3)C4,4.624916076660156,-4.624916076660156,A0A6J0WZV8,False
B4288A98073E40B4_5AF9DA2E9C9F283D_6039_UN,O([C@@H]2CC[C@@H]3CN(CC1=CC=CC=C1)C[C@H]23)CC(=O)CC4=CC=CC=C4,4.6294121742248535,-4.6294121742248535,A0A6J0WZV8,False
F8CEA63D9C9011D1_2E00DFC1880B816A_6041_UN,CC1=C(C=C(C=C1)C2=NN=C[N]2C)NC3=C(C=CC(=C3)[N]4N=NN=C4)F,4.649561882019043,-4.649561882019043,A0A6J0WZV8,False
AEB2C8753C885946_237D639CE2BB77C8_6038_UN,CC(OC(=O)CCCC1=CC=CC=C1)C3CCN(CC2=CC=CC=C2)C3,4.649852275848389,-4.649852275848389,A0A6J0WZV8,False
790D1484CCA1ACD9_9DB0752AE16B7071_6034_UN,CC1=CC=C(C=C1)[N]2N=CC3=C2N=CN(C3=O)CC4=N[N](C)C(=C4Br)Cl,4.654753684997559,-4.654753684997559,A0A6J0WZV8,False
79414406837EF876_826822D2B7D8BCF6_6041_DP,N1CC2CCC1CN2C3=NC(=NC=C3)NC4=C(ON=C4)C5=CC=CC=C5,4.663887977600098,-4.663887977600098,A0A6J0WZV8,False
39C3F5D9C277C226_53998A8F65223A05_2201_UN,CCN2CCC1=C(C4=C(N=C1C3=C2C=CC=C3)C=CC=C4)C5=CC=CC=C5,4.664320945739746,-4.664320945739746,A0A6J0WZV8,False
4C7E37EFADB56902_BD34557118DDB7C9_6038_UN,C[N]3C=C(NC(=O)C1=NC=CC(=C1)[N]2C=CN=C2)C(=N3)C4=CC=NC=C4,4.668206691741943,-4.668206691741943,A0A6J0WZV8,False
F2C522232DFDA4B6_266DE74AE00522E6_6041_UN,FC1=CC=C(C=C1)C2=NN=C3C=CC(=N[N]23)NC4C5CCC(CC4)CO5,4.679179668426514,-4.679179668426514,A0A6J0WZV8,False
97CE25B0B30BEDFA_ABB26BD55C0DF932_2201_DP,N1CCC4(CC1)C2=C6C5=C(N=C2C3=C(C=CC=C3)O4)N=CN=C5NC=C6,4.683481216430664,-4.683481216430664,A0A6J0WZV8,False
97CE25B0B30BEDFA_ABB26BD55C0DF932_2201_DP ,N1CCC4(CC1)C2=C6C5=C(N=C2C3=C(C=CC=C3)O4)N=CN=C5NC=C6,4.683481216430664,-4.683481216430664,A0A6J0WZV8,False
D40EDF9705B7F25F_209D90CF3DD25F88_6039_UN,O(CC1=CC=C(C=C1)OCCC(F)(F)F)CC3COC2(CCOCC2)O3,4.699049949645996,-4.699049949645996,A0A6J0WZV8,False
550CD3A79EBE205C_5E9927CC6F88B185_6038_UN,N(CC1=CC(=C(C=C1)I)Cl)C(=O)C4=C2N=CC=CC2=C3C=CC=CC3=C4,4.714129447937012,-4.714129447937012,A0A6J0WZV8,False
E8D91012EE2945A9_DD1414049E1C10A6_7022_UN,C2(=C[N]1C=CN=C1C=C2)NC(C4=CC3=C(C=CC=C3)O4)C5=CC=NC=C5,4.716343879699707,-4.716343879699707,A0A6J0WZV8,False
414619F30B58FE9B_B1D7975C2D047ADD_6041_UN,C1(=CC=C(C=C1)C2=NOC=N2)NC3=CN=C(N=C3)N4CC5CCC(C4)O5,4.7423601150512695,-4.7423601150512695,A0A6J0WZV8,False
B494A97A17269DD1_95EB01601CDE8F1B_6039_UN,COC(=O)C3CCN(CCOCC1CCCC(O1)C2=CC=CC=C2)CC3,4.7499847412109375,-4.7499847412109375,A0A6J0WZV8,False
91D5956E62649BC8_F458B1B2C7F36FF2_6041_DP,N1CC2CCC1CN2C3=NC(=CN=C3)NC4=C(N=CC=C4)[N]5C=NC=C5,4.755056858062744,-4.755056858062744,A0A6J0WZV8,False
F18D3A043EAE5546_C326A3B64D0FE226_6034_UN,CC1=CC=C(C=C1)[N]2N=CC3=C2N=CN(C3=O)C[C@H]5[C@@H]4C[C@@H]([C@H](N)C4)C5,4.7591633796691895,-4.7591633796691895,A0A6J0WZV8,False
02E106D5A828EB4A_0DA3E99AC9DD90AE_6038_UN,CCN3CCOC(CCOC(=O)[C@@H]1CC[C@@H](O1)C(=O)N2CCOCC2)C3,4.760859489440918,-4.760859489440918,A0A6J0WZV8,False
392EAA5ECF78D874_380793D6BDEE01AB_6041_UN,C2(=CC1=NN=C[N]1C=N2)NC(C4=CC3=C(C=CC=C3)O4)C5=CC=NC=C5,4.761327743530273,-4.761327743530273,A0A6J0WZV8,False
143131BA25E34F98_DEA613A1F65C7B21_6039_UN,CC3=CN([C@@H]2O[C@H](COCC1=CC(=C(OC)C=C1)C)C=C2)C(=O)NC3=O,4.776130676269531,-4.776130676269531,A0A6J0WZV8,False
81DA6DED60767345_183417343491CCE9_6039_UN,O(C1=CC2=C(C=C1)C=CN=C2)CC5=C3C=CC=CC3=C4C=CC=CC4=N5,4.779601573944092,-4.779601573944092,A0A6J0WZV8,False
3922B59A6E02DDF1_F8E6215E9402F050_6034_UN,CC1=CC=C(C=C1)[N]2N=CC3=C2N=CN(C3=O)CC4=CC=C(C=C4)SC#C,4.785006999969482,-4.785006999969482,A0A6J0WZV8,False
