molecule,smiles,raw_score,weighted_score,protein,is_target
B721D097F415DAF7_A4B4D0788952C562_7019_UN,CC1CCC2=C(C1)SC3=C2C(NC(=N3)C=CC4=CC(=CS4)B(O)O)=O,7.454558372497559,7.454558372497559,A0A6P3RH60,True
9626968F3E950E83_69ECB31934A9252F_7019_UN,C(C1=NN=C(O1)C3=CC2=C(CCCC2)S3)=CC4=CC(=CS4)B(O)O,7.414093017578125,7.414093017578125,A0A6P3RH60,True
F6204874B60CC2D6_89A6C6B899D8862A_7019_UN,CC1CCC2=C(C1)SC3=C2C(N=C(N3)C=CC4=CC(=CS4)B(O)O)=N,7.403594970703125,7.403594970703125,A0A6P3RH60,True
ABB82598416259D1_202426EA75B1493A_7019_UN,CC1=CC=C(S1)C2=CSC3=C2C(NC(=N3)C=CC4=CC(=CS4)B(O)O)=O,7.371958255767822,7.371958255767822,A0A6P3RH60,True
E871D041C9D21D6E_3F38ABBCA56EE55F_7019_UN,CC1CCC2=C(C1)SC3=C2C(NC(=N3)C=CC4=CC=CC(=C4)B(O)O)=O,7.362627029418945,7.362627029418945,A0A6P3RH60,True
4E07524B8D6ED530_972E8A0121398A00_7019_UN,CC1CCC2=C(C1)SC3=C2C(NC(=N3)C=CC4=C(B(O)O)C=CC=C4F)=O,7.343344211578369,7.343344211578369,A0A6P3RH60,True
4BC37904554546F0_3E980C64928C9D85_7019_UN,CC1CCC2=C(C1)SC3=C2C(NC(=N3)C=CC4=C(C=C(B(O)O)C=C4)F)=O,7.339487552642822,7.339487552642822,A0A6P3RH60,True
9248C9966745DEEF_D51E180B2FCAE5CB_7019_UN,CC1CCC2=C(C1)SC3=C2C(NC(=N3)C=CC4=C(OC)C=CC(=C4)B(O)O)=O,7.32852840423584,7.32852840423584,A0A6P3RH60,True
22F8E1BF38A5CE3A_284DD88F1AE378E0_6041_UN,CC1CCC2=C(C1)SC3=C2C(=NC(=N3)C)NC4=C(C=NC=C4)B(O)O,7.308196067810059,7.308196067810059,A0A6P3RH60,True
D7C1223614FC670D_8FE57382C070530B_6041_UN,CC1=C(SC(=N1)[S](=O)(=O)OC2=C(C(=C(C(=C2F)F)F)F)F)NC4CCC3=NC(=C[N]3C4)C5=C(C=C(C=C5)F)F,7.303567886352539,7.303567886352539,A0A6P3RH60,True
2DEEB2E8F14363C3_C42F97F73C1B2F02_6041_UN,CC1=C(SC(=N1)[S](=O)(=O)OC2=C(C(=C(C(=C2F)F)F)F)F)NC4CCC3=NC(=C[N]3C4)C5=C(C=CC(=C5)F)F,7.3025336265563965,7.3025336265563965,A0A6P3RH60,True
ED89AEFC8EF6A3EF_374DE476E423E4DB_7019_UN,OC1=CC(=NC2=C(C#N)C=N[N]12)C=CC3=C(C)[N](C(=C3)C)C4=NC(=CC=N4)C(F)(F)F,7.300364971160889,7.300364971160889,A0A6P3RH60,True
22A4BD673720B91D_189CF765786F94AF_6029_UN,CC1=N[N](C(=C1C2COCCN2[S](C3=C(C)N=C(S3)[S](=O)(=O)OC4=C(C(=C(C(=C4F)F)F)F)F)(=O)=O)C)C5=C(C=CC=C5)F,7.2928080558776855,7.2928080558776855,A0A6P3RH60,True
A5AD7CA19BD1CA0C_BB9A775F9095FD2A_6026_UN,FC1=C(C=C(C(=C1)C2=N[NH]C=C2[S](=O)(=O)N(C4CCC3=C(C=N[N]3C(C)C)C4)C5CCC6=C(C5)C=N[N]6C(C)C)Cl)Cl,7.291445255279541,7.291445255279541,A0A6P3RH60,True
D5D18649B5603C76_9D043EBB9F3CF209_7019_UN,CC1CCC2=C(C1)SC3=C2C(NC(=N3)C=CC4=CC=C(B(O)O)S4)=O,7.286870956420898,7.286870956420898,A0A6P3RH60,True
7FFD2EEEFA1742C0_B4EFC43516336E60_6029_UN,CC1=NC(=CS1)C4=CC2=C(CCN(C2)[S](C3=C(C)SC(=C3)B(O)O)(=O)=O)S4,7.280810832977295,7.280810832977295,A0A6P3RH60,True
2612F5AD4ACE263F_87AE08CFF7B94299_6026_UN,[S](=O)(=O)(C1=CC=C(S1)C2=CC=C(Br)S2)N(C4CCC3=C(C=N[N]3C(C)C)C4)C5CCC6=C(C5)C=N[N]6C(C)C,7.274833679199219,7.274833679199219,A0A6P3RH60,True
74AD94FE3633B842_59AA01FDE1ADBD0F_6029_UN,CC(C)[N]1N=CC2=C1CCC(C2)N(C3CCC4=C(C3)C=N[N]4C(C)C)[S](C6=C(F)C=C5C(=NC(=NC5=C6F)Cl)Cl)(=O)=O,7.271689414978027,7.271689414978027,A0A6P3RH60,True
EBF285FFB55BD928_10D4697D8B233BBD_6026_UN,FC1=C(C=CC(=C1)C2CC2)[S](=O)(=O)N(C4CCC3=C(C=N[N]3C(C)C)C4)C5CCC6=C(C5)C=N[N]6C(C)C,7.271517753601074,7.271517753601074,A0A6P3RH60,True
D6B43D9563F7D9D9_D4C7C53F2E748261_6029_UN,C1CC(CCN1[S](C2=C(C)N=C(S2)[S](=O)(=O)OC3=C(C(=C(C(=C3F)F)F)F)F)(=O)=O)C4=NC(=CC=N4)C5=CN=CN=C5,7.271188735961914,7.271188735961914,A0A6P3RH60,True
2244E8F8D868803C_BEC726FDBAAA6D3C_6026_UN,[S](=O)(=O)(C2=C[N]1N=CC(=C1N=C2)C#N)N(C4CCC3=C(C=N[N]3C(C)C)C4)C5CCC6=C(C5)C=N[N]6C(C)C,7.27032470703125,7.27032470703125,A0A6P3RH60,True
5AAF04C03AD1EAF5_BF22637E5393C613_6026_UN,[S](=O)(=O)(C1=CSC(=N1)C2=CC(=CC=C2)Br)N(C4CCC3=C(C=N[N]3C(C)C)C4)C5CCC6=C(C5)C=N[N]6C(C)C,7.267789840698242,7.267789840698242,A0A6P3RH60,True
FB5DC2DA73921D21_8DEED853E01CB113_7019_UN,CC1CCC2=C(C1)SC3=C2C(N=C(N3)C=CC4=C(C)[N](C(=C4)C)C5=NC(=CC=N5)C(F)(F)F)=N,7.26767110824585,7.26767110824585,A0A6P3RH60,True
7A2D77F04ED1BBD0_596987D77A26E78F_6026_UN,[S](=O)(=O)(C1=CSC(=N1)C2=CC=C(C=C2)Br)N(C4CCC3=C(C=N[N]3C(C)C)C4)C5CCC6=C(C5)C=N[N]6C(C)C,7.26740026473999,7.26740026473999,A0A6P3RH60,True
5E5B92CF0EA9935A_9231BE324B476822_6026_UN,ClC1=NC2=C(C(=N1)Cl)SC(=C2)[S](=O)(=O)N(C4CCC3=C(C=N[N]3C(C)C)C4)C5CCC6=C(C5)C=N[N]6C(C)C,7.266500473022461,7.266500473022461,A0A6P3RH60,True
72AA8583E3D0B2D4_2D028842AA153527_6026_UN,[S](=O)(=O)(C1=C(C#N)SC2=C1C=CC=C2)N(C4CCC3=C(C=N[N]3C(C)C)C4)C5CCC6=C(C5)C=N[N]6C(C)C,7.264624118804932,7.264624118804932,A0A6P3RH60,True
11647C561747F56B_02FE293F9404286F_6026_UN,CC2=N[N]1C=C(Br)C=NC1=C2[S](=O)(=O)N(C4CCC3=C(C=N[N]3C(C)C)C4)C5CCC6=C(C5)C=N[N]6C(C)C,7.264112949371338,7.264112949371338,A0A6P3RH60,True
FF6C303ABDB65D23_A003F26544112B04_6038_UN,CN(C)C1=NC(=CC=N1)N2C[C@@H](F)C[C@H]2CNC(=O)C4=C3C=CC=CC3=NC5=C4CCC5=CC6=CC(=C(C=C6)Cl)Cl,7.260201454162598,7.260201454162598,A0A6P3RH60,True
5229843F87EC8300_2D19D62248A81AEF_6031_UN,CC1=N[N](C(=C1C(=O)OCC3=NN=C(C2CC2)[N]3C4CC4)C(F)(F)F)C5=C(C=C(C=N5)C(F)(F)F)Cl,7.258037567138672,7.258037567138672,A0A6P3RH60,True
1C41D6350BB6B26A_850BE3F16A691A82_6026_UN,CC1=C(C(=C(C(=C1)Cl)C)[S](=O)(=O)N(C3CCC2=C(C=N[N]2C(C)C)C3)C4CCC5=C(C4)C=N[N]5C(C)C)Cl,7.256335735321045,7.256335735321045,A0A6P3RH60,True
9BCE98271B9C7195_6DEA4303ABC1380F_6031_UN,CC1=N[N](C(=C1C(=O)OCC3CCN(C2=CC(=C(C=C2)F)C)C3)C(F)(F)F)C4=C(C=C(C=N4)C(F)(F)F)Cl,7.251584529876709,7.251584529876709,A0A6P3RH60,True
AA943E48E08A178B_CD29F3FC7F0F79EC_2201_UN,CC6=CC2=C(CCC3=C(C1=CC(=CC(=C1)OC)OC)C4=C(N=C23)SC5=C4CCC(C5)C(C)(C)C)[N]6C7=CC(=CC=C7)C(F)(F)F,7.251486778259277,7.251486778259277,A0A6P3RH60,True
618E83028C7B2EBE_63811B23245531D8_6026_UN,CC1=C[N](N=C1)C2=C(C=C(C=C2)[S](=O)(=O)N(C4CCC3=C(C=N[N]3C(C)C)C4)C5CCC6=C(C5)C=N[N]6C(C)C)F,7.249483108520508,7.249483108520508,A0A6P3RH60,True
83697D6EC8493136_4144B541958D55A2_6029_UN,N(C(CC(=O)N2CC1=NN=C([N]1CC2)C(F)(F)F)CC3=C(C=C(C(=C3)F)F)F)[S](C5=C(F)C=C4C(=CC(=NC4=C5F)Cl)Cl)(=O)=O,7.248353004455566,7.248353004455566,A0A6P3RH60,True
344234D5AF7BB3B5_2A2B8B3AEFA3FA04_6029_UN,CC1C(CCN1[S](C2=C(C)N=C(S2)[S](=O)(=O)OC3=C(C(=C(C(=C3F)F)F)F)F)(=O)=O)C4=CC(=C(C=C4)F)F,7.2467732429504395,7.2467732429504395,A0A6P3RH60,True
AE71AA406078C8E0_E386D9EB307B6326_6026_UN,CC1=NC(=CS1)C2=CC(=C(C=C2)C)[S](=O)(=O)N(C4CCC3=C(C=N[N]3C(C)C)C4)C5CCC6=C(C5)C=N[N]6C(C)C,7.244767189025879,7.244767189025879,A0A6P3RH60,True
2042F53BA468FE6E_7339111502D24FAE_6041_UN,CC1=C(SC(=N1)[S](=O)(=O)OC2=C(C(=C(C(=C2F)F)F)F)F)NC3CC(N(C3)C4=C(C=CC=C4F)F)=O,7.243432521820068,7.243432521820068,A0A6P3RH60,True
320897C563A70461_0E452ED73CD45EDC_6026_UN,[S](=O)(=O)(C2=CC1=C(C(=CN=C1)Br)S2)N(C4CCC3=C(C=N[N]3C(C)C)C4)C5CCC6=C(C5)C=N[N]6C(C)C,7.241993427276611,7.241993427276611,A0A6P3RH60,True
3C8015A236462CE0_98EDB7C80E7606E1_6031_UN,CC1=N[N](C(=C1C(=O)OCC2=CC(=NC(=N2)[N]3N=C(C)C=C3C)C)C(F)(F)F)C4=C(C=C(C=N4)C(F)(F)F)Cl,7.240677833557129,7.240677833557129,A0A6P3RH60,True
