molecule,smiles,raw_score,weighted_score,protein,is_target
22A4BD673720B91D_189CF765786F94AF_6029_UN,CC1=N[N](C(=C1C2COCCN2[S](C3=C(C)N=C(S3)[S](=O)(=O)OC4=C(C(=C(C(=C4F)F)F)F)F)(=O)=O)C)C5=C(C=CC=C5)F,7.256350994110107,7.256350994110107,A0A6P9FBU3,True
9248C9966745DEEF_D51E180B2FCAE5CB_7019_UN,CC1CCC2=C(C1)SC3=C2C(NC(=N3)C=CC4=C(OC)C=CC(=C4)B(O)O)=O,7.225865364074707,7.225865364074707,A0A6P9FBU3,True
2DEEB2E8F14363C3_C42F97F73C1B2F02_6041_UN,CC1=C(SC(=N1)[S](=O)(=O)OC2=C(C(=C(C(=C2F)F)F)F)F)NC4CCC3=NC(=C[N]3C4)C5=C(C=CC(=C5)F)F,7.220152854919434,7.220152854919434,A0A6P9FBU3,True
D7C1223614FC670D_8FE57382C070530B_6041_UN,CC1=C(SC(=N1)[S](=O)(=O)OC2=C(C(=C(C(=C2F)F)F)F)F)NC4CCC3=NC(=C[N]3C4)C5=C(C=C(C=C5)F)F,7.219906330108643,7.219906330108643,A0A6P9FBU3,True
D6B43D9563F7D9D9_D4C7C53F2E748261_6029_UN,C1CC(CCN1[S](C2=C(C)N=C(S2)[S](=O)(=O)OC3=C(C(=C(C(=C3F)F)F)F)F)(=O)=O)C4=NC(=CC=N4)C5=CN=CN=C5,7.218535900115967,7.218535900115967,A0A6P9FBU3,True
ED89AEFC8EF6A3EF_374DE476E423E4DB_7019_UN,OC1=CC(=NC2=C(C#N)C=N[N]12)C=CC3=C(C)[N](C(=C3)C)C4=NC(=CC=N4)C(F)(F)F,7.212804317474365,7.212804317474365,A0A6P9FBU3,True
3C8015A236462CE0_98EDB7C80E7606E1_6031_UN,CC1=N[N](C(=C1C(=O)OCC2=CC(=NC(=N2)[N]3N=C(C)C=C3C)C)C(F)(F)F)C4=C(C=C(C=N4)C(F)(F)F)Cl,7.209794521331787,7.209794521331787,A0A6P9FBU3,True
AF05B30AABD12365_FFCCE0CCE11FEE38_6039_UN,CC7(C[C@H]6C5=CC[C@H]1[C@@](CC[C@H]2C([C@H](CC[C@]12C)OCC3=CC(=CC(=C3)C4=C(C(=C(C(=C4F)F)F)F)F)F)(C)C)([C@@]5(CC[C@]6(CC7)C(=O)O)C)C)C,7.209053993225098,7.209053993225098,A0A6P9FBU3,True
344234D5AF7BB3B5_2A2B8B3AEFA3FA04_6029_UN,CC1C(CCN1[S](C2=C(C)N=C(S2)[S](=O)(=O)OC3=C(C(=C(C(=C3F)F)F)F)F)(=O)=O)C4=CC(=C(C=C4)F)F,7.20688009262085,7.20688009262085,A0A6P9FBU3,True
83697D6EC8493136_4144B541958D55A2_6029_UN,N(C(CC(=O)N2CC1=NN=C([N]1CC2)C(F)(F)F)CC3=C(C=C(C(=C3)F)F)F)[S](C5=C(F)C=C4C(=CC(=NC4=C5F)Cl)Cl)(=O)=O,7.2018914222717285,7.2018914222717285,A0A6P9FBU3,True
9BCE98271B9C7195_6DEA4303ABC1380F_6031_UN,CC1=N[N](C(=C1C(=O)OCC3CCN(C2=CC(=C(C=C2)F)C)C3)C(F)(F)F)C4=C(C=C(C=N4)C(F)(F)F)Cl,7.201164722442627,7.201164722442627,A0A6P9FBU3,True
1023A6A1CD26FAEA_16B3C70C64BA38B3_6041_UN,CC1=C(SC(=N1)[S](=O)(=O)OC2=C(C(=C(C(=C2F)F)F)F)F)NC3=C(C(OC)=O)SC4=C3CCC(C4)C(C)(C)C,7.199637413024902,7.199637413024902,A0A6P9FBU3,True
E871D041C9D21D6E_3F38ABBCA56EE55F_7019_UN,CC1CCC2=C(C1)SC3=C2C(NC(=N3)C=CC4=CC=CC(=C4)B(O)O)=O,7.193573474884033,7.193573474884033,A0A6P9FBU3,True
9416E1A8AE8391F9_CE4A516D1DA07F2E_6028_UN,N(C(CC(=O)N2CC1=NN=C([N]1CC2)C(F)(F)F)CC3=C(C=C(C(=C3)F)F)F)[S](C4=NN=C([N]4C)C6=CC5=C(CCC(C5)C(C)(C)C)S6)(=O)=O,7.191230773925781,7.191230773925781,A0A6P9FBU3,True
AA943E48E08A178B_CD29F3FC7F0F79EC_2201_UN,CC6=CC2=C(CCC3=C(C1=CC(=CC(=C1)OC)OC)C4=C(N=C23)SC5=C4CCC(C5)C(C)(C)C)[N]6C7=CC(=CC=C7)C(F)(F)F,7.190835952758789,7.190835952758789,A0A6P9FBU3,True
585B0A8C52046FC2_03A2929FADD31258_6029_UN,CC1CN(CCN1[S](C2=C(C)N=C(S2)[S](=O)(=O)OC3=C(C(=C(C(=C3F)F)F)F)F)(=O)=O)C4=CC(=C(C=C4)Cl)F,7.189757347106934,7.189757347106934,A0A6P9FBU3,True
4DF87179B3D58D15_7EA575FD97F9D8CD_6031_UN,CC1=N[N](C(=C1C(=O)OC[C@H]3CCC(C2=C[N](N=C2C)C)N3)C(F)(F)F)C4=C(C=C(C=N4)C(F)(F)F)Cl,7.189682960510254,7.189682960510254,A0A6P9FBU3,True
5229843F87EC8300_2D19D62248A81AEF_6031_UN,CC1=N[N](C(=C1C(=O)OCC3=NN=C(C2CC2)[N]3C4CC4)C(F)(F)F)C5=C(C=C(C=N5)C(F)(F)F)Cl,7.186402797698975,7.186402797698975,A0A6P9FBU3,True
7B6F7E20A652DF09_6948690D5E9D0EF3_6029_UN,CC(C)(C)C1=NC2=C(C=N1)C3CCC(C2)N3[S](C5=C(F)C=C4C(=NC(=NC4=C5F)Cl)Cl)(=O)=O,7.186308860778809,7.186308860778809,A0A6P9FBU3,True
6C1F13E8D23C6CD5_65E5AD5AC525B549_6029_UN,CC1=C(C=CC=N1)OC2CN(CC2)[S](C3=C(C)N=C(S3)[S](=O)(=O)OC4=C(C(=C(C(=C4F)F)F)F)F)(=O)=O,7.184940338134766,7.184940338134766,A0A6P9FBU3,True
2042F53BA468FE6E_7339111502D24FAE_6041_UN,CC1=C(SC(=N1)[S](=O)(=O)OC2=C(C(=C(C(=C2F)F)F)F)F)NC3CC(N(C3)C4=C(C=CC=C4F)F)=O,7.18392276763916,7.18392276763916,A0A6P9FBU3,True
4B8D9121A11269A7_60B5BF469B677642_6029_UN,OC(=O)C1=N[N](C2=C1C[C@H]3C[C@@H]23)[S](C4=C(C)N=C(S4)[S](=O)(=O)OC5=C(C(=C(C(=C5F)F)F)F)F)(=O)=O,7.183441162109375,7.183441162109375,A0A6P9FBU3,True
5DD185C5029F1D03_17AC52B58E5010AD_6026_UN,CC1=C(C(=CC(=C1)C(C)(C)C)C)[S](=O)(=O)NC(CC(=O)N3CC2=NN=C([N]2CC3)C(F)(F)F)CC4=C(C=C(C(=C4)F)F)F,7.181512355804443,7.181512355804443,A0A6P9FBU3,True
7537E46E3918EC4A_A1A8DD6EF9D4F1FC_6029_UN,CC1(C(CCN1[S](C2=C(C)N=C(S2)[S](=O)(=O)OC3=C(C(=C(C(=C3F)F)F)F)F)(=O)=O)C4=CC=C(C=C4)C(F)(F)F)C,7.180471420288086,7.180471420288086,A0A6P9FBU3,True
7FD2FB5E39EA8985_FC208585AC579A04_6029_UN,N(C(CC(=O)N2CC1=NN=C([N]1CC2)C(F)(F)F)CC3=C(C=C(C(=C3)F)F)F)[S](C5=CC(=C(C4=CC(=NC(=N4)Cl)Cl)C=C5)Cl)(=O)=O,7.180375099182129,7.180375099182129,A0A6P9FBU3,True
BC38D76E555AC000_7589C0F56B640F8B_6029_UN,CC1CCC(C)N1C2=C[N](N=C2)[S](C3=C(C)N=C(S3)[S](=O)(=O)OC4=C(C(=C(C(=C4F)F)F)F)F)(=O)=O,7.179705619812012,7.179705619812012,A0A6P9FBU3,True
2612F5AD4ACE263F_87AE08CFF7B94299_6026_UN,[S](=O)(=O)(C1=CC=C(S1)C2=CC=C(Br)S2)N(C4CCC3=C(C=N[N]3C(C)C)C4)C5CCC6=C(C5)C=N[N]6C(C)C,7.17830753326416,7.17830753326416,A0A6P9FBU3,True
9BAF4C3F0D03D2FC_65F977A327FE8CAA_6029_UN,N(C(CC(=O)N2CC1=NN=C([N]1CC2)C(F)(F)F)CC3=C(C=C(C(=C3)F)F)F)[S](C4=C(C)N=C(S4)[S](=O)(=O)OC5=C(C(=C(C(=C5F)F)F)F)F)(=O)=O,7.178205966949463,7.178205966949463,A0A6P9FBU3,True
74AD94FE3633B842_59AA01FDE1ADBD0F_6029_UN,CC(C)[N]1N=CC2=C1CCC(C2)N(C3CCC4=C(C3)C=N[N]4C(C)C)[S](C6=C(F)C=C5C(=NC(=NC5=C6F)Cl)Cl)(=O)=O,7.177516937255859,7.177516937255859,A0A6P9FBU3,True
