molecule,smiles,raw_score,weighted_score,protein,is_target
754AB6D4EAB42867_25EF5FC02A3CA2F4_6031_UN,O(C(=O)CN1CCCCC(=O)C1=O)CCOC2(CN)CCCCC2,4.139902114868164,-4.139902114868164,A0A7J7SEI1,False
E38E781B88DA075D_A311C52E8EDFB9A6_6031_UN,CCN2CCN(CC(=O)OCCN1CCCCCC1=O)C(=O)C2=O,4.143563270568848,-4.143563270568848,A0A7J7SEI1,False
1E72E6B22BEDBEA3_1777A65A2E7F0956_6031_DP,OC(=O)CCC(=O)OCCOC(=O)CCC(=O)OCCOCCN,4.155904293060303,-4.155904293060303,A0A7J7SEI1,False
7A0EE5A3D474DA06_DBD712B4D1881EB7_6031_UN,CCN2CCN(CC(=O)OCC1(N)CCCCCCC1)C(=O)C2=O,4.181942939758301,-4.181942939758301,A0A7J7SEI1,False
5AAC79FE10CB1CD0_DFD011AE691F0410_6031_DP,OC(=O)C1(CCCCCC1)C(=O)OCCOC2(CN)CCCCC2,4.198600769042969,-4.198600769042969,A0A7J7SEI1,False
FA7C3D7183370F49_454E3DCEBD59D871_6038_UN,COC(=O)CSSCCOC(=O)CN1C(=O)N(CC=C)C(=O)C1=O,4.203552722930908,-4.203552722930908,A0A7J7SEI1,False
2ADBCF538F05F1B2_8C450651A31B779A_6039_UN,CCCCOCCOCCOCCOCCOCCOCCOC,4.2611284255981445,-4.2611284255981445,A0A7J7SEI1,False
5E1A40608AB02F53_16F0231D8B0F5225_6031_DP,NC1(CCC2(CC1)OCCO2)C(=O)OCCOC3(CN)CCOC3,4.270749092102051,-4.270749092102051,A0A7J7SEI1,False
4CD89155C7775E5B_29A5A97D37AAABD0_6031_UN,O(C(=O)CN1CCCCCC1=O)CC2(N)CCC3(CC2)OCCO3,4.295232772827148,-4.295232772827148,A0A7J7SEI1,False
B27A7E8853FF18C5_89548E908FB7630B_6031_UN,O(C(=O)CC2CCC1(CCOCC1)CO2)CCN3CCOCC3=O,4.296294689178467,-4.296294689178467,A0A7J7SEI1,False
BD76B83B82BD8F38_F74908245815D7EB_6031_DP,OC(=O)CCC(=O)OCCOC(=O)CCC(=O)OCCN(CC)N,4.297320365905762,-4.297320365905762,A0A7J7SEI1,False
B12F0D07B7E1C7ED_C2A173E4C67E72F2_6038_UN,COC(=O)C2CCN(CCOC(=O)CCN1CCCCCC1)CC2,4.297574996948242,-4.297574996948242,A0A7J7SEI1,False
79D0656C336C1F6C_C98180AC8B11F1C5_6034_UN,O=C1CC3(CC(=O)N1CCOC2(CN)CCCC2)CCCCCC3,4.311542510986328,-4.311542510986328,A0A7J7SEI1,False
2D99538E35E25C29_A2D4A69C24510D45_6034_UN,O=C2C[C]1(CC[CH2]CC1)CC(=O)[N]2CCOC3(CN)CCCCC3,4.311582565307617,-4.311582565307617,A0A7J7SEI1,False
49A9D8B0AD77C228_694F99F9BC1214B4_6038_DP,OC(=O)CN2CCCCC(OC(=O)CN1CCCCCC1=O)C2=O,4.3158488273620605,-4.3158488273620605,A0A7J7SEI1,False
45665E52EBFEDE59_80ED62C3C4B6044C_6031_UN,CCOC(=O)C(=C)CC(=O)OCCN2CCC1(CCCCC1)CC2,4.3302083015441895,-4.3302083015441895,A0A7J7SEI1,False
19F0649D408C6BFE_74D78B3065E134F2_6038_UN,CCOC(=O)C2(COC(=O)CSCC(=O)N1CCCCC1)CCC2,4.338663578033447,-4.338663578033447,A0A7J7SEI1,False
4431C0C109FC3B38_FEFCD14BC44530BA_6038_DP,OC(=O)CN3CCCCC(OC(=O)C1(CC1)C2CCCCO2)C3=O,4.340559482574463,-4.340559482574463,A0A7J7SEI1,False
9AD8C894D190158B_554123C710B0EF47_6031_UN,NCC1(CC(=O)OCCOCCOCCOCCN)CCCCC1,4.35188102722168,-4.35188102722168,A0A7J7SEI1,False
EF7A6E6A9037AB0F_C4BAAF6372BC9117_6031_UN,COC(=O)[C]2(C[C]1(C[CH2]C1)C2)C(=O)OCC3(N)CCCCCCC3,4.354039192199707,-4.354039192199707,A0A7J7SEI1,False
99127CA1B261B44F_7C366B2094831793_6031_DP,OC(=O)CCC(=O)OCCOC(=O)CCC(=O)OCCCC(N)=S,4.354677200317383,-4.354677200317383,A0A7J7SEI1,False
0457835F1A992E34_5F85CC2BE5671A01_6039_UN,O([C@@H](CC(=O)O)C(=O)O)CC(=O)NCCCN1CCCCCC1=O,4.357029438018799,-4.357029438018799,A0A7J7SEI1,False
299EAFDB94FC70C1_9BF681DB85E8833F_6031_UN,CCOC(=O)C2(CC(=O)OCCCN1CCCCCCC1)CCC2,4.3612799644470215,-4.3612799644470215,A0A7J7SEI1,False
FCDB7A70847B67F8_97FA2B82A3BA295F_6031_UN,CCOC(=O)C13CC(C1)(C(=O)OCCN2CCCCCC2=O)OC3,4.37207555770874,-4.37207555770874,A0A7J7SEI1,False
