molecule,smiles,raw_score,weighted_score,protein,is_target
3E688D2FAE9699A2_E1E6B6927123FB64_2201_DP,N1CC4(C1)C2=C6C5=C(N=C2C3=C(C=CC=C3)O4)N=CN=C5NC=C6,4.387483596801758,-4.387483596801758,A0A8B7WC37,False
7BFE572A332D9FC6_5AE78E6E42704066_6041_UN,C2(=NC1=C(C=CC=C1)[N]3C=CC=C23)NC56CN4CN(CN(C4)C5)C6,4.405570030212402,-4.405570030212402,A0A8B7WC37,False
CDA00902ECEEE733_553BDDE1C39831F6_2201_DP,N1CCC4(C1)C2=C6C5=C(N=C2C3=C(C=CC=C3)O4)N=CN=C5NC=C6,4.428350448608398,-4.428350448608398,A0A8B7WC37,False
AE01926D2050A62C_6A78672B38CCA386_2201_UN,C13=NC5=C4C(=C1C2(CCCCC2)OC=C3)CCC4=CC6=C5CCC6,4.429931163787842,-4.429931163787842,A0A8B7WC37,False
1693AA47A30D28FE_BB2367E9B18FB069_6041_UN,C2(=NC1=C(C=CC=C1)[N]3C=NC=C23)NC56CN4CN(CN(C4)C5)C6,4.4868693351745605,-4.4868693351745605,A0A8B7WC37,False
59C39A471CD5099F_C09B98B22063F8E8_6041_UN,C2(=NC1=C(C=CC=C1)[N]3N=NN=C23)NC56CN4CN(CN(C4)C5)C6,4.499349594116211,-4.499349594116211,A0A8B7WC37,False
1E1559964D1CE265_581CDDAE8F3244A5_7019_UN,CC(NC(=O)C=C[C@H](N)[C@@H](O)[C@@H](O)[C@H](O)CO)C1CC2CCC1C2,4.517209529876709,-4.517209529876709,A0A8B7WC37,False
371D941D8FC63512_18C9DDE169086C10_6038_UN,N(CC12CC(OC1)CCO2)C(=O)CN3C(=O)N(CC=C)C(=O)C3=O,4.543700695037842,-4.543700695037842,A0A8B7WC37,False
6F2E26187074ED56_B6A08CC7F3D16AF0_2201_UN,C13=NC5=C4C(=C1OC2=C(C=CC=C2)C=C3)CCC4=CC6=C5CCC6,4.565072536468506,-4.565072536468506,A0A8B7WC37,False
4431C0C109FC3B38_FEFCD14BC44530BA_6038_DP,OC(=O)CN3CCCCC(OC(=O)C1(CC1)C2CCCCO2)C3=O,4.566243648529053,-4.566243648529053,A0A8B7WC37,False
