molecule,smiles,raw_score,weighted_score,protein,is_target
DC36AD029495754A_C584AD6CD1360E68_7019_DP,NCCC=C[C@@H]([C@H]([C@@H]([C@@H](CO)O)O[C@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)O)O,4.076153755187988,-3.057115316390991,A0A8B8T1W7,False
2DD6DDC35401544C_7951D278642CCEF2_7019_UN,C(CC1CCC1)=C[C@@H]([C@H]([C@@H]([C@@H](CO)O)O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)O)O,4.222105026245117,-3.166578769683838,A0A8B8T1W7,False
BF7D8E0A935B0CE8_1EF42738B2956279_6031_UN,O(C(=O)C1CCC(O1)C2CCCO2)CC3(CN)COCC4COCCN34,4.3138108253479,-3.2353581190109253,A0A8B8T1W7,False
40C995D481DAEA28_F6EB6679F2A73AA3_6031_UN,COCCOCCOCCCC(=O)OCCOCCOCCOCCCl,4.412829875946045,-3.3096224069595337,A0A8B8T1W7,False
02E106D5A828EB4A_0DA3E99AC9DD90AE_6038_UN,CCN3CCOC(CCOC(=O)[C@@H]1CC[C@@H](O1)C(=O)N2CCOCC2)C3,4.430748462677002,-3.3230613470077515,A0A8B8T1W7,False
C15D772182DEEF9F_FA39BB0C88E9E667_7019_UN,C(C1(CCOCC1)C#N)=C[C@@H]([C@H]([C@@H]([C@@H](CO)O)O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)O)O,4.440056324005127,-3.330042243003845,A0A8B8T1W7,False
A2AD553DBECA0207_B571D3A65835680B_6031_UN,COCCOCCOCCCC(=O)OCCOCCOCCOCCN,4.503371715545654,-3.3775287866592407,A0A8B8T1W7,False
AE642CEF311721EF_DCE2B589504B5C6A_6038_UN,CCOC(=O)C(CC)(CC)CNC(=O)CC2CCC1(CCOCC1)CO2,4.5577192306518555,-3.4182894229888916,A0A8B8T1W7,False
6F98616D12547DE9_A7877BF3DF410445_6038_UN,CCOC(=O)C(OC(=O)[C@@H]1CC[C@@H](O1)C(=O)N2CCOCC2)CCSC,4.56430721282959,-3.4232304096221924,A0A8B8T1W7,False
C915BC899895FFCF_9580B0C520DC1E4A_6038_UN,CCCCCC(OC(=O)[C@@H]1[C@H]3CC[C@]2(COC(=O)[C@H]12)O3)CC(=O)OCC,4.572159767150879,-3.429119825363159,A0A8B8T1W7,False
474DE23740BAE00D_0AC09FFE21E991F6_6038_UN,CCOC(=O)CSCC(NC(=O)C1CCC12CCOCC2)C(=O)OCC,4.577419757843018,-3.433064818382263,A0A8B8T1W7,False
04148D2C789EBFB4_321054150983670C_6038_UN,CC3(COC(=O)CC2(CC(=O)N1CCOCC1)CCCC2)CCCCO3,4.581075191497803,-3.435806393623352,A0A8B8T1W7,False
3C6A71763AEF8375_1C4269443D441825_6039_UN,CCCC(CCCOCC3CCC1(CCC2(CC1)OCCO2)O3)C(=O)O,4.582950592041016,-3.4372129440307617,A0A8B8T1W7,False
CF5A77D38E3A2533_E46E725AC614A6C0_6038_UN,CCOC(=O)C1(CCOCC1)C(C)NC(=O)CCCCN2CCOCC2,4.601714134216309,-3.4512856006622314,A0A8B8T1W7,False
