molecule,smiles,raw_score,weighted_score,protein,is_target
5E1A40608AB02F53_16F0231D8B0F5225_6031_DP,NC1(CCC2(CC1)OCCO2)C(=O)OCCOC3(CN)CCOC3,4.366790771484375,-4.366790771484375,A0A8F3DVR2,False
2D99538E35E25C29_A2D4A69C24510D45_6034_UN,O=C2C[C]1(CC[CH2]CC1)CC(=O)[N]2CCOC3(CN)CCCCC3,4.370213031768799,-4.370213031768799,A0A8F3DVR2,False
79D0656C336C1F6C_C98180AC8B11F1C5_6034_UN,O=C1CC3(CC(=O)N1CCOC2(CN)CCCC2)CCCCCC3,4.375692367553711,-4.375692367553711,A0A8F3DVR2,False
B12F0D07B7E1C7ED_C2A173E4C67E72F2_6038_UN,COC(=O)C2CCN(CCOC(=O)CCN1CCCCCC1)CC2,4.381983280181885,-4.381983280181885,A0A8F3DVR2,False
97238C2EA2694A78_BE6FC30F35635A57_6031_UN,O(C(=O)CN1CCCCC(=O)C1=O)CCCN2CCCCCCC2,4.3822021484375,-4.3822021484375,A0A8F3DVR2,False
BB62F24A62E74DE5_9036525C86DE4CF2_6031_UN,O(C(=O)CN1CCCCCCC1=O)CCCN2CCCCCCC2,4.3890767097473145,-4.3890767097473145,A0A8F3DVR2,False
754AB6D4EAB42867_25EF5FC02A3CA2F4_6031_UN,O(C(=O)CN1CCCCC(=O)C1=O)CCOC2(CN)CCCCC2,4.398633003234863,-4.398633003234863,A0A8F3DVR2,False
981BE1CF627F46D6_B1D5AD011727C2CB_6035_UN,O(CCOC1=CC=CC=C1)C2=CC=C(C=C2)OCC3=CC=CC=C3,4.41094446182251,-4.41094446182251,A0A8F3DVR2,False
981BE1CF627F46D6_EFE384F7E793EED1_7022_UN,C1(=CC=C(C=C1)OCC2=CC=CC=C2)OCCOC3=CC=CC=C3,4.410944938659668,-4.410944938659668,A0A8F3DVR2,False
4CD89155C7775E5B_29A5A97D37AAABD0_6031_UN,O(C(=O)CN1CCCCCC1=O)CC2(N)CCC3(CC2)OCCO3,4.413685321807861,-4.413685321807861,A0A8F3DVR2,False
299EAFDB94FC70C1_9BF681DB85E8833F_6031_UN,CCOC(=O)C2(CC(=O)OCCCN1CCCCCCC1)CCC2,4.432726860046387,-4.432726860046387,A0A8F3DVR2,False
E38E781B88DA075D_A311C52E8EDFB9A6_6031_UN,CCN2CCN(CC(=O)OCCN1CCCCCC1=O)C(=O)C2=O,4.433551788330078,-4.433551788330078,A0A8F3DVR2,False
