molecule,smiles,raw_score,weighted_score,protein,is_target
79D0656C336C1F6C_C98180AC8B11F1C5_6034_UN,O=C1CC3(CC(=O)N1CCOC2(CN)CCCC2)CCCCCC3,3.3689019680023193,-3.3689019680023193,A0A8P0PR91,False
A7B7BD20E5FD473A_339B8F5F6F509DB5_6031_UN,O(C(=O)CC1C2CCCC1CNC2)CC34CC(CN)(OC3)CCC4,3.4086780548095703,-3.4086780548095703,A0A8P0PR91,False
73A9136A5223B3B4_3188E5D308E598C3_6031_DP,NC1(CCC2(CC1)OCCO2)C(=O)OCC3(N)CCCCCCC3,3.4185986518859863,-3.4185986518859863,A0A8P0PR91,False
1431E117A16CC8CB_5DE03351249F5FDB_6031_DP,OC(=O)C1(CC2CCC1C2)C(=O)OCC34CC(CN)(OC3)CCC4,3.4585907459259033,-3.4585907459259033,A0A8P0PR91,False
5E1A40608AB02F53_16F0231D8B0F5225_6031_DP,NC1(CCC2(CC1)OCCO2)C(=O)OCCOC3(CN)CCOC3,3.48498797416687,-3.48498797416687,A0A8P0PR91,False
1BB916102AA8F1B6_BD8AF1985CA33C7F_6031_UN,O(C(=O)CC1C2CCCC1CNC2)CC3(CN)CC4CCC3CC4,3.490467071533203,-3.490467071533203,A0A8P0PR91,False
754AB6D4EAB42867_25EF5FC02A3CA2F4_6031_UN,O(C(=O)CN1CCCCC(=O)C1=O)CCOC2(CN)CCCCC2,3.4914822578430176,-3.4914822578430176,A0A8P0PR91,False
60ABB35960FC01F8_90E97A2D45803F40_6031_UN,O(C(=O)C1CCCCC1C2CCCO2)CC3(N)CCCCCCC3,3.492575168609619,-3.492575168609619,A0A8P0PR91,False
9AD8C894D190158B_554123C710B0EF47_6031_UN,NCC1(CC(=O)OCCOCCOCCOCCN)CCCCC1,3.4984169006347656,-3.4984169006347656,A0A8P0PR91,False
4CD89155C7775E5B_29A5A97D37AAABD0_6031_UN,O(C(=O)CN1CCCCCC1=O)CC2(N)CCC3(CC2)OCCO3,3.5018293857574463,-3.5018293857574463,A0A8P0PR91,False
5AAC79FE10CB1CD0_DFD011AE691F0410_6031_DP,OC(=O)C1(CCCCCC1)C(=O)OCCOC2(CN)CCCCC2,3.5116188526153564,-3.5116188526153564,A0A8P0PR91,False
B27A7E8853FF18C5_89548E908FB7630B_6031_UN,O(C(=O)CC2CCC1(CCOCC1)CO2)CCN3CCOCC3=O,3.5312297344207764,-3.5312297344207764,A0A8P0PR91,False
DBEECB054A5110B5_8EED0002496C903F_6031_DP,NCC1CCC(C1)(N)C(=O)OCC3CCC2(CCCCCCC2)O3,3.5332372188568115,-3.5332372188568115,A0A8P0PR91,False
0A93862F9AA58D38_19C166393D5981D0_6031_UN,O(C(=O)C1(CCOCC1)C2CCCCO2)CCN3CCCCC3=O,3.542574644088745,-3.542574644088745,A0A8P0PR91,False
9FAE11D926A8738F_93BC3D2450E37B2B_6031_DP,NCC(C1CCOC1)C(=O)OCC2(CN)COCC3COCCN23,3.549314260482788,-3.549314260482788,A0A8P0PR91,False
E2648183EA7C2074_7705DAA6E3EDF778_6035_UN,O(CC12CCC(CC1)CC2)C5=C4N=C3C=CC=CC3=NC4=CC=C5,3.5517027378082275,-3.5517027378082275,A0A8P0PR91,False
2278094323187272_DD76E0CD7E135AB9_6031_UN,COC3(CC(=O)OC[C@@]1(CN)COC[C@H]2CCCN12)CCCCC3,3.552090883255005,-3.552090883255005,A0A8P0PR91,False
2EE86B3B2843E51E_81E19DF2ADD0D916_6031_UN,O(C(=O)C1(CCOCC1)C2CCCCO2)CCN3CCOCC3=O,3.5525341033935547,-3.5525341033935547,A0A8P0PR91,False
