molecule,smiles,raw_score,weighted_score,protein,is_target
F14128CEDA670009_375DAB3690304399_2201_UN,C12=NC6=C5C(=C1CC4=C3C2=CC=CC3=CC=C4)CCC5=CC7=C6CCC7,4.54410457611084,-4.54410457611084,A0A9L0J784,False
C5996940D3ADA2F0_2E2FA1D1FDC7F638_7022_UN,C2(=C1N=CC=CC1=CC=C2)NC3C5CCC3CC4=C(C=CC=C4)C5,4.667832374572754,-4.667832374572754,A0A9L0J784,False
1561B3C28C650C34_66903BE2B22EC185_6041_UN,C1(=CC=C[N]2C=NC=C12)NCCC3=CC=C(C=C3)C4=CC=CC=C4,4.7736663818359375,-4.7736663818359375,A0A9L0J784,False
551E68EEDF7A358B_72BEC6AFD6BD38FD_6039_UN,O(C1=C(C=CC=C1)C2=CC=NC=C2)CC4CN3CC(CCC3=O)O4,4.785862445831299,-4.785862445831299,A0A9L0J784,False
A66E3BCE86D165A5_999629DC0A33C6E0_6039_UN,COC(C)C(OCC(=O)NCCCN1CCCCCC1=O)C(=O)O,4.887509346008301,-4.887509346008301,A0A9L0J784,False
1E72E6B22BEDBEA3_1777A65A2E7F0956_6031_DP,OC(=O)CCC(=O)OCCOC(=O)CCC(=O)OCCOCCN,4.917336463928223,-4.917336463928223,A0A9L0J784,False
310E71B69AED10AE_1716FE47A76B710E_2201_UN,CN1CCC4(CC1)C2=CC5=C(N=C2C3=C(C=CC=C3)O4)C(=NC=C5)Br,4.971865653991699,-4.971865653991699,A0A9L0J784,False
32BFDC00C795257A_3BDE3270D2EAEDC4_6031_UN,O(C(=O)C1=NC=C(N=C1)OC2=CC=CC=C2)CC3=NC=CC(=C3)Br,4.983947277069092,-4.983947277069092,A0A9L0J784,False
63A9CC9CF1D8CA8A_650D4AA8BCA33F28_6038_UN,CCC(OC(=O)CC2(CC(=O)N1CCOCC1)CCCC2)C(=N)N,4.994506359100342,-4.994506359100342,A0A9L0J784,False
F4CF8DD70A07C2EC_667C6A14B4444EB7_6041_UN,C1(=CC=C(C=C1)C(=O)C2=NC=CN=C2)NC45CN3CN(CN(C3)C4)C5,5.0143232345581055,-5.0143232345581055,A0A9L0J784,False
729780BAED560A6D_9FFBDC18C07E2807_6038_UN,N(CCC2CCC1(CCOCC1)CO2)C(=O)CN3C(=O)C=CC3=O,5.0196123123168945,-5.0196123123168945,A0A9L0J784,False
0167E87EB1BC4134_EC12674412A10CFA_6038_UN,O(CC1=CN=C(C=C1)C2=NC=CC=C2)C(=O)C3=CC(=C(C=C3)Br)F,5.0901198387146,-5.0901198387146,A0A9L0J784,False
E836F38CD44328A9_4DC95A98578CD7C3_6039_UN,O(C1=CC=C(C=C1)C2=CC=CC=C2)CCOC3=CC=C(C=C3)C#N,5.109292507171631,-5.109292507171631,A0A9L0J784,False
12B89AB3B8BB6453_7D05CADB533C1A44_6038_UN,CN3CC(OC(=O)CC2CCC1(CCOCC1)CO2)CCCC3=O,5.136190891265869,-5.136190891265869,A0A9L0J784,False
3EAE6F82B37B61E9_79718D6890EA2B4B_6038_UN,CCN3CCOC(CCOC(=O)C1=CC2=C(C=C1)OCCCO2)C3,5.140138626098633,-5.140138626098633,A0A9L0J784,False
F01E9A364DCF9B2B_0A94C6138D1C993C_6041_UN,C2(=NC1=C(N=CC=C1)S2)NC(C3=CC=C(C=C3)F)C4=NC=CC=C4,5.187897682189941,-5.187897682189941,A0A9L0J784,False
00009D9A7BE555CB_A5BE9FDBB5A3A9A8_6031_UN,CC(=O)OC15CC(C1)(C(=O)OCC23CC(N)(C2)C4(O3)CCOCC4)C5,5.1894941329956055,-5.1894941329956055,A0A9L0J784,False
6914F60E8C5CD739_18748231C1A8160B_6038_UN,CC2=NC1=C(C=CC=C1)[N]2CCOC(=O)COC3=CC(=C(C=C3)Cl)Cl,5.205852508544922,-5.205852508544922,A0A9L0J784,False
1DED72E2C2295511_3D00DEF335522698_6031_UN,O(C(=O)C1=CC(=NO1)C2=CC=CO2)CCC3=CC(=CC=C3)C(F)(F)F,5.225588321685791,-5.225588321685791,A0A9L0J784,False
77835BB15FD47438_B503AF94FBB0C64D_6038_UN,CCC1=C(C(C=CO1)=O)OC(=O)CN2C(=O)N(CC=C)C(=O)C2=O,5.232725143432617,-5.232725143432617,A0A9L0J784,False
E4F0E2EC4E6A3493_160300F78CE98830_6038_UN,CC1=NC=C(N=C1)CCNC(=O)CN2C(=O)N(CC=C)C(=O)C2=O,5.258058547973633,-5.258058547973633,A0A9L0J784,False
9BB3F518F245FC82_43F429BD07BB1F8F_6034_UN,COC(=O)C2=C1N=CN(C1=NC=N2)CCC4=C[N]3N=CC(=C3N=C4)Br,5.309843063354492,-5.309843063354492,A0A9L0J784,False
5B45596E68DEF5FC_30455A9873A93FAD_6038_UN,N([C@H]1C[C@H](CCC1)C2CC2)C(=O)CN3C(=O)N(CC=C)C(=O)C3=O,5.32726526260376,-5.32726526260376,A0A9L0J784,False
C129B3EF1556863A_AAFFE354F75F38D0_6038_UN,CC(C)(CNC(=O)CC2(CC(=O)N1CCOCC1)CCCC2)C(=O)N,5.327699661254883,-5.327699661254883,A0A9L0J784,False
4CA07721C017F42F_B8130CBE750DEC92_6038_UN,CC(NC(=O)CN2N=C1CCCCCN1C2=O)C(C)N3CCOCC3,5.330257415771484,-5.330257415771484,A0A9L0J784,False
23165CCBE46FA66D_7BF2188A2734A867_2201_UN,C13=NC6=C5C(=C1C2(CCCCC2)OC4=C3C=CC=N4)C=CNC5=NC=N6,5.3308916091918945,-5.3308916091918945,A0A9L0J784,False
C15D772182DEEF9F_FA39BB0C88E9E667_7019_UN,C(C1(CCOCC1)C#N)=C[C@@H]([C@H]([C@@H]([C@@H](CO)O)O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)O)O,5.343999862670898,-5.343999862670898,A0A9L0J784,False
806F94ECE6977802_EDD0B67E5F1579FD_6039_UN,O(C1=CC(=C(C(=C1)F)F)F)CC2=NN=C(C=C2)OC3=CC=CC=C3,5.352205276489258,-5.352205276489258,A0A9L0J784,False
