molecule,smiles,raw_score,weighted_score,protein,is_target
22A4BD673720B91D_189CF765786F94AF_6029_UN,CC1=N[N](C(=C1C2COCCN2[S](C3=C(C)N=C(S3)[S](=O)(=O)OC4=C(C(=C(C(=C4F)F)F)F)F)(=O)=O)C)C5=C(C=CC=C5)F,7.910926818847656,7.910926818847656,A0A9L0SRX4,True
AE71AA406078C8E0_E386D9EB307B6326_6026_UN,CC1=NC(=CS1)C2=CC(=C(C=C2)C)[S](=O)(=O)N(C4CCC3=C(C=N[N]3C(C)C)C4)C5CCC6=C(C5)C=N[N]6C(C)C,7.892414093017578,7.892414093017578,A0A9L0SRX4,True
CD76281C44012492_32284F2F144FFD5B_6026_UN,CC1=N[N](CC(F)(F)F)C(=C1[S](=O)(=O)N(C3CCC2=C(C=N[N]2C(C)C)C3)C4CCC5=C(C4)C=N[N]5C(C)C)C,7.890966415405273,7.890966415405273,A0A9L0SRX4,True
11647C561747F56B_02FE293F9404286F_6026_UN,CC2=N[N]1C=C(Br)C=NC1=C2[S](=O)(=O)N(C4CCC3=C(C=N[N]3C(C)C)C4)C5CCC6=C(C5)C=N[N]6C(C)C,7.890509605407715,7.890509605407715,A0A9L0SRX4,True
9F6902154359B095_90F78C09E79D0C88_6026_UN,C[S](=O)(=O)C1=CC(=C(Cl)S1)[S](=O)(=O)N(C3CCC2=C(C=N[N]2C(C)C)C3)C4CCC5=C(C4)C=N[N]5C(C)C,7.888999938964844,7.888999938964844,A0A9L0SRX4,True
AF05B30AABD12365_FFCCE0CCE11FEE38_6039_UN,CC7(C[C@H]6C5=CC[C@H]1[C@@](CC[C@H]2C([C@H](CC[C@]12C)OCC3=CC(=CC(=C3)C4=C(C(=C(C(=C4F)F)F)F)F)F)(C)C)([C@@]5(CC[C@]6(CC7)C(=O)O)C)C)C,7.887881755828857,7.887881755828857,A0A9L0SRX4,True
F8F135A9AA78F32F_DE6C605E27FC6C86_6026_UN,CC2(C)COC1=C(C=N[N]1C2)[S](=O)(=O)N(C4CCC3=C(C=N[N]3C(C)C)C4)C5CCC6=C(C5)C=N[N]6C(C)C,7.887485027313232,7.887485027313232,A0A9L0SRX4,True
A5168896CA8A8BC5_FC31EC247C633C63_6003_UN,CC6(C[C@H]5C4=CC[C@H]1[C@@](CC[C@H]2C([C@H](CC[C@]12C)OC3=CC=C(C(CC(F)(F)F)=O)C=C3)(C)C)([C@@]4(CC[C@]5(CC6)C(=O)O)C)C)C,7.883727550506592,7.883727550506592,A0A9L0SRX4,True
43CAAC6412477581_C4883995D21B5275_6026_UN,CC1=C(C(=CC(=C1)C(C)(C)C)C)[S](=O)(=O)N(C3CCC2=C(C=N[N]2C(C)C)C3)C4CCC5=C(C4)C=N[N]5C(C)C,7.882034778594971,7.882034778594971,A0A9L0SRX4,True
0226BCC23386067C_FA4803DE5FE94DFC_6029_UN,CC1=N[N](C)C(=C1C2COCCN2[S](C3=C(C)SC(=C3)B(O)O)(=O)=O)C,7.881526947021484,7.881526947021484,A0A9L0SRX4,True
856076E03047C4C1_CAD57CDA81CD8810_6026_UN,C[N]1C=C(C(=N1)C2CC2)[S](=O)(=O)N(C4CCC3=C(C=N[N]3C(C)C)C4)C5CCC6=C(C5)C=N[N]6C(C)C,7.881446838378906,7.881446838378906,A0A9L0SRX4,True
EBF285FFB55BD928_10D4697D8B233BBD_6026_UN,FC1=C(C=CC(=C1)C2CC2)[S](=O)(=O)N(C4CCC3=C(C=N[N]3C(C)C)C4)C5CCC6=C(C5)C=N[N]6C(C)C,7.881187915802002,7.881187915802002,A0A9L0SRX4,True
11244486348495F2_18C7757DA92C8092_6029_UN,CC2=C(C=C1C(CCOC1=C2)N(C3CC3)[S](C4=C(C)N=C(S4)[S](=O)(=O)OC5=C(C(=C(C(=C5F)F)F)F)F)(=O)=O)C,7.881167411804199,7.881167411804199,A0A9L0SRX4,True
2612F5AD4ACE263F_87AE08CFF7B94299_6026_UN,[S](=O)(=O)(C1=CC=C(S1)C2=CC=C(Br)S2)N(C4CCC3=C(C=N[N]3C(C)C)C4)C5CCC6=C(C5)C=N[N]6C(C)C,7.880911827087402,7.880911827087402,A0A9L0SRX4,True
