molecule,smiles,raw_score,weighted_score,protein,is_target
97CE25B0B30BEDFA_ABB26BD55C0DF932_2201_DP,N1CCC4(CC1)C2=C6C5=C(N=C2C3=C(C=CC=C3)O4)N=CN=C5NC=C6,4.570647716522217,-4.570647716522217,A0A9L0TLA9,False
308B6F77D6FDEB97_AB085DE99F184D24_2201_UN,C12=NC6=C5C(=C1COC4=C2C=C3OCOC3=C4)CCC5=CC7=C6CCC7,4.671396255493164,-4.671396255493164,A0A9L0TLA9,False
F14128CEDA670009_375DAB3690304399_2201_UN,C12=NC6=C5C(=C1CC4=C3C2=CC=CC3=CC=C4)CCC5=CC7=C6CCC7,4.893065929412842,-4.893065929412842,A0A9L0TLA9,False
F023B60CBDCE251D_08395D6E4F285E64_2201_UN,C12=NC6=C5C(=C1C4(OC3=C2C=CC=C3)CNCCC4)C=CNC5=NC=N6,5.262398719787598,-5.262398719787598,A0A9L0TLA9,False
23165CCBE46FA66D_7BF2188A2734A867_2201_UN,C13=NC6=C5C(=C1C2(CCCCC2)OC4=C3C=CC=N4)C=CNC5=NC=N6,5.286622047424316,-5.286622047424316,A0A9L0TLA9,False
390323C9AD02C8FC_77CDB72E22D4FD7A_7019_UN,CCOC(=O)CC1=CSC(=N1)NC(=O)C=C[C@H](N)[C@@H](O)[C@H](O)[C@H](O)CO,5.4753289222717285,-5.4753289222717285,A0A9L0TLA9,False
31471A429D272EBE_9CC8254B32526E1B_6031_UN,CCCCC(NC(=O)NCC)C(=O)OCCOCCOCCOCCN,5.747676372528076,-5.747676372528076,A0A9L0TLA9,False
32546015BF15BF8E_D43C405D95652A06_6031_UN,CCN(CC)C(=O)CCC(=O)OCCCOCCOCCOCCOC,5.776668548583984,-5.776668548583984,A0A9L0TLA9,False
B2F34D3C0D44664C_C4FAFA640D2E80E6_6039_UN,O(CCOCCOCCOCCN=[N]#N)CCO[P](OCC)(=O)OCC,5.7780938148498535,-5.7780938148498535,A0A9L0TLA9,False
41D8D18659D9725A_82539D4B254FA0DD_6038_DP,CC12CCC(CNC(CCC(OCCOC(CCC(O)=O)=O)=O)=O)(CC1)OC2,5.8369035720825195,-5.8369035720825195,A0A9L0TLA9,False
C15D772182DEEF9F_FA39BB0C88E9E667_7019_UN,C(C1(CCOCC1)C#N)=C[C@@H]([C@H]([C@@H]([C@@H](CO)O)O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)O)O,5.837506294250488,-5.837506294250488,A0A9L0TLA9,False
DF36657955C1A528_C01C0C51E719EEA4_6038_DP,N3CCC[C@@]4(COC(=O)CC2(CC(=O)N1CCOCC1)CCCC2)CCCC[C@H]34,5.871792793273926,-5.871792793273926,A0A9L0TLA9,False
E688D73200839B8A_23A3348979615A46_6038_UN,CC(=O)OCCC1=CC(=CC=C1)NC(=O)CN2C(=O)N(CC=C)C(=O)C2=O,5.8754472732543945,-5.8754472732543945,A0A9L0TLA9,False
03D7D529A7555CD0_82011AF2381CBA6B_7019_UN,COC1=NC=C(C(=C1)OC)C=C[C@@H]([C@H]([C@@H]([C@@H](CO)O)O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)O)O,6.024407386779785,-6.024407386779785,A0A9L0TLA9,False
45B4D5066C577884_247B7819BDB8086A_6038_UN,CCCCOCCOCCOCCOC(CCCN(C(OCC)=O)C)=O,6.036134243011475,-6.036134243011475,A0A9L0TLA9,False
E6B294B61224044B_8248EAA694CF60D9_6038_UN,CC(C)(C)[Si](C)(C)OCCOCCOCCOC(COCCOCC)=O,6.036499500274658,-6.036499500274658,A0A9L0TLA9,False
3DFC22E7A0F6D3F3_1428E003494650CE_6038_UN,COCCOCCOCCOCCCNC(COCCOCCOC)=O,6.040794372558594,-6.040794372558594,A0A9L0TLA9,False
42DDD7ECF4552FBB_DED3D6B71EBF16FF_6038_UN,CCN2CC(C)(CNC(C1=CC(=C(C(=C1)OC(=O)C)OC(=O)C)OC(C)=O)=O)C2=O,6.057689189910889,-6.057689189910889,A0A9L0TLA9,False
