molecule,smiles,raw_score,weighted_score,protein,is_target
D5C9E272C5E036A2_978AC74B66CA440B_6038_UN,O(C(CCC#C)CCC1=CC=CC=C1)C(=O)C2=N[NH]C3=C2C[C@H]4C[C@@H]34,9.75525951385498,9.75525951385498,A0AAJ7AVG5,True
C578FD75AAA94F49_16DB68D3AF05194F_6038_UN,O(C(CCC#C)CCC1=CC=CC=C1)C(=O)C4CCC2=C(C=NC(=N2)C3CC3)C4,9.732769012451172,9.732769012451172,A0AAJ7AVG5,True
B721D097F415DAF7_A4B4D0788952C562_7019_UN,CC1CCC2=C(C1)SC3=C2C(NC(=N3)C=CC4=CC(=CS4)B(O)O)=O,9.721363067626953,9.721363067626953,A0AAJ7AVG5,True
7F667B3728EADB55_536985A6C62BEAF8_6031_UN,CCC2=N[N](C1CC[S](=O)(=O)C1)C(=C2C(=O)OCC(C(C(C)C)N)C(C)C)Cl,9.699348449707031,9.699348449707031,A0AAJ7AVG5,True
D9FE8E93CAECFAE3_3F7A38B365C5741D_6028_UN,N(C(C1CCC1)C2CCOC2)[S](C3=CC(=NC(=N3)C(C)C)C)(=O)=O,9.696824073791504,9.696824073791504,A0AAJ7AVG5,True
3668C0696AD56DDF_EB45DC11C4AA5F12_6031_UN,CC(C)C(N1CC(OC(C1)C)C)C(=O)OCC(C)NC2CCCC2[S](=O)(=O)C,9.690832138061523,9.690832138061523,A0AAJ7AVG5,True
D15D94EF17391C74_6B88E6CD5AE54D96_6031_UN,CC(C)CC1CCC(NC1)C(=O)OCC(C)NC2CCCC2[S](=O)(=O)C,9.686153411865234,9.686153411865234,A0AAJ7AVG5,True
F2F4EE8CE68041B0_714A62CB52B32A54_6035_UN,O([C@H]1C[C@@H](NC1)C2=NC(=NO2)C3CC3)C4=C(C=C(C(C)C)C=C4)B(O)O,9.672836303710938,9.672836303710938,A0AAJ7AVG5,True
F6204874B60CC2D6_89A6C6B899D8862A_7019_UN,CC1CCC2=C(C1)SC3=C2C(N=C(N3)C=CC4=CC(=CS4)B(O)O)=N,9.665444374084473,9.665444374084473,A0AAJ7AVG5,True
808BD02D7BD335D3_B9646A2F923EC0DD_6031_UN,CCCC(CC(C)C)C(=O)OCC(C)NC1CCCC1[S](=O)(=O)C,9.662508010864258,9.662508010864258,A0AAJ7AVG5,True
E871D041C9D21D6E_3F38ABBCA56EE55F_7019_UN,CC1CCC2=C(C1)SC3=C2C(NC(=N3)C=CC4=CC=CC(=C4)B(O)O)=O,9.658641815185547,9.658641815185547,A0AAJ7AVG5,True
44BA47BB9FEE298A_987993761B5DEDE5_6035_UN,O(C1CCOCC1C2CCCN2)C3=C(C=C(C(C)C)C=C3)B(O)O,9.656377792358398,9.656377792358398,A0AAJ7AVG5,True
882422F3FD896E2E_D942D3CE7975A1BB_6038_UN,CC1=C(C(NC(=N1)N2CC(CC2)NC(=O)C(CC#C)CC#C)=O)C,9.65406322479248,9.65406322479248,A0AAJ7AVG5,True
9A3D6CE3A012FB35_313D82D2D48ED686_6041_DP,N2C[C@H]1CN(C[C@H]1C2)C3=NC(=NC=N3)NC(CCCCCCCCCC)C,9.653546333312988,9.653546333312988,A0AAJ7AVG5,True
D894F0DCA3BC1DDD_5B3424BA5BC59023_6038_UN,N(C(CCC#C)C1=CC=CC=C1)C(=O)C4CCC3=NN=C(C2CC2)[N]3C4,9.651308059692383,9.651308059692383,A0AAJ7AVG5,True
7CDE62DBC23C64DF_83DEAC4F254A529C_7019_UN,CC1=N[N](CC[S](=O)(=O)C)C(=C1C=C[C@@H]2C[C@@H](CC[C@H]2C(C)C)C)C,9.650276184082031,9.650276184082031,A0AAJ7AVG5,True
2E8E3F6BBE4306C0_3CD8FF4253097D60_6031_UN,CC1NCC(C(C1)C(=O)OCC(C)NC2CCCC2[S](=O)(=O)C)C,9.649959564208984,9.649959564208984,A0AAJ7AVG5,True
D5D18649B5603C76_9D043EBB9F3CF209_7019_UN,CC1CCC2=C(C1)SC3=C2C(NC(=N3)C=CC4=CC=C(B(O)O)S4)=O,9.648384094238281,9.648384094238281,A0AAJ7AVG5,True
FDF182FCA21C28BD_6863F73EE3E93FF1_6034_UN,CC(C)CC(N)C1=NC(=NO1)C2=NN=CN2CC(C)NC3CCCC3[S](=O)(=O)C,9.647415161132812,9.647415161132812,A0AAJ7AVG5,True
301BD37B789BFD68_07CFC27D328B6A24_6041_UN,CC2=N[N](C1C[S](CC1)(=O)=O)C(=C2NC3CC(CCC3C(C)C)C)C,9.643470764160156,9.643470764160156,A0AAJ7AVG5,True
9D08AFE89A34ADE2_8135C6AD22CA4520_6041_DP,N2C[C@H]1CN(C[C@H]1C2)C3=NC(=CN=C3)NC(CCCCCCCCCC)C,9.643329620361328,9.643329620361328,A0AAJ7AVG5,True
A44DBB3F984F6841_1D72496412065402_6038_UN,CC1=CC(=O)NC(=N1)N2CC(CCC2)NC(=O)C(CC#C)CC#C,9.64162540435791,9.64162540435791,A0AAJ7AVG5,True
64BE8260D12A852B_B7396EBEB4C40EF3_6031_UN,CC2=N[N](C1CC[S](=O)(=O)C1)C(=C2C=CC(=O)OCC3CC3C(C)C)Cl,9.636146545410156,9.636146545410156,A0AAJ7AVG5,True
3A7780D39DC46A2F_93A9756EB69AFC65_6031_UN,CC1NCC(C(C1)C)C(=O)OCC(C)NC2CCCC2[S](=O)(=O)C,9.628012657165527,9.628012657165527,A0AAJ7AVG5,True
FF3CB250F703EEBA_E71F853DFE830331_7019_UN,CC1CCC2=C(C1)SC3=C2C(NC(=N3)C=CC4=C(C)[N](C(=C4)C)CC#C)=O,9.6278076171875,9.6278076171875,A0AAJ7AVG5,True
4236286342802BE7_E4F3A20FF188DC2F_6031_UN,CCC(CC)N1CC(CC1=O)C(=O)OCC(C)NC2CCCC2[S](=O)(=O)C,9.623388290405273,9.623388290405273,A0AAJ7AVG5,True
F279143E14407E13_845D70DFFABA293C_6031_UN,CC1C(NCC(C1)C(=O)OCC(C)NC2CCCC2[S](=O)(=O)C)C,9.62199592590332,9.62199592590332,A0AAJ7AVG5,True
C77860AA2D7356B1_7023B6D2ADD571D0_6026_UN,CC(C)[N]1N=C(C)C(=C1C)[S](=O)(=O)NCC2CC(CCC2C(C)C)C,9.61440372467041,9.61440372467041,A0AAJ7AVG5,True
CC99694D14A39FFE_719D2C3FDC3E8DCC_6026_UN,CC(C)C[N]1N=C(C)C(=C1C)[S](=O)(=O)NC2CC(CCC2C(C)C)C,9.61419677734375,9.61419677734375,A0AAJ7AVG5,True
7D41897D8BEE83C4_2E8E44F6902F5608_6041_DP,N1CCC(CC1)C2=N[NH]C(=C2)NC(CCCCCCCCCC)C,9.611751556396484,9.611751556396484,A0AAJ7AVG5,True
9302B7DBCE63A381_4A51053738C6D6DA_6041_UN,CC(C)C1=NN=C(O1)C2=CC=C(C=C2)N[C@H]3[C@@H]4[C@H](C3)[C@H]([C@H](C4)O)O,9.604372024536133,9.604372024536133,A0AAJ7AVG5,True
748D88CD5B4BD9FA_19C107A5B180B7D8_6031_UN,CC(C)N1CC(CC1=O)C(=O)OCC(C)NC2CCCC2[S](=O)(=O)C,9.603775978088379,9.603775978088379,A0AAJ7AVG5,True
B7638F7479663B70_CF1C35ECA6656F00_6031_UN,CC(C)N1N=C(CCC1=O)C(=O)OCC(C)NC2CCCC2[S](=O)(=O)C,9.603574752807617,9.603574752807617,A0AAJ7AVG5,True
B0A60FE097608B15_140330554F041CE2_6026_UN,CC(C)(C)C1=NN=C([NH]1)[S](=O)(=O)NC(CC(C)C)C2C(C2)C3=CC=CC=C3,9.602460861206055,9.602460861206055,A0AAJ7AVG5,True
8B9F6AA73A84A5F1_78F0110D9A19E489_6031_UN,CC1CCC(CC1C)C(=O)OCC(C)NC2CCCC2[S](=O)(=O)C,9.601967811584473,9.601967811584473,A0AAJ7AVG5,True
AC14376BC3C91795_CB5D14DCB2AFE5FA_6041_UN,CC1=N[N](CC[S](=O)(=O)C)C(=C1NC2CC(CCC2C(C)C)C)C,9.599813461303711,9.599813461303711,A0AAJ7AVG5,True
3A8BAD5CBD9B1D24_55841318326F3B7C_6029_UN,N(C[C@@H]1CC[C@@H](O1)C2CC2)[S](C3=CC=C(C(C(C)C)C#N)C=C3)(=O)=O,9.593215942382812,9.593215942382812,A0AAJ7AVG5,True
E9FFCC223E6C526D_DB5567F9C1CF4034_6031_DP,CC1=N[N](C)C=C1C(N)C(=O)OCC(C)NC2CCCC2[S](=O)(=O)C,9.59308910369873,9.59308910369873,A0AAJ7AVG5,True
E99375290BC46331_FCE9AFE8340B240D_6038_DP,N1CC(C1)C4=NN=C(CNC(C3=N[N](C(C)C2CC2)C(=C3)C)=O)S4,9.592726707458496,9.592726707458496,A0AAJ7AVG5,True
4218F38A4EB99C93_825B8E329B8932B1_6031_UN,O(C(=O)C2C[N]1C(=NN=C1CC2)C(F)F)CC(C)NC3CCCC3[S](=O)(=O)C,9.59194278717041,9.59194278717041,A0AAJ7AVG5,True
ABFF8704B6447CA1_573EA3590033B117_6038_UN,O(C(CCC#C)CCC1=CC=CC=C1)C(=O)C3=C2C(=NOC2=NC(=C3)C4=CC=CS4)C5CC5,9.591489791870117,9.591489791870117,A0AAJ7AVG5,True
173EDFF7C09FAEFB_8B35D3340D669695_6035_UN,CC(C)[C@@H](COC1=NC(=NC2=C(C#N)C=N[N]12)S)NC(C)C3=CC(=CN=C3)F,9.584426879882812,9.584426879882812,A0AAJ7AVG5,True
9248C9966745DEEF_D51E180B2FCAE5CB_7019_UN,CC1CCC2=C(C1)SC3=C2C(NC(=N3)C=CC4=C(OC)C=CC(=C4)B(O)O)=O,9.582559585571289,9.582559585571289,A0AAJ7AVG5,True
