molecule,smiles,raw_score,weighted_score,protein,is_target
00CC01354D0640C9_FBC89CB5D734046D_6038_UN,C[C@@H]1CC[C@@H](O1)C2=N[N](C)C=C2COC(C3=CC(=C(C)S3)C[S](=O)(=O)C)=O,9.351228713989258,9.351228713989258,A0AAJ7MES3,True
3B6E8BDC22D740B9_C0E4F3490912AFEA_6039_UN,O(C[C@@H]1CC[C@H](C1)C2=CC=CC=C2)CCCCCCCCCCCCCCC,9.311901092529297,9.311901092529297,A0AAJ7MES3,True
977857474A1A58D4_14813118E1713FE1_6038_UN,O(C1C[S](=O)(=O)CC1[S](=O)(=O)Cl)C(C=C(C=CC=C(C)C=CC2=C(C)CCCC2(C)C)C)=O,9.308737754821777,9.308737754821777,A0AAJ7MES3,True
D6AB72BB2602A46C_8F9B86A0AA3EBF80_6026_UN,CC1CCCC2=NC(=C[N]12)[S](=O)(=O)NC(CCCCCCCCCC)C,9.298282623291016,9.298282623291016,A0AAJ7MES3,True
AE3A83867A4B2CC1_39A9FF393F059066_7019_UN,C[Si](C)(C)C#CC1=CC(=CC(=C1)C=CC2=NOC3CCCC23)[S](=O)(=O)F,9.291401863098145,9.291401863098145,A0AAJ7MES3,True
7351FFAACDC831A6_67D18F97DC9071E9_7019_DP,C[Si](C)(C)C#CC1=CC(=CC(=C1)C=CC2=NOC3CNCC23)[S](=O)(=O)F,9.278472900390625,9.278472900390625,A0AAJ7MES3,True
0B19E4CAFA891C68_4C2B42BFD958B14A_6039_UN,O(C[C@@H]1CC[C@H](C1)C2=CC=CC=C2)CCCCCCCCCCCCCCCCCC,9.27811050415039,9.27811050415039,A0AAJ7MES3,True
0D824637CC4B0854_0C0650B56FA83D8E_6038_UN,CC1=C(C(NC(=N1)N2CC(CC2)NC(C3=CC(=C(C)S3)C[S](=O)(=O)C)=O)=O)C,9.271660804748535,9.271660804748535,A0AAJ7MES3,True
64BE8260D12A852B_B7396EBEB4C40EF3_6031_UN,CC2=N[N](C1CC[S](=O)(=O)C1)C(=C2C=CC(=O)OCC3CC3C(C)C)Cl,9.270368576049805,9.270368576049805,A0AAJ7MES3,True
BADB6F86BD68BCD0_0DA8E49E2AC98D2E_6026_UN,CC1=N[N](CC(F)(F)F)C(=C1[S](=O)(=O)NC2CC(CCC2C(C)C)C)C,9.26379108428955,9.26379108428955,A0AAJ7MES3,True
19376FBC17A8C36C_93C1AF0CC0F07121_6026_UN,CC1=C(C(=C(C(=C1C)C)[S](=O)(=O)NCC2CC(CCC2C(C)C)C)C)C,9.256477355957031,9.256477355957031,A0AAJ7MES3,True
92E0431B28F8B419_41FF736897C5691A_6031_UN,CC1=C(SC(=N1)C[S](=O)(=O)C)CC(=O)OCC2=CC(=NC(=N2)[N]3N=C(C)C=C3C)C,9.244093894958496,9.244093894958496,A0AAJ7MES3,True
F69EDD47561349F5_3C69D8B80E26704A_6031_UN,CCC2=N[N](C1CC[S](=O)(=O)C1)C(=C2C(=O)OC[C@@H]3C[C@@H](CC[C@H]3C(C)C)C)Cl,9.243900299072266,9.243900299072266,A0AAJ7MES3,True
BE3C947F43F17790_33A9ED746D60C1FB_6031_UN,CC2=N[N](C1CC[S](=O)(=O)C1)C(=C2C=CC(=O)OCC3CCC(CC3)C#C)Cl,9.24189281463623,9.24189281463623,A0AAJ7MES3,True
7E0FC98395C7E225_888A2237CE781885_6026_UN,CC2(C)COC1=C(C=N[N]1C2)[S](=O)(=O)NCC3CC(CCC3C(C)C)C,9.240528106689453,9.240528106689453,A0AAJ7MES3,True
C49AA6B899CE3C07_FCA701AB6043CAA2_6026_UN,CC1=CC(=C(C(=C1)C)[S](=O)(=O)N(C3CCC2=C(C=N[N]2C(C)C)C3)C4CCC5=C(C4)C=N[N]5C(C)C)C,9.23609733581543,9.23609733581543,A0AAJ7MES3,True
9F1CD617A26A280B_035529EF62B655BD_6028_UN,COC1CC(CCC1)OC2CN(CC2)[S](C3=NN=C(O3)C56CC4CC(CC(C4)C5)C6)(=O)=O,9.236016273498535,9.236016273498535,A0AAJ7MES3,True
6E6417776EC0FD2D_A44A5844EDAD6489_6039_UN,O([C@@H]1C[C@H]3N(C1)C2=C(C=CC=N2)CNC3=O)CCCCCCCCCCCC,9.23121166229248,9.23121166229248,A0AAJ7MES3,True
35BF56659123D17A_AA68E391FEC000A0_6038_UN,CCC(NC(=O)C2=N[N]1CC(CC1=C2)F)C[S](=O)(=O)C3=CC(=C(C=C3)C)C,9.230718612670898,9.230718612670898,A0AAJ7MES3,True
8BE7150E3419E1D0_5CBB0D7E52289945_6038_UN,CC1=N[N](C)C(=C1[C@H]2[C@@H](CCO2)NC(C3=CC(=C(C)S3)C[S](=O)(=O)C)=O)C,9.22503662109375,9.22503662109375,A0AAJ7MES3,True
9A3D6CE3A012FB35_313D82D2D48ED686_6041_DP,N2C[C@H]1CN(C[C@H]1C2)C3=NC(=NC=N3)NC(CCCCCCCCCC)C,9.224222183227539,9.224222183227539,A0AAJ7MES3,True
2AD4082201755832_4E514723BAABEC49_6026_UN,CC1=C(C(=C(C(=C1)C)C)[S](=O)(=O)N(C3CCC2=C(C=N[N]2C(C)C)C3)C4CCC5=C(C4)C=N[N]5C(C)C)C,9.224205017089844,9.224205017089844,A0AAJ7MES3,True
5EB19861825D0155_04533F4FFB9A0050_6038_UN,CC1=N[N](C)C(=C1[C@H]2[C@@H](CCO2)NC(CC3=C(C)N=C(S3)C[S](=O)(=O)C)=O)C,9.223764419555664,9.223764419555664,A0AAJ7MES3,True
EA50494F0B2D7612_923177FF0DE0A91E_2201_UN,CCCCCCCCC3CCC4=C(C1=C(SC2=C1CCC(C)C2)N=C34)C5=CC=CC=C5,9.220809936523438,9.220809936523438,A0AAJ7MES3,True
CB571A31A3F1E23D_F5DC8FDBC504E2C8_6038_UN,CC[S](=O)(=O)C4=CC=C(CNC(=O)C3CCC2=NN=C(C1CC1)[N]2C3)S4,9.220788955688477,9.220788955688477,A0AAJ7MES3,True
F91129CE0906DCF5_F67BF7A566B16F4B_6041_UN,CC1CCC2=C(C1)SC3=C2C(=NC(=N3)C)NC4CCN(CC4CC)[S](=O)(=O)C,9.218099594116211,9.218099594116211,A0AAJ7MES3,True
9237E85C8938FD6A_339163CA871BCB40_6026_UN,CC1=CC(=C(C(=C1)C)[S](=O)(=O)N(C3CCC2=C(C=N[N]2C(C)C)C3)C4CCC5=C(C4)C=N[N]5C(C)C)F,9.218016624450684,9.218016624450684,A0AAJ7MES3,True
5E1B3E341A93E78B_2801E57BED6F2696_6026_UN,CC1=COC(=N1)C2=CC(=C(C=C2)C)[S](=O)(=O)N(C4CCC3=C(C=N[N]3C(C)C)C4)C5CCC6=C(C5)C=N[N]6C(C)C,9.217535018920898,9.217535018920898,A0AAJ7MES3,True
43CAAC6412477581_C4883995D21B5275_6026_UN,CC1=C(C(=CC(=C1)C(C)(C)C)C)[S](=O)(=O)N(C3CCC2=C(C=N[N]2C(C)C)C3)C4CCC5=C(C4)C=N[N]5C(C)C,9.21668815612793,9.21668815612793,A0AAJ7MES3,True
AE71AA406078C8E0_E386D9EB307B6326_6026_UN,CC1=NC(=CS1)C2=CC(=C(C=C2)C)[S](=O)(=O)N(C4CCC3=C(C=N[N]3C(C)C)C4)C5CCC6=C(C5)C=N[N]6C(C)C,9.21645736694336,9.21645736694336,A0AAJ7MES3,True
B04C7593BB2A976C_A44BBC0CAA07B42F_2201_UN,C[S](=O)(=O)C6=CC3=C(CCC4=C(C1=C(SC2=C1CCC(C)C2)N=C34)C5=CC=CO5)NC6=O,9.215497970581055,9.215497970581055,A0AAJ7MES3,True
30F7ED5C42CC3A2A_C66A9C16005695C0_6026_UN,COC1=C(C=C(C(=C1)C)[S](=O)(=O)N(C3CCC2=C(C=N[N]2C(C)C)C3)C4CCC5=C(C4)C=N[N]5C(C)C)Cl,9.214935302734375,9.214935302734375,A0AAJ7MES3,True
CD76281C44012492_32284F2F144FFD5B_6026_UN,CC1=N[N](CC(F)(F)F)C(=C1[S](=O)(=O)N(C3CCC2=C(C=N[N]2C(C)C)C3)C4CCC5=C(C4)C=N[N]5C(C)C)C,9.214112281799316,9.214112281799316,A0AAJ7MES3,True
94860E8D5DE772C9_D5992A8F85666642_6026_UN,CC1=C(C=C(C(=C1)C)[S](=O)(=O)N(C3CCC2=C(C=N[N]2C(C)C)C3)C4CCC5=C(C4)C=N[N]5C(C)C)Br,9.212241172790527,9.212241172790527,A0AAJ7MES3,True
6D09855F781B82F3_898F10F766A1DD67_6031_UN,CCC2=N[N](C1CC[S](=O)(=O)C1)C(=C2C(=O)OCC3=CC(=NC(=N3)[N]4N=C(C)C=C4C)C)Cl,9.211418151855469,9.211418151855469,A0AAJ7MES3,True
ED2A0BB4D09075C5_B2100D630000A1F9_6026_UN,CC1=C(C(=C(C(=C1)C)[S](=O)(=O)N(C3CCC2=C(C=N[N]2C(C)C)C3)C4CCC5=C(C4)C=N[N]5C(C)C)C)F,9.209930419921875,9.209930419921875,A0AAJ7MES3,True
856076E03047C4C1_CAD57CDA81CD8810_6026_UN,C[N]1C=C(C(=N1)C2CC2)[S](=O)(=O)N(C4CCC3=C(C=N[N]3C(C)C)C4)C5CCC6=C(C5)C=N[N]6C(C)C,9.209676742553711,9.209676742553711,A0AAJ7MES3,True
275698B017125622_0B589CCA8ED02098_6026_UN,CC1=C(C=C(C=C1)C(C)(C)C)[S](=O)(=O)N(C3CCC2=C(C=N[N]2C(C)C)C3)C4CCC5=C(C4)C=N[N]5C(C)C,9.209518432617188,9.209518432617188,A0AAJ7MES3,True
9D08AFE89A34ADE2_8135C6AD22CA4520_6041_DP,N2C[C@H]1CN(C[C@H]1C2)C3=NC(=CN=C3)NC(CCCCCCCCCC)C,9.206851959228516,9.206851959228516,A0AAJ7MES3,True
69C7B99964B47E39_9A7DE2AD85FDB74F_6026_UN,CC1=C(C(=CC=C1)C)[S](=O)(=O)N(C3CCC2=C(C=N[N]2C(C)C)C3)C4CCC5=C(C4)C=N[N]5C(C)C,9.206367492675781,9.206367492675781,A0AAJ7MES3,True
75D54213DC83F8EB_CC96E14E17792B57_6031_UN,CC1=N[N](C(=C1C(=O)OCC(C)NC2CCCC2[S](=O)(=O)C)C)C(C)(C)C,9.204360961914062,9.204360961914062,A0AAJ7MES3,True
01078D042C717645_14172D8EAC79B029_6034_UN,CC1=C(C(N(C(=N1)N2CC(CC2)N)CC3CC4CCC(C3)[S]4(=O)=O)=O)C,9.204240798950195,9.204240798950195,A0AAJ7MES3,True
65A695FB230006D6_E10D93D0F732F426_6039_UN,CC(C)[C@H]1CC[C@@H](C)C[C@@H]1OCC(C2=C(C)[N](C(=C2)C)CC(F)(F)F)=O,9.200922966003418,9.200922966003418,A0AAJ7MES3,True
C464FB5B6809D1A6_25A4F5B9C18D65C1_6038_UN,CC[S](=O)(=O)C4=CC=C(CNC(=O)C3CCC1=C(C=NC(=N1)C2CC2)C3)S4,9.200061798095703,9.200061798095703,A0AAJ7MES3,True
F2AAB44B463BCE11_7BA819AD8DAB0AAB_6038_UN,CCOC3CC(OC(=O)C1=NC=CN2CC[S](=O)(=O)N=C12)C3(CC)CC,9.199853897094727,9.199853897094727,A0AAJ7MES3,True
