molecule,smiles,raw_score,weighted_score,protein,is_target
7FFD2EEEFA1742C0_B4EFC43516336E60_6029_UN,CC1=NC(=CS1)C4=CC2=C(CCN(C2)[S](C3=C(C)SC(=C3)B(O)O)(=O)=O)S4,7.665518283843994,7.665518283843994,A0AAX6PFV9,True
7780D1747DC129B1_453185E1220D0A92_6029_UN,COC(=O)C2CCC1=C(I)[N](N=C1C2)[S](C3=C(C)SC(=C3)B(O)O)(=O)=O,7.658653736114502,7.658653736114502,A0AAX6PFV9,True
0226BCC23386067C_FA4803DE5FE94DFC_6029_UN,CC1=N[N](C)C(=C1C2COCCN2[S](C3=C(C)SC(=C3)B(O)O)(=O)=O)C,7.646444320678711,7.646444320678711,A0AAX6PFV9,True
22A4BD673720B91D_189CF765786F94AF_6029_UN,CC1=N[N](C(=C1C2COCCN2[S](C3=C(C)N=C(S3)[S](=O)(=O)OC4=C(C(=C(C(=C4F)F)F)F)F)(=O)=O)C)C5=C(C=CC=C5)F,7.63714075088501,7.63714075088501,A0AAX6PFV9,True
EF47A451D2407BE2_1468D31A1A18384A_6029_UN,COC1CC(CCC1)OC2CN(CC2)[S](C3=C(C)SC(=C3)B(O)O)(=O)=O,7.634191036224365,7.634191036224365,A0AAX6PFV9,True
D6B43D9563F7D9D9_D4C7C53F2E748261_6029_UN,C1CC(CCN1[S](C2=C(C)N=C(S2)[S](=O)(=O)OC3=C(C(=C(C(=C3F)F)F)F)F)(=O)=O)C4=NC(=CC=N4)C5=CN=CN=C5,7.633284568786621,7.633284568786621,A0AAX6PFV9,True
9248C9966745DEEF_D51E180B2FCAE5CB_7019_UN,CC1CCC2=C(C1)SC3=C2C(NC(=N3)C=CC4=C(OC)C=CC(=C4)B(O)O)=O,7.631941795349121,7.631941795349121,A0AAX6PFV9,True
AA943E48E08A178B_CD29F3FC7F0F79EC_2201_UN,CC6=CC2=C(CCC3=C(C1=CC(=CC(=C1)OC)OC)C4=C(N=C23)SC5=C4CCC(C5)C(C)(C)C)[N]6C7=CC(=CC=C7)C(F)(F)F,7.6311116218566895,7.6311116218566895,A0AAX6PFV9,True
BDFF202884CECFE0_941E371E223BC8D4_6029_UN,C1N(CCC(C1)C2=NC(=CC=N2)C3CCOCC3)[S](C4=C(C)SC(=C4)B(O)O)(=O)=O,7.6263604164123535,7.6263604164123535,A0AAX6PFV9,True
DB387E6D77DD8E13_BB040923F6FFB2ED_6028_UN,CC1(CC5=C(CN(C1)[S](C2=NN=C([N]2C)C4=CC3=C(CCC(C3)C(C)(C)C)S4)(=O)=O)C=N[N]5C6=C(C=CC=C6)Cl)C,7.623771667480469,7.623771667480469,A0AAX6PFV9,True
7B6F7E20A652DF09_6948690D5E9D0EF3_6029_UN,CC(C)(C)C1=NC2=C(C=N1)C3CCC(C2)N3[S](C5=C(F)C=C4C(=NC(=NC4=C5F)Cl)Cl)(=O)=O,7.622663497924805,7.622663497924805,A0AAX6PFV9,True
F9F6779458B57DB0_D5E5DA78EF86DDE0_6031_UN,CC1=N[N](C(=C1C(=O)OCC2=NC(=NC=C2)C3CC[S](=O)(=O)C3)C(F)(F)F)C4=C(C=C(C=N4)C(F)(F)F)Cl,7.617809295654297,7.617809295654297,A0AAX6PFV9,True
89C783BA331131CE_6C50DFE9F373763E_2201_UN,FC(F)(F)C1NN=C3C1CCC4=C(C2=CC(=CC(=C2)OC)OC)C5=C(N=C34)SC6=C5CCC(C6)C(C)(C)C,7.615175724029541,7.615175724029541,A0AAX6PFV9,True
9BCE98271B9C7195_6DEA4303ABC1380F_6031_UN,CC1=N[N](C(=C1C(=O)OCC3CCN(C2=CC(=C(C=C2)F)C)C3)C(F)(F)F)C4=C(C=C(C=N4)C(F)(F)F)Cl,7.609462261199951,7.609462261199951,A0AAX6PFV9,True
0F8F9F3050065D3F_1486AD8A28FA6CF5_2201_UN,C[C@]35CC[C@H]1[C@@H](CCC2=C1C=CC(=C2)O)[C@@H]3CC6=C(C4=CC(=CC(=C4)OC)OC)C7=C(N=C56)SC8=C7CCC(C8)C(C)(C)C,7.607741355895996,7.607741355895996,A0AAX6PFV9,True
3C8015A236462CE0_98EDB7C80E7606E1_6031_UN,CC1=N[N](C(=C1C(=O)OCC2=CC(=NC(=N2)[N]3N=C(C)C=C3C)C)C(F)(F)F)C4=C(C=C(C=N4)C(F)(F)F)Cl,7.607400894165039,7.607400894165039,A0AAX6PFV9,True
A5168896CA8A8BC5_FC31EC247C633C63_6003_UN,CC6(C[C@H]5C4=CC[C@H]1[C@@](CC[C@H]2C([C@H](CC[C@]12C)OC3=CC=C(C(CC(F)(F)F)=O)C=C3)(C)C)([C@@]4(CC[C@]5(CC6)C(=O)O)C)C)C,7.603835105895996,7.603835105895996,A0AAX6PFV9,True
F96E8DE96AAC528A_24CCBDD40DD70E65_2201_UN,ClC1=NC3=C(C=C1)CCC4=C(C2=CC(=CC(=C2)OC)OC)C5=C(N=C34)SC6=C5CCC(C6)C(C)(C)C,7.601385593414307,7.601385593414307,A0AAX6PFV9,True
6C1F13E8D23C6CD5_65E5AD5AC525B549_6029_UN,CC1=C(C=CC=N1)OC2CN(CC2)[S](C3=C(C)N=C(S3)[S](=O)(=O)OC4=C(C(=C(C(=C4F)F)F)F)F)(=O)=O,7.599884986877441,7.599884986877441,A0AAX6PFV9,True
5229843F87EC8300_2D19D62248A81AEF_6031_UN,CC1=N[N](C(=C1C(=O)OCC3=NN=C(C2CC2)[N]3C4CC4)C(F)(F)F)C5=C(C=C(C=N5)C(F)(F)F)Cl,7.598936080932617,7.598936080932617,A0AAX6PFV9,True
B5E4D05399ECC1E3_2025AB1D4410A705_6029_UN,C1C(C1)C2=CN=C(C=C2)OC3CN(CCC3)[S](C4=C(C)N=C(S4)[S](=O)(=O)OC5=C(C(=C(C(=C5F)F)F)F)F)(=O)=O,7.598649024963379,7.598649024963379,A0AAX6PFV9,True
