molecule,smiles,raw_score,weighted_score,protein,is_target
AE3A83867A4B2CC1_39A9FF393F059066_7019_UN,C[Si](C)(C)C#CC1=CC(=CC(=C1)C=CC2=NOC3CCCC23)[S](=O)(=O)F,7.8409271240234375,7.8409271240234375,B0M399,True
EA50494F0B2D7612_923177FF0DE0A91E_2201_UN,CCCCCCCCC3CCC4=C(C1=C(SC2=C1CCC(C)C2)N=C34)C5=CC=CC=C5,7.8331217765808105,7.8331217765808105,B0M399,True
D194CE9949DCAE4A_F9BCEA022FCAF308_6041_UN,CC1CCC2=C(C1)SC3=C2C(=NC(=N3)C)NC4=C(C=C(C[S](C)(=O)=O)C=C4)C#N,7.816046237945557,7.816046237945557,B0M399,True
7351FFAACDC831A6_67D18F97DC9071E9_7019_DP,C[Si](C)(C)C#CC1=CC(=CC(=C1)C=CC2=NOC3CNCC23)[S](=O)(=O)F,7.808193683624268,7.808193683624268,B0M399,True
9B892C14D1E6C92B_F1E67BF4C1A88087_6041_UN,CC1CCC2=C(C1)SC3=C2C(=NC(=N3)C)NC4=CC=C(C[S](C)(=O)=O)C=C4,7.80607271194458,7.80607271194458,B0M399,True
3B6E8BDC22D740B9_C0E4F3490912AFEA_6039_UN,O(C[C@@H]1CC[C@H](C1)C2=CC=CC=C2)CCCCCCCCCCCCCCC,7.801111221313477,7.801111221313477,B0M399,True
BCFE402A15DCFC5E_9E492A95C543125C_6026_UN,[S](=O)(=O)(C1=CC=C(S1)C2=CC=C(Br)S2)NC5CCC3=C(C=NC(=N3)C4=CC=CC=C4)C5,7.8001484870910645,7.8001484870910645,B0M399,True
9A3D6CE3A012FB35_313D82D2D48ED686_6041_DP,N2C[C@H]1CN(C[C@H]1C2)C3=NC(=NC=N3)NC(CCCCCCCCCC)C,7.797072410583496,7.797072410583496,B0M399,True
2612F5AD4ACE263F_87AE08CFF7B94299_6026_UN,[S](=O)(=O)(C1=CC=C(S1)C2=CC=C(Br)S2)N(C4CCC3=C(C=N[N]3C(C)C)C4)C5CCC6=C(C5)C=N[N]6C(C)C,7.794597148895264,7.794597148895264,B0M399,True
5AAF04C03AD1EAF5_BF22637E5393C613_6026_UN,[S](=O)(=O)(C1=CSC(=N1)C2=CC(=CC=C2)Br)N(C4CCC3=C(C=N[N]3C(C)C)C4)C5CCC6=C(C5)C=N[N]6C(C)C,7.792628765106201,7.792628765106201,B0M399,True
