molecule,smiles,raw_score,weighted_score,protein,is_target
F14128CEDA670009_375DAB3690304399_2201_UN,C12=NC6=C5C(=C1CC4=C3C2=CC=CC3=CC=C4)CCC5=CC7=C6CCC7,5.71162223815918,-4.283716678619385,F6VWW2,False
97CE25B0B30BEDFA_ABB26BD55C0DF932_2201_DP,N1CCC4(CC1)C2=C6C5=C(N=C2C3=C(C=CC=C3)O4)N=CN=C5NC=C6,5.8754682540893555,-4.406601190567017,F6VWW2,False
97CE25B0B30BEDFA_ABB26BD55C0DF932_2201_DP ,N1CCC4(CC1)C2=C6C5=C(N=C2C3=C(C=CC=C3)O4)N=CN=C5NC=C6,5.8754682540893555,-4.406601190567017,F6VWW2,False
6B96A6A0F0DBFE48_E35E2DFCBDE436AC_6026_UN,ClC2=C1OCCCOC1=CC(=C2)[S](=O)(=O)N3CCCCCCCCCC3,5.971796035766602,-4.478847026824951,F6VWW2,False
5F21B1019299899E_FB2DADB2BC503F09_6039_UN,O(C1=CC=C(C=C1)C2=CC=C(C=C2)C(F)(F)F)CCC3=CC=CC(=C3)F,5.991754055023193,-4.493815541267395,F6VWW2,False
308B6F77D6FDEB97_AB085DE99F184D24_2201_UN,C12=NC6=C5C(=C1COC4=C2C=C3OCOC3=C4)CCC5=CC7=C6CCC7,5.9977874755859375,-4.498340606689453,F6VWW2,False
7115209D6343A91F_7C5F59272A5352B2_2201_UN,C12=NC6=C5C(=C1CC4=C2C=C3OCCOC3=C4)CCC5=CC7=C6CCC7,6.05288028717041,-4.539660215377808,F6VWW2,False
36E8675442E2447D_FC843CA6F7459309_6035_UN,O(CCOCC1=CC=CC=C1)C3=C2[N](C=CN=C2)C(=N3)C4=CC=CC=C4,6.054274559020996,-4.540705919265747,F6VWW2,False
BFDFD52DDAC7769E_7EDEE70552AFBBB0_6034_UN,BrC1=CN(C(C=C1)=O)CC3=NC2=C(C=CC=C2)[N]3CC4=C(C=CC=C4)F,6.092259883880615,-4.569194912910461,F6VWW2,False
4E12F906CA11E92B_FCF932043DB519EB_6026_UN,ClC2=C1OCCCOC1=CC(=C2)[S](=O)(=O)N3CCN(C)CCN(CC3)C,6.09768009185791,-4.573260068893433,F6VWW2,False
090F1C63A5E82794_7096C78A2F3230E4_6041_UN,C1(=CC(=CC=C1)C2=CC=CC=C2)NCCC3=CC(=CC=C3)[S](F)(F)(F)(F)F,6.113788604736328,-4.585341453552246,F6VWW2,False
622547EB8060BEB2_2294CD80CC5AFB5A_6026_UN,ClC2=C(C=C1OCCCOC1=C2)[S](=O)(=O)N3CCCCCCCCCC3,6.1170735359191895,-4.587805151939392,F6VWW2,False
8D0444078869A202_18B94FBC4926BDFC_6038_UN,O(C1=CC=C[N]2C=CN=C12)C(=O)C3=CC=C(O3)C4=CC=C(C=C4)[N](=O)=O,6.164282321929932,-4.623211741447449,F6VWW2,False
1B67D8E0CF59DEE2_7EC05C75240FB85E_6006_UN,O=[N](=O)C1=C(C=CC(=C1)[N]2C=NN=N2)C3=CC(=CC=C3)C4=CC=NC=C4,6.186111927032471,-4.639583945274353,F6VWW2,False
67F59C0DE71607FE_AD6C8E4DC3511913_2201_UN,C13=NC6=C5C(=C1C2(OCCO2)C4=C3C=CC=C4)CCC5=CC7=C6CCC7,6.195759296417236,-4.646819472312927,F6VWW2,False
77715862284A7E69_79746A3F8C11C3DF_2201_UN,C12=NC6=C5C(=C1CCC3=C2SC4=C3C=CC=C4)CCC5=CC7=C6CCC7,6.210279941558838,-4.657709956169128,F6VWW2,False
4CEB1D9C56A9620E_49D24830E15115DC_6003_UN,O(C2=C1C=CC=CC1=C(C=C2)[N](=O)=O)C3=C(C(=CC=C3)N(C)C)[N](=O)=O,6.229905128479004,-4.672428846359253,F6VWW2,False
0A41F356C4AB2FE3_C0CA538064CBC929_2201_DP,N1CC4(C1)C2=C6C5=C(N=C2C3=C(C=CC=C3)O4)C7=C(C=C5CC6)CCC7,6.234035491943359,-4.6755266189575195,F6VWW2,False
A0565D6219BC03EE_750C3FE4CE93EC47_6034_UN,BrC1=CC(=CC=C1)C3=NC2=C(C=CC=C2)N3CCC4=C(C=CC(=C4)F)Br,6.236880302429199,-4.677660226821899,F6VWW2,False
84E517EF9531EACF_1047458F60765900_6034_UN,BrC1=CC(=CC=C1)C3=NC2=C(C=CC=C2)N3CCC4=C(C=CC(=C4)Br)Br,6.236881256103516,-4.677660942077637,F6VWW2,False
A3292EECACF20C94_C107B44B03BFCADF_6026_UN,O=[N](=O)C1=CC(=C(C=C1)Cl)[S](=O)(=O)N(CC2=CC=C(C)C=C2)[S](=O)(=O)Cl,6.264135360717773,-4.69810152053833,F6VWW2,False
7A8A05792DE5A829_0AB900DD5B00BFC6_6039_UN,O(CC12CCC(CC1)CC2)CCOC(C3=CC=CC=C3)C4=CC=CC=C4,6.264784812927246,-4.698588609695435,F6VWW2,False
AB6E491A4F28F104_C8F8AFBB1E389DAC_6034_UN,BrC1=CC(=CC=C1)C3=NC2=C(C=CC=C2)N3CCC4=C(C=C(C=C4)F)F,6.273228645324707,-4.70492148399353,F6VWW2,False
40BDFA2F3B5D31C9_EAFB058C0595A723_6038_UN,N(CC1=CC=C(C=C1)C2=CC=CC=C2)C(=O)C3=CC=C(C=C3)[S](F)(F)(F)(F)F,6.275269031524658,-4.706451773643494,F6VWW2,False
19B52AA951D4DB40_5C1152609844DE6D_6035_UN,O(CCN2CCC1=C(C=CC=C1)C2)C3=CC=C(C=C3)C4=CC=C(C=C4)Br,6.275911331176758,-4.706933498382568,F6VWW2,False
0C739EE659B04559_CEB667D9F6232955_6039_UN,O(CCSCC1=NC=CC=C1)CC4=C2C=CC=CC2=C3C=CC=CC3=N4,6.292658805847168,-4.719494104385376,F6VWW2,False
6A2C4286F80F74EC_E05C635D81F4415E_6036_UN,C1(CCCCCCCCCCC1)N3CCOC2=C(C=C(Br)C=C2)[S]3(=O)=O,6.304012298583984,-4.728009223937988,F6VWW2,False
CC696CF3D6467F18_E3C45FBC8C9F6278_7022_UN,COCCOC1=CC2=C(C=C1)C=C(C=C2)OCC34CCC(C)(CC3)CO4,6.31134557723999,-4.733509182929993,F6VWW2,False
5BAF47594BCFD954_0E9CB244DAAB7C3C_2201_UN,CN(C)CC1=C(C3=C(N=C1C2=CN=CC=C2)C=CC=C3)C4=CC=CC=C4,6.316367149353027,-4.7372753620147705,F6VWW2,False
40C995D481DAEA28_F6EB6679F2A73AA3_6031_UN,COCCOCCOCCCC(=O)OCCOCCOCCOCCCl,6.320596694946289,-4.740447521209717,F6VWW2,False
CB2E05679584617A_D55BE3837777EE79_2201_UN,C12=NC6=C5C(=C1CCC3=C2[NH]C4=C3C=CC=C4)CCC5=CC7=C6CCC7,6.354635715484619,-4.765976786613464,F6VWW2,False
A2AD553DBECA0207_B571D3A65835680B_6031_UN,COCCOCCOCCCC(=O)OCCOCCOCCOCCN,6.355481147766113,-4.766610860824585,F6VWW2,False
E7CAE8F2B724FF6E_02B8112A00AB8D70_6039_UN,O(C1(CCC2(CC1)OCCO2)C3=CC=C(C=C3)F)CC4=CC=CC(=C4)F,6.368472099304199,-4.776354074478149,F6VWW2,False
33B30F1369E0F4D5_23E6FB2D4DAB06A9_7022_UN,C1(=CC=C(C=C1)OCC2=CC=CC=C2)OCCC4=NC3=C(C=CC=C3)S4,6.387948989868164,-4.790961742401123,F6VWW2,False
749C32A009EBB8CA_52E91856698B6042_6041_UN,C1(=NC3=C(C(=N1)C2=CC=CC=C2)C=CC=C3)NC45CCCN(CCC4)C5,6.397426605224609,-4.798069953918457,F6VWW2,False
14C9FDB7D3E789D0_9955C1E8A6138C87_6038_UN,CN(C)C(=O)OCCNC(=O)C1=CC3=C(C=C1)C(=O)C2=C(C=CC=C2)[S]3(=O)=O,6.402004718780518,-4.801503539085388,F6VWW2,False
0F4C10CEAC8D8CA9_ED8E5F1FE1971F88_6026_UN,C[S](=O)(=O)C1=CC(=C(C=C1)F)[S](=O)(=O)NC2=CC=C(C=C2)C3=CC=CC=C3,6.407526016235352,-4.805644512176514,F6VWW2,False
9F22F82B7C7A2475_F1CBBC0C0CD4CBC4_6041_UN,C1(=CC=C(C=C1)N2CCCCC2=O)NC3=C(C=C(C=C3)C4=CC=CO4)F,6.410918235778809,-4.8081886768341064,F6VWW2,False
21C447C985771621_8BF5119151BD076D_6035_UN,O(CC12CCCN(CCC1)C2)C4=C3[N](C=CN=C3)C(=N4)C5=CC=CC=C5,6.411905288696289,-4.808928966522217,F6VWW2,False
B1281C17700A66A0_0AB2C188CE3BBC98_7022_UN,C1(=CC(=CC=C1)C2=CC=C(C=C2)Cl)OC3CCCCCCCCCCC3,6.439505577087402,-4.829629182815552,F6VWW2,False
8B26995B32628E2F_BBF835F9CC141048_6003_UN,O(CC1=CC=C(C=C1)OCCC(F)(F)F)C2=CC=C3C(=C2)CCCC3=O,6.44597053527832,-4.83447790145874,F6VWW2,False
E93F48CC3CB86EAE_5539D98F3349FBCB_6026_DP,[S](=O)(=O)(C2=C1C=CC=C(C1=CC=C2)N=[N]#N)N(CC(OC)=O)CC(=O)O,6.447115898132324,-4.835336923599243,F6VWW2,False
F4E1BF496DB509B5_BE4702EECE6D72D2_6039_UN,CC1=CC(=CC=C1)C(OCC2=CN=C[N]2CC3=CC=CC=C3)C(F)(F)F,6.447771072387695,-4.8358283042907715,F6VWW2,False
