molecule,smiles,raw_score,weighted_score,protein,is_target
1E72E6B22BEDBEA3_1777A65A2E7F0956_6031_DP,OC(=O)CCC(=O)OCCOC(=O)CCC(=O)OCCOCCN,5.302017688751221,-5.302017688751221,F7DYL6,False
F14128CEDA670009_375DAB3690304399_2201_UN,C12=NC6=C5C(=C1CC4=C3C2=CC=CC3=CC=C4)CCC5=CC7=C6CCC7,5.762369155883789,-5.762369155883789,F7DYL6,False
77835BB15FD47438_B503AF94FBB0C64D_6038_UN,CCC1=C(C(C=CO1)=O)OC(=O)CN2C(=O)N(CC=C)C(=O)C2=O,6.108463287353516,-6.108463287353516,F7DYL6,False
63A9CC9CF1D8CA8A_650D4AA8BCA33F28_6038_UN,CCC(OC(=O)CC2(CC(=O)N1CCOCC1)CCCC2)C(=N)N,6.160039901733398,-6.160039901733398,F7DYL6,False
A66E3BCE86D165A5_999629DC0A33C6E0_6039_UN,COC(C)C(OCC(=O)NCCCN1CCCCCC1=O)C(=O)O,6.173902988433838,-6.173902988433838,F7DYL6,False
C129B3EF1556863A_AAFFE354F75F38D0_6038_UN,CC(C)(CNC(=O)CC2(CC(=O)N1CCOCC1)CCCC2)C(=O)N,6.316213607788086,-6.316213607788086,F7DYL6,False
23165CCBE46FA66D_7BF2188A2734A867_2201_UN,C13=NC6=C5C(=C1C2(CCCCC2)OC4=C3C=CC=N4)C=CNC5=NC=N6,6.327017307281494,-6.327017307281494,F7DYL6,False
00009D9A7BE555CB_A5BE9FDBB5A3A9A8_6031_UN,CC(=O)OC15CC(C1)(C(=O)OCC23CC(N)(C2)C4(O3)CCOCC4)C5,6.394862174987793,-6.394862174987793,F7DYL6,False
E4F0E2EC4E6A3493_160300F78CE98830_6038_UN,CC1=NC=C(N=C1)CCNC(=O)CN2C(=O)N(CC=C)C(=O)C2=O,6.4359893798828125,-6.4359893798828125,F7DYL6,False
DF36657955C1A528_C01C0C51E719EEA4_6038_DP,N3CCC[C@@]4(COC(=O)CC2(CC(=O)N1CCOCC1)CCCC2)CCCC[C@H]34,6.479999542236328,-6.479999542236328,F7DYL6,False
E688D73200839B8A_23A3348979615A46_6038_UN,CC(=O)OCCC1=CC(=CC=C1)NC(=O)CN2C(=O)N(CC=C)C(=O)C2=O,6.495429992675781,-6.495429992675781,F7DYL6,False
41D8D18659D9725A_82539D4B254FA0DD_6038_DP,CC12CCC(CNC(CCC(OCCOC(CCC(O)=O)=O)=O)=O)(CC1)OC2,6.497927665710449,-6.497927665710449,F7DYL6,False
0000CC1787C5160B_EC45257D49689B7B_6038_UN,C[C@H]2[C@H](NC(CN1C=C(C(N)=O)C(NC1=O)=O)=O)C(=O)N2[S](=O)(=O)O,6.5703630447387695,-6.5703630447387695,F7DYL6,False
6F45DECDCE5CBFDE_89DF442817D0FF44_6031_UN,O(C(=O)C1=CC(=C(Cl)O1)[S](=O)(=O)Cl)CC2=CC3=C(N=C2)C=CC=C3,6.572054862976074,-6.572054862976074,F7DYL6,False
09584B5320BCEAD5_1958809720E18FD7_7009_UN,C[N]1C=C(C=C1C(=O)C(=O)N)[S](=O)(=O)NC([C@H](CCSC)NC(=O)C)=O,6.5728068351745605,-6.5728068351745605,F7DYL6,False
