molecule,smiles,raw_score,weighted_score,protein,is_target
3E688D2FAE9699A2_E1E6B6927123FB64_2201_DP,N1CC4(C1)C2=C6C5=C(N=C2C3=C(C=CC=C3)O4)N=CN=C5NC=C6,4.720910549163818,-4.720910549163818,M3VXG8,False
CDA00902ECEEE733_553BDDE1C39831F6_2201_DP,N1CCC4(C1)C2=C6C5=C(N=C2C3=C(C=CC=C3)O4)N=CN=C5NC=C6,4.7364606857299805,-4.7364606857299805,M3VXG8,False
AE01926D2050A62C_6A78672B38CCA386_2201_UN,C13=NC5=C4C(=C1C2(CCCCC2)OC=C3)CCC4=CC6=C5CCC6,4.866329193115234,-4.866329193115234,M3VXG8,False
94E586FE13A57AFE_C7C6A3D7613E0773_2201_UN,C13=NC5=C4C(=C1C2(CCOCC2)OC=C3)CCC4=CC6=C5CCC6,5.103471755981445,-5.103471755981445,M3VXG8,False
5F94EDBA81E78415_F26B57561231C9C0_2201_UN,C13=NC6=C5C(=C1CCC24OCCC2CC34)CCC5=CC7=C6CCC7,5.241713523864746,-5.241713523864746,M3VXG8,False
9EBF8E54131FB00C_FBC9C487AEA1CEA1_2201_DP,N6CCCC1(CCCC2=C4C3=C(N=C12)C5=C(C=C3CC4)CCC5)C6,5.356118679046631,-5.356118679046631,M3VXG8,False
F14128CEDA670009_375DAB3690304399_2201_UN,C12=NC6=C5C(=C1CC4=C3C2=CC=CC3=CC=C4)CCC5=CC7=C6CCC7,5.358514785766602,-5.358514785766602,M3VXG8,False
FA7C3D7183370F49_454E3DCEBD59D871_6038_UN,COC(=O)CSSCCOC(=O)CN1C(=O)N(CC=C)C(=O)C1=O,5.422694206237793,-5.422694206237793,M3VXG8,False
CC295C54159CFA42_ACD19ECF5C849B37_2201_UN,C12=NC6=C5C(=C1[C@@H]3C[C@H]2CC34OCCO4)CCC5=CC7=C6CCC7,5.454392433166504,-5.454392433166504,M3VXG8,False
FC3FE1BC5981B062_8C406B5FD6B92B5E_2201_UN,C13=NC6=C5C(=C1C2(OCCO2)C4=C3C=CC=C4)C=CNC5=NC=N6,5.4547834396362305,-5.4547834396362305,M3VXG8,False
DA492A2DAFF80F6F_16714E2485D871D4_2201_UN,C12=NC6=C5C(=C1CC4=C3C2=CC=CC3=CC=C4)C=CNC5=NC=N6,5.478405475616455,-5.478405475616455,M3VXG8,False
1431E117A16CC8CB_5DE03351249F5FDB_6031_DP,OC(=O)C1(CC2CCC1C2)C(=O)OCC34CC(CN)(OC3)CCC4,5.498584747314453,-5.498584747314453,M3VXG8,False
E38E781B88DA075D_A311C52E8EDFB9A6_6031_UN,CCN2CCN(CC(=O)OCCN1CCCCCC1=O)C(=O)C2=O,5.5267653465271,-5.5267653465271,M3VXG8,False
B12F0D07B7E1C7ED_C2A173E4C67E72F2_6038_UN,COC(=O)C2CCN(CCOC(=O)CCN1CCCCCC1)CC2,5.545224189758301,-5.545224189758301,M3VXG8,False
1E72E6B22BEDBEA3_1777A65A2E7F0956_6031_DP,OC(=O)CCC(=O)OCCOC(=O)CCC(=O)OCCOCCN,5.5457611083984375,-5.5457611083984375,M3VXG8,False
97238C2EA2694A78_BE6FC30F35635A57_6031_UN,O(C(=O)CN1CCCCC(=O)C1=O)CCCN2CCCCCCC2,5.545866012573242,-5.545866012573242,M3VXG8,False
79D0656C336C1F6C_C98180AC8B11F1C5_6034_UN,O=C1CC3(CC(=O)N1CCOC2(CN)CCCC2)CCCCCC3,5.557444095611572,-5.557444095611572,M3VXG8,False
754AB6D4EAB42867_25EF5FC02A3CA2F4_6031_UN,O(C(=O)CN1CCCCC(=O)C1=O)CCOC2(CN)CCCCC2,5.566089630126953,-5.566089630126953,M3VXG8,False
5E1A40608AB02F53_16F0231D8B0F5225_6031_DP,NC1(CCC2(CC1)OCCO2)C(=O)OCCOC3(CN)CCOC3,5.566540718078613,-5.566540718078613,M3VXG8,False
A7B7BD20E5FD473A_339B8F5F6F509DB5_6031_UN,O(C(=O)CC1C2CCCC1CNC2)CC34CC(CN)(OC3)CCC4,5.568406105041504,-5.568406105041504,M3VXG8,False
7A0EE5A3D474DA06_DBD712B4D1881EB7_6031_UN,CCN2CCN(CC(=O)OCC1(N)CCCCCCC1)C(=O)C2=O,5.579907417297363,-5.579907417297363,M3VXG8,False
