molecule,smiles,raw_score,weighted_score,protein,is_target
E871D041C9D21D6E_3F38ABBCA56EE55F_7019_UN,CC1CCC2=C(C1)SC3=C2C(NC(=N3)C=CC4=CC=CC(=C4)B(O)O)=O,8.456574440002441,8.456574440002441,P09318,True
EBF285FFB55BD928_10D4697D8B233BBD_6026_UN,FC1=C(C=CC(=C1)C2CC2)[S](=O)(=O)N(C4CCC3=C(C=N[N]3C(C)C)C4)C5CCC6=C(C5)C=N[N]6C(C)C,8.455405235290527,8.455405235290527,P09318,True
2612F5AD4ACE263F_87AE08CFF7B94299_6026_UN,[S](=O)(=O)(C1=CC=C(S1)C2=CC=C(Br)S2)N(C4CCC3=C(C=N[N]3C(C)C)C4)C5CCC6=C(C5)C=N[N]6C(C)C,8.449974060058594,8.449974060058594,P09318,True
4E07524B8D6ED530_972E8A0121398A00_7019_UN,CC1CCC2=C(C1)SC3=C2C(NC(=N3)C=CC4=C(B(O)O)C=CC=C4F)=O,8.44603157043457,8.44603157043457,P09318,True
5AAF04C03AD1EAF5_BF22637E5393C613_6026_UN,[S](=O)(=O)(C1=CSC(=N1)C2=CC(=CC=C2)Br)N(C4CCC3=C(C=N[N]3C(C)C)C4)C5CCC6=C(C5)C=N[N]6C(C)C,8.445554733276367,8.445554733276367,P09318,True
1C41D6350BB6B26A_850BE3F16A691A82_6026_UN,CC1=C(C(=C(C(=C1)Cl)C)[S](=O)(=O)N(C3CCC2=C(C=N[N]2C(C)C)C3)C4CCC5=C(C4)C=N[N]5C(C)C)Cl,8.444367408752441,8.444367408752441,P09318,True
7A2D77F04ED1BBD0_596987D77A26E78F_6026_UN,[S](=O)(=O)(C1=CSC(=N1)C2=CC=C(C=C2)Br)N(C4CCC3=C(C=N[N]3C(C)C)C4)C5CCC6=C(C5)C=N[N]6C(C)C,8.444219589233398,8.444219589233398,P09318,True
9237E85C8938FD6A_339163CA871BCB40_6026_UN,CC1=CC(=C(C(=C1)C)[S](=O)(=O)N(C3CCC2=C(C=N[N]2C(C)C)C3)C4CCC5=C(C4)C=N[N]5C(C)C)F,8.443887710571289,8.443887710571289,P09318,True
4BC37904554546F0_3E980C64928C9D85_7019_UN,CC1CCC2=C(C1)SC3=C2C(NC(=N3)C=CC4=C(C=C(B(O)O)C=C4)F)=O,8.443633079528809,8.443633079528809,P09318,True
9248C9966745DEEF_D51E180B2FCAE5CB_7019_UN,CC1CCC2=C(C1)SC3=C2C(NC(=N3)C=CC4=C(OC)C=CC(=C4)B(O)O)=O,8.441043853759766,8.441043853759766,P09318,True
94860E8D5DE772C9_D5992A8F85666642_6026_UN,CC1=C(C=C(C(=C1)C)[S](=O)(=O)N(C3CCC2=C(C=N[N]2C(C)C)C3)C4CCC5=C(C4)C=N[N]5C(C)C)Br,8.438806533813477,8.438806533813477,P09318,True
A5AD7CA19BD1CA0C_BB9A775F9095FD2A_6026_UN,FC1=C(C=C(C(=C1)C2=N[NH]C=C2[S](=O)(=O)N(C4CCC3=C(C=N[N]3C(C)C)C4)C5CCC6=C(C5)C=N[N]6C(C)C)Cl)Cl,8.429971694946289,8.429971694946289,P09318,True
5E1B3E341A93E78B_2801E57BED6F2696_6026_UN,CC1=COC(=N1)C2=CC(=C(C=C2)C)[S](=O)(=O)N(C4CCC3=C(C=N[N]3C(C)C)C4)C5CCC6=C(C5)C=N[N]6C(C)C,8.428746223449707,8.428746223449707,P09318,True
AE71AA406078C8E0_E386D9EB307B6326_6026_UN,CC1=NC(=CS1)C2=CC(=C(C=C2)C)[S](=O)(=O)N(C4CCC3=C(C=N[N]3C(C)C)C4)C5CCC6=C(C5)C=N[N]6C(C)C,8.428592681884766,8.428592681884766,P09318,True
