molecule,smiles,raw_score,weighted_score,protein,is_target
9D9132E20108A006_0A472DB3D98D9671_6029_UN,CC3(C)CN(C1CCN(C1)[S](C2=C(C(=C(F)C(=C2F)F)F)F)(=O)=O)C3=O,7.994715690612793,7.994715690612793,Q08076,True
1C06FBB0558C09EC_969270EC33CDAEEA_6038_DP,N6C[C@@H](NC(=O)C4C1C2CC5C3CC(C1C23)C45)[C@H](C6)[N]7C=CC=N7,7.793280601501465,7.793280601501465,Q08076,True
CBA173F0C61C166B_2420A4E972792A61_7019_UN,CC1CCC2=C(C1)SC3=C2C(N=C(N3)C=CC4CC5CCC4O5)=N,7.690780162811279,7.690780162811279,Q08076,True
5436B83E5132964E_CD51683090879857_6038_UN,CC(NC(=O)C1CCC(O1)C2CCCO2)C35CC4CC(CC(C3)C4)C5,7.585308074951172,7.585308074951172,Q08076,True
B47E7EEA8C548F3F_B12C81C9951440A2_6041_UN,OC(=O)C1=C(C=C(C(=C1)NC2=C(C(OCC)=O)SC(=C2)C3=CC(=C(C(=C3)OC)OC)OC)F)F,7.568355560302734,7.568355560302734,Q08076,True
1835CB8BC030A498_CA50189A41A74BEB_6039_UN,O([C@H]1C[C@@H](C1)C2=C(C=CC=C2)F)CC3=NC4=C(S3)C(C)(C)CC(C)(C)C4,7.505734443664551,7.505734443664551,Q08076,True
99C728668255F7D0_7654271AC8AEE3F4_2238_UN,N4C2C3C1=C(C=CC(=C1CC23)Br)C46C5=C(C=C(B(O)O)C=C5)NC6=O,7.500367641448975,7.500367641448975,Q08076,True
9A33783EC7672F90_44048E69546737D5_2238_UN,N4C2C3C1=C(C=CC(=C1CC23)Cl)C46C5=C(C=C(B(O)O)C=C5)NC6=O,7.500366687774658,7.500366687774658,Q08076,True
00D977978614C062_82E4D9F08CD219A3_6038_UN,CC1(C)CCC(F)C1OC(COC2=C(C=C([S](N)(=O)=O)C=C2)F)=O,7.49500036239624,7.49500036239624,Q08076,True
FFCCD503986F37F6_0B9A519C97B85F30_6038_UN,CC(C)C(CNC([C@@H]1CCO[C@H]1C2=CC=N[N]2C(C)C)=O)N(C)C,7.4079179763793945,7.4079179763793945,Q08076,True
4F6B978185DAA567_DC9D43C8959C8C9D_6038_UN,C[C@H](NC(C=CC1=CN=C(OC)N=C1)=O)C2C3=C(CCC2)C=CC=C3,7.3753743171691895,7.3753743171691895,Q08076,True
FB152CA1B5D4C72C_C1C7FAD2102525E6_6038_UN,CCC1CCCCC1NC(=O)C2=NOC(=C2)C3=C(C=CC=C3)[N](=O)=O,7.366946220397949,7.366946220397949,Q08076,True
3D236D76E79A9E1C_C9B047A8E814A88D_6041_UN,OC(=O)C1=CSN=C1NC4(C2=NC(=C(C)S2)C3=C(C=CC=C3)F)CCC4,7.361180305480957,7.361180305480957,Q08076,True
933181E096A959ED_CB86A325F6A2BB8A_6038_UN,N(C1C2CCC(C1)CC2)C(=O)C3CCCCN3C(=O)C4CCCC4,7.322107791900635,7.322107791900635,Q08076,True
0FA95F56158A78A3_0DFF384EB198AF6F_6038_UN,O([C@@H]1C[C@H](C1)[N]2N=CN=C2)C(=O)[C@@H]3C[C@@H](CN3C(=O)OCC5C4=C(C=CC=C4)C6=C5C=CC=C6)OC7=CC=NC=C7,7.322101593017578,7.322101593017578,Q08076,True
94CBC06D734C214C_8C786B298DB6F4C7_6038_DP,N4CCC3CC(NC(=O)C1CCNC(C1)C2CCCO2)CCC3C4,7.307912349700928,7.307912349700928,Q08076,True
CF29BA1F04D0E20E_C7E29BDF915CD3DC_6038_DP,N4CCC3CC(NC(=O)C(C1CCCC1)C2CCCC2)CCC3C4,7.306159019470215,7.306159019470215,Q08076,True
7CC3923653CC78BE_297DAE78C6AE1DED_6038_UN,COC(C)COC(=O)C1=N[N](C2=C1CCCCC2)C3=CC=C(C=C3)F,7.2975897789001465,7.2975897789001465,Q08076,True
3954C530014D3015_77844FEB89A4DCA6_7019_UN,CC(C)C(=O)N(C)C=CC1=C([N](N=C1C(C)C)C)N2CCOCC2,7.296951770782471,7.296951770782471,Q08076,True
ED6B53C6FC90BAE1_080BB07807E89B89_6038_DP,C[N]1N=CC=C1C(NC(=O)C5C2C3CC6C4CC(C2C34)C56)C(=O)O,7.272987365722656,7.272987365722656,Q08076,True
A129FBC19D539E5B_D4D43DD5870F7B2F_6029_UN,N(CC1=CC(=CC=C1)C(F)(F)F)[S](C3=CC=C([S](N2CCN(C(CCC(O)=O)=O)CC2)(=O)=O)S3)(=O)=O,7.26235294342041,7.26235294342041,Q08076,True
7BAF546FBB4485C8_EC3191576CCBBC68_6038_DP,N4CCC3CC(NC(=O)C1CCCCC1C2CCCO2)CCC3C4,7.238141059875488,7.238141059875488,Q08076,True
E9B99041991932AF_DE2761DF9352246B_6041_UN,C1(=NC=C(N=C1)C2=NC=CC=N2)NC4C3C5CC6C3CC7C4C5C67,7.214716911315918,7.214716911315918,Q08076,True
DEB26F55697953F1_FCF5D4906E234082_6038_UN,COC(=O)[C@]5(C[C@@H](OC(=O)C1=C(N=CC=C1)SC3=C2C4=C(SC2=NC=N3)CCC4)C5)C6=CC=CC=C6,7.214641571044922,7.214641571044922,Q08076,True
E4514914D3AC1CA2_18C8CF7EAE91625C_6038_DP,N1CCC(CC1)[C@@H]2OCC[C@H]2NC(=O)C4CCC3CCCCC3N4,7.206733703613281,7.206733703613281,Q08076,True
760533ADA4CD7B2C_F3B3A51048D2C9CD_6026_UN,CCOC(=O)C1=CC(=CC(=C1)COC)[S](=O)(=O)N3CC2(COCCC2)OCC3,7.202666759490967,7.202666759490967,Q08076,True
