molecule,smiles,raw_score,weighted_score,protein,is_target
F14128CEDA670009_375DAB3690304399_2201_UN,C12=NC6=C5C(=C1CC4=C3C2=CC=CC3=CC=C4)CCC5=CC7=C6CCC7,5.511166572570801,-4.133374929428101,W5VMG1,False
7115209D6343A91F_7C5F59272A5352B2_2201_UN,C12=NC6=C5C(=C1CC4=C2C=C3OCCOC3=C4)CCC5=CC7=C6CCC7,5.891131401062012,-4.418348550796509,W5VMG1,False
308B6F77D6FDEB97_AB085DE99F184D24_2201_UN,C12=NC6=C5C(=C1COC4=C2C=C3OCOC3=C4)CCC5=CC7=C6CCC7,5.904568195343018,-4.428426146507263,W5VMG1,False
97CE25B0B30BEDFA_ABB26BD55C0DF932_2201_DP,N1CCC4(CC1)C2=C6C5=C(N=C2C3=C(C=CC=C3)O4)N=CN=C5NC=C6,5.935127258300781,-4.451345443725586,W5VMG1,False
97CE25B0B30BEDFA_ABB26BD55C0DF932_2201_DP ,N1CCC4(CC1)C2=C6C5=C(N=C2C3=C(C=CC=C3)O4)N=CN=C5NC=C6,5.935127258300781,-4.451345443725586,W5VMG1,False
67F59C0DE71607FE_AD6C8E4DC3511913_2201_UN,C13=NC6=C5C(=C1C2(OCCO2)C4=C3C=CC=C4)CCC5=CC7=C6CCC7,5.938007831573486,-4.453505873680115,W5VMG1,False
0A41F356C4AB2FE3_C0CA538064CBC929_2201_DP,N1CC4(C1)C2=C6C5=C(N=C2C3=C(C=CC=C3)O4)C7=C(C=C5CC6)CCC7,5.973990440368652,-4.480492830276489,W5VMG1,False
77715862284A7E69_79746A3F8C11C3DF_2201_UN,C12=NC6=C5C(=C1CCC3=C2SC4=C3C=CC=C4)CCC5=CC7=C6CCC7,6.012974739074707,-4.50973105430603,W5VMG1,False
CB2E05679584617A_D55BE3837777EE79_2201_UN,C12=NC6=C5C(=C1CCC3=C2[NH]C4=C3C=CC=C4)CCC5=CC7=C6CCC7,6.089346408843994,-4.567009806632996,W5VMG1,False
8BD4DDA37BBED0B7_79D804A36C1FEF1A_2201_UN,C13=NC6=C5C(=C1C2(CCC2)OC4=C3C=CC=C4)CCC5=CC7=C6CCC7,6.182513236999512,-4.636884927749634,W5VMG1,False
155A1BA03C4A8BD3_454433DB2F6676EC_2201_UN,C13=NC6=C5C(=C1C2(CCOCC2)OC4=C3C=CC=C4)C=CNC5=NC=N6,6.389065742492676,-4.791799306869507,W5VMG1,False
DB354B44DB1A5439_E9D01375A25C2409_2201_UN,C12=NC6=C5C(=C1CCOC4=C2C=C3CCCCC3=C4)C=CNC5=NC=N6,6.456995010375977,-4.842746257781982,W5VMG1,False
4FAC504CCD5C6297_9472AD3C4A1E03EB_2201_UN,C13=NC6=C5C(=C1C2(CCCCC2)OC4=C3C=CC=C4)C=CNC5=NC=N6,6.467044830322266,-4.850283622741699,W5VMG1,False
737EC9D004225919_110260BD30F8134E_2201_UN,C13=NC6=C5C(=C1C2(CCOCC2)OC4=C3C=CC=N4)C=CNC5=NC=N6,6.538896560668945,-4.904172420501709,W5VMG1,False
23165CCBE46FA66D_7BF2188A2734A867_2201_UN,C13=NC6=C5C(=C1C2(CCCCC2)OC4=C3C=CC=N4)C=CNC5=NC=N6,6.5484938621521,-4.911370396614075,W5VMG1,False
23165CCBE46FA66D_7BF2188A2734A867_2201_UN ,C13=NC6=C5C(=C1C2(CCCCC2)OC4=C3C=CC=N4)C=CNC5=NC=N6,6.5484938621521,-4.911370396614075,W5VMG1,False
F023B60CBDCE251D_08395D6E4F285E64_2201_UN,C12=NC6=C5C(=C1C4(OC3=C2C=CC=C3)CNCCC4)C=CNC5=NC=N6,6.555721282958984,-4.916790962219238,W5VMG1,False
97CE25B0B30BEDFA_03F91D1F50D0676E_2201_UN,C12=NC6=C5C(=C1C4(OC3=C2C=CC=C3)CCNCC4)C=CNC5=NC=N6,6.603791236877441,-4.952843427658081,W5VMG1,False
4CEB1D9C56A9620E_49D24830E15115DC_6003_UN,O(C2=C1C=CC=CC1=C(C=C2)[N](=O)=O)C3=C(C(=CC=C3)N(C)C)[N](=O)=O,6.881268501281738,-5.160951375961304,W5VMG1,False
1B67D8E0CF59DEE2_7EC05C75240FB85E_6006_UN,O=[N](=O)C1=C(C=CC(=C1)[N]2C=NN=N2)C3=CC(=CC=C3)C4=CC=NC=C4,7.001497745513916,-5.251123309135437,W5VMG1,False
A2AD553DBECA0207_B571D3A65835680B_6031_UN,COCCOCCOCCCC(=O)OCCOCCOCCOCCN,7.027254104614258,-5.270440578460693,W5VMG1,False
D9A85D806D1E85AD_AE6E406AAE69D5C9_6038_UN,CC1=CC(=CC=C1)C(OC(=O)C23CCCN(CCC2)C3)C4=CC=CC=C4,7.049736976623535,-5.287302732467651,W5VMG1,False
A700F9A3757B798F_FA973189D809814E_6038_UN,CC1=CC=C(C=C1)C(OC(=O)C23CCCN(CCC2)C3)C4=CC=CC=C4,7.050847053527832,-5.288135290145874,W5VMG1,False
A3292EECACF20C94_C107B44B03BFCADF_6026_UN,O=[N](=O)C1=CC(=C(C=C1)Cl)[S](=O)(=O)N(CC2=CC=C(C)C=C2)[S](=O)(=O)Cl,7.0754594802856445,-5.306594610214233,W5VMG1,False
531D9A6E84A64E86_2FBA68A4A7F58CF3_6041_UN,C2(=C1C=NC=NC1=CC=N2)NC3=C(C=C(C=C3)C4=CC=NC=C4)[N](=O)=O,7.088829517364502,-5.3166221380233765,W5VMG1,False
8D0444078869A202_18B94FBC4926BDFC_6038_UN,O(C1=CC=C[N]2C=CN=C12)C(=O)C3=CC=C(O3)C4=CC=C(C=C4)[N](=O)=O,7.098264694213867,-5.3236985206604,W5VMG1,False
B8B8167321612B42_79E2D69E8A2CA242_7022_UN,C[N]1C=CC2=C1C(=CC=C2)N(C(C)=O)N(C(=O)C3=CC=CC=C3)C4=CC=CC=C4,7.111466407775879,-5.333599805831909,W5VMG1,False
22A1A4B18D9AD038_B184A6EBF915A893_7013_UN,N2=C(C1=CC(=CC(=C1)[N](=O)=O)[N](=O)=O)[N](C3=C2C=C(C=C3)[N](=O)=O)C4=CC=C(C=C4)F,7.11789608001709,-5.338422060012817,W5VMG1,False
41DB8570032F088B_9FE5AD60BF3346FE_6026_UN,COC1=CC(=C(C=C1)[S](=O)(=O)N(C)C2=C(C(=CC(=C2)F)Br)[N](=O)=O)OC,7.133502960205078,-5.350127220153809,W5VMG1,False
40C995D481DAEA28_F6EB6679F2A73AA3_6031_UN,COCCOCCOCCCC(=O)OCCOCCOCCOCCCl,7.1398115158081055,-5.354858636856079,W5VMG1,False
CE61FE19AB985140_0B5BA1CB4AAA8903_6031_UN,CCOC1=C(C=C(C(=C1)N)C(=O)OC2=CN(C)C(=CC2=O)CN)OCC,7.1470184326171875,-5.360263824462891,W5VMG1,False
6BAAB78A6D1840A8_9EB07BC1A9E8F27D_6026_UN,C[S](=O)(=O)C1=CC(=C(C=C1)F)[S](=O)(=O)N(C)C2=C(C=C(C=C2)I)[N](=O)=O,7.169327735900879,-5.376995801925659,W5VMG1,False
34853D1CD5BF9139_99B603C0DB54B591_6038_UN,N(C1=CC(=NC=C1)[N]2C=CC=N2)C(=O)C3=CC=C(O3)C4=CC=C(C=C4)[N](=O)=O,7.183154106140137,-5.3873655796051025,W5VMG1,False
1B770B8BFB906F92_37FB10AED307C672_6026_UN,O=[N](=O)C1=C(C=C(C=C1)[S](=O)(=O)N([S](C2=C(C=CC(=C2)[N](=O)=O)Cl)(=O)=O)C3=CC=C(C=C3)Cl)Br,7.1975812911987305,-5.398185968399048,W5VMG1,False
4397BA2C970FD974_A35FB3C956D8D9FD_6038_UN,CN(C)C(=O)OCCNC(=O)C3=CN(C1C2CCN(C1)CC2)C(=O)NC3=O,7.198643684387207,-5.398982763290405,W5VMG1,False
84B0BCFC428EBFFE_192E70414E10AEAE_6041_UN,O=[N](=O)C1=C(C=C(C(=C1)[N](=O)=O)NC2=C(C(=C(C=C2F)F)F)[N](=O)=O)F,7.198757171630859,-5.3990678787231445,W5VMG1,False
E688D73200839B8A_23A3348979615A46_6038_UN,CC(=O)OCCC1=CC(=CC=C1)NC(=O)CN2C(=O)N(CC=C)C(=O)C2=O,7.2218017578125,-5.416351318359375,W5VMG1,False
12191AD007AF6AA6_AAF7E5817345CCC3_6041_UN,C1(=CC=C(C=C1)N2N=NNC2=S)NC3=C[N](N=C3)C4=C(C=CC=C4F)F,7.2334113121032715,-5.425058484077454,W5VMG1,False
4FE16B801F06D97F_5FEA45A0A4302D47_6038_UN,CC1=CC=C(C=C1)C(OC(=O)CC2CN3CCN2CC3)C4=CC=CC=C4,7.234314918518066,-5.42573618888855,W5VMG1,False
