molecule,smiles,target_affinity,antitarget_affinity,weighted_score
8DC9AD4DCF28605D_85C5AD4B43253101_6027_UN,C3C[C@H]2CN(CC1=C(C=CC=N1)N2C3)[S](=O)(=O)C4=CC5=C(C=C4)N=C([NH]5)C6=CC=CC=C6,6.702863693237305,7.340778470039368,1.197279840707779
133C5CF6403A2104_1E9945ADA9F27F6C_2267_UN,CC1=NC5=C(C=C1)C=C(C#CC2=CC3=C(C=C2)C4=C(C3)C=CC=C4)C=C5,6.423890590667725,6.979177117347717,1.1895077526569366
45E5A295BF283519_94A061AE67291269_7015_UN,C1N(CC2C1C3COCC23)[S](=O)(=O)C4=CC5=C(C=C4)N=C([NH]5)C6=CC=CC=C6,6.724737644195557,7.384566307067871,1.1863129138946533
633E2D8C7F8AC454_9ACFAA2A30ADCD4F_6005_UN,ClC2=C1C=CC(=CC1=NC=C2C#N)C3=CC4=C(C=C3)CC5=C4C=CC=C5,6.457876205444336,7.064665794372559,1.159376859664917
E72991BD0F374E35_4C238E706F3694E1_6026_UN,[S](=O)(=O)(C1=CC2=C(C=C1)C3=C(C2)C=CC=C3)NC6CCC4=C(C=NC(=N4)C5=CC=CC=C5)C6,6.7124104499816895,7.4191824197769165,1.148023635149002
4E7743D237D887E0_91B133B13FDB2F14_6005_UN,ClC2=C1C(=CC=CC1=NC=C2C#N)C3=CC4=C(C=C3)CC5=C4C=CC=C5,6.42507266998291,7.0379180908203125,1.1466341018676758
250583312C10D9E8_CD63B0DC481B2B98_7015_UN,N(C3CCC1=C(C=NC(=N1)C2=CC=CC=C2)C3)[S](=O)(=O)C4=CC5=C(C=C4)N=C([NH]5)C6=CC=CC=C6,6.725375652313232,7.448115706443787,1.1392888724803925
FEC6980759A0CD54_8B4D75DA2531F28F_2201_UN,C12=NC4=C(C(=C1CCC3=C2C=CC(=C3)C#N)C)C=NC5=C4C=C(C=C5)Br,6.295034885406494,6.880173563957214,1.1349047124385834
5EA4BE8E1F1A7D92_119C130E0D212458_2201_UN,C12=NC4=C(C(=C1CCC3=C2N=CC(=C3)C#N)C)C=NC5=C4C=C(C=C5)Br,6.292407035827637,6.885185480117798,1.1285179257392883
16E05FFCF111AE62_B8C101E617F4E10E_7015_UN,C2C[N]1C=CC=C1CN(C2)[S](=O)(=O)C3=CC4=C(C=C3)N=C([NH]4)C5=CC=CC=C5,6.291360855102539,6.885966897010803,1.1268856823444366
D0EF39F234BFCD80_F11872211DF72E13_2201_UN,ClC1=CC2=C(C=C1)[NH]C5=C2CCC6=C3C=CN(C)C4=C3C(=NC=N4)N=C56,6.291090965270996,6.886205077171326,1.1264371573925018
20D53EB7218D27E8_26929D2ACF4BFC1A_2201_UN,BrC1=CC2=C(C=C1)[NH]C5=C2CCC6=C3C=CN(C)C4=C3C(=NC=N4)N=C56,6.291090488433838,6.886205077171326,1.1264366805553436
69CED617B4FB352E_34E5AA1898EF65E2_6026_UN,[S](=O)(=O)(C1=C(C#N)SC2=C1C=CC=C2)NC5CCC3=C(C=NC(=N3)C4=CC=CC=C4)C5,6.768523216247559,7.5263224840164185,1.1237813532352448
3F26FE71C18DE41A_A72004A788503DF9_6026_UN,[S](=O)(=O)(C2=C[N]1N=CC(=C1N=C2)C#N)NC5CCC3=C(C=NC(=N3)C4=CC=CC=C4)C5,6.783769607543945,7.547149658203125,1.1234073638916016
31EDA9B364283D51_AB7AA553609A29CA_2201_UN,C12=NC5=C4C(=C1CCCC3=C2C=CC(=C3)C#N)CCC4=CC6=C5CCC6,6.049419403076172,6.581543326377869,1.1132619082927704
AB3898B3DABD1187_17A20C8D0E2E0E19_6026_UN,[S](=O)(=O)(C2=CC1=C(C(=CN=C1)Br)S2)NC5CCC3=C(C=NC(=N3)C4=CC=CC=C4)C5,6.772613525390625,7.551279187202454,1.1091541349887848
B61D25D96AB8C3DC_E591A6E865DB8864_2201_UN,ClC3=C(C=C2C1=NC5=C4C(=C1CCC2=N3)CCC4=CC6=C5CCC6)C#N,6.237398624420166,6.840392589569092,1.1071041822433472
34F581C584D17FA7_53472B4A2E391AE9_6027_UN,N(C2CCC1OCCC1C2)[S](=O)(=O)C3=CC4=C(C=C3)N=C([NH]4)C5=CC=CC=C5,6.649968147277832,7.405551791191101,1.0958043038845062
228ED6C1A90EABB2_D99048C1F0C916FF_7015_UN,C3CCC2N(C1=C(C=CC=C1)CC2C3)[S](=O)(=O)C5=C4C=CN=CC4=CC=C5,6.238529205322266,6.861722230911255,1.0922375321388245
36B84EE4C46635A2_85D60956896BC358_2201_UN,ClC2=C1[NH]C5=C(C1=CC=C2)CCC6=C3C=CN(C)C4=C3C(=NC=N4)N=C56,6.1312150955200195,6.720678687095642,1.090706080198288
481F58A2E2361051_A8605DF910CBED84_2201_UN,CCCCCCCCC1CCC2=C(C3=C(N=C12)SC4=C3CCC4)C5CC5,6.32501220703125,6.985874056816101,1.0856066644191742
76FBC64C50DA43F4_08B4A8045453F479_2201_UN,C12=NC5=C(C(=C1CC4C3=C(C=CC=C23)NC4)C)C=NC6=C5C=C(C=C6)Br,6.183738708496094,6.799249053001404,1.084301918745041
0AD716B3558DFDDE_46BFA32CB2843FBF_7015_UN,C1CCC(N(C1)[S](=O)(=O)C2=CC3=C(C=C2)N=C([NH]3)C4=CC=CC=C4)C5=NC(=CS5)C6=NC=CC=C6,6.60577392578125,7.370020270347595,1.0782587230205536
1AE5E2496AB40DCC_251D871663C75AF6_2201_UN,ClC3=C2CC1=C(C4=C(N=C1C2=CC(=C3)Br)N=CC=C4)C5=CC(=CC(=C5)F)F,6.483482360839844,7.211073637008667,1.0751771330833435
644B2524AA272F0A_7CA0ED4B007926D1_6026_UN,[S](=O)(=O)(C1=CC2=C(C=C1)C3=C(C2)C=CC=C3)NC4=CC(=CC=C4)C5=NC(=NO5)C6CC6,6.53304386138916,7.283360719680786,1.0705233216285706
19711B26AECFC7E4_A2B40E41D4E3135F_2201_UN,FC1=C(C=CC2=C1CC3=C(C4=C(N=C23)C=CC=C4)C5=CC=C(C=C5)F)Br,6.210123062133789,6.854975938796997,1.0688911080360413
964070A29B22DD64_9785ABF91099A6F8_6039_UN,O(C(C2=NC1=C(C=CC=C1)[NH]2)C3=CC=CC=C3)CCCCCCCCCCCCCCCCCC,6.193610668182373,6.842660188674927,1.061615526676178
BCFE402A15DCFC5E_9E492A95C543125C_6026_UN,[S](=O)(=O)(C1=CC=C(S1)C2=CC=C(Br)S2)NC5CCC3=C(C=NC(=N3)C4=CC=CC=C4)C5,6.749690532684326,7.587303638458252,1.0592128038406372
4965ECEFA62E2FAF_2ECCF98C47E1CD3B_7015_UN,N(CC13C4C2C5C(C12)C3C45)[S](=O)(=O)C6=CC7=C(C=C6)N=C([NH]7)C8=CC=CC=C8,6.595168590545654,7.383047580718994,1.0578829050064087
981D2B8FBED28731_C8C7ED6EABE61666_7015_UN,N(C2CC1CCOCC1CC2)[S](=O)(=O)C3=CC4=C(C=C3)N=C([NH]4)C5=CC=CC=C5,6.569394588470459,7.350661873817444,1.056398183107376
F8E9DABA37B0FF28_179B2E82821E964D_2201_UN,FC1=CC3=C(C(=C1)F)C2=NC5=C4C(=C2CCO3)CCC4=CC6=C5CCC6,6.002645492553711,6.596366763114929,1.055370420217514
05D821A3D8C77935_F171165DB1ADCABC_2201_UN,FC1=CC2=C(C=C1)[NH]C3=C2CCC4=C(C5=C(N=C34)SC=C5)C6=CC=CC=C6,6.299195289611816,6.992321610450745,1.054954081773758
D813AFB838DB3409_08DE5C237333666C_6026_UN,[S](=O)(=O)(C1=CC2=C(C=C1)C3=C(O2)C=CC=C3)N6CC(C4=NC(=NO4)C5=CC=C(F)C=C5)CCC6,6.491024017333984,7.248921155929565,1.0543331503868103
86BA4A64E9C18E63_D5517BA3FEC81ABF_7015_UN,ClC1=CC7=C(C=C1)[C](=[C]2CC[N](CC2)[S](=O)(=O)C3=CC4=C(C=C3)N=C([NH]4)C5=CC=CC=C5)C6=C(C=CC=N6)CC7,6.557553291320801,7.339936137199402,1.0526011884212494
CB11AE7D1DB1EEA4_216DFAC130C17E9D_6026_UN,[S](=O)(=O)(C1=CC(=C(C=C1)Br)C#N)NC4CCC2=C(C=NC(=N2)C3=CC=CC=C3)C4,6.616314888000488,7.424432873725891,1.04799023270607
531F4078CAA20597_DF3413B9600C0CB3_7015_UN,C1CCC(N(C1)[S](=O)(=O)C2=CC3=C(C=C2)OCCC3)C4=NC(=CS4)C5=NC=CC=C5,6.510462760925293,7.28752338886261,1.0448202192783356
DD4257AD78493194_947A286C4B344C6C_6041_UN,CC2=C(C1=NC7=C([N]1C(=C2)C3=CC=C(C=C3)NC6CCC4=C(C=NC(=N4)C5=CC=CC=C5)C6)C=CC=C7)C#N,6.734983444213867,7.587089776992798,1.0446661114692688
D0EE6881B6CA88F5_F9D784B86FA868F2_2201_UN,C34=NC1=C(C2=C(S1)CCC2)C(=C3CC5=C4SC=C5)C6=CC=C(C=C6)C#N,6.280583381652832,6.984808683395386,1.0419768691062927
8DDDB188CB79EBEA_5C431C94D57BED22_6028_UN,C1C2(C1)C7=C(CN(C2)[S](C3=NN=C(O3)C5=C4C=CC=CC4=NC(=C5)C6=CC=CS6)(=O)=O)C=CC=C7,6.637341499328613,7.4660804271698,1.0377811789512634
19BC53DE1034DBA4_420A6AC7F3A5FAF8_2201_UN,ClC3=CC(=C2CC1=C(C4=C(N=C1C2=C3)SC5=C4CCC5)C6=CC=C(C=C6)Cl)Br,6.4927449226379395,7.27728271484375,1.034782886505127
C6856386A0FB0105_E5D3681B3D60D54E_2201_UN,C34=NC1=C(C2=C(S1)CCC2)C(=C3CC5=C4C=N[NH]5)C6=CC=C(C=C6)C#N,6.349058151245117,7.086986541748047,1.033818244934082
BAB1DDF8567C76E3_C638068EC66A8938_2238_UN,N2C5CCC1=C(C(=CC(=C1)Br)C23C(NC4=C3C=C([S](Cl)(=O)=O)C=C4)=O)C5,6.475030422210693,7.255000829696655,1.033779799938202
